contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),Wij zijn Nederland
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Blauwe Ring 90a (Octant),0479::SB607,1566 MZ,1358,974,1,1,0,0,1,884,91,0,0,0,0,0,976,,,227,121,42,175,55,50,47,7,45,11,3,51,56,12,29,6,13,5,5,0,1,5,4,1,0,0,0,3,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Jongerenruimte BAAZ de Kaaik,0479::SB608,1567 HD,1950,2045,2,3,0,9,4,1802,253,0,0,9,0,0,2059,,,482,195,109,356,85,109,87,21,72,18,4,164,152,44,40,17,29,20,5,1,3,9,7,5,0,2,0,5,1,3,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Kreekrijklaan 2,0479::SB609,1567 LP,1102,620,3,2,0,0,2,542,81,0,0,0,0,0,625,,,188,80,25,106,24,28,25,4,16,2,0,33,38,10,10,1,5,2,1,1,1,6,2,2,0,0,0,7,2,0,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Kreekrijklaan 2,0479::SB610,1567 LP,1101,536,0,3,0,0,0,472,67,0,0,0,0,0,539,,,157,50,24,75,20,26,31,3,12,8,1,37,38,10,17,4,9,5,3,0,1,1,2,0,0,0,0,0,2,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Beemdgras,0479::SB611,1567 MM,1492,647,4,1,0,0,0,568,84,0,0,0,0,0,652,,,216,52,26,120,29,28,30,7,31,1,3,21,32,7,24,1,10,2,1,0,0,2,2,1,0,0,1,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Beemdgras,0479::SB612,1567 MM,1492,642,2,0,0,0,0,579,65,0,0,0,0,0,644,,,224,64,30,127,23,19,22,7,12,3,2,13,40,9,11,8,11,3,1,2,1,2,1,1,1,0,0,3,0,2,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Dorpshuis ""De Kwaker""",0479::SB701,1551 RC,1874,1063,1,1,1,0,3,940,121,0,1,0,0,0,1064,,,221,170,71,167,64,46,37,22,45,6,27,0,102,11,22,1,26,0,3,0,4,2,7,0,0,0,0,6,0,0,3,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijksteunpunt Lambert Melisz,0479::SB702,1551 CT,1047,832,1,0,0,7,5,756,65,0,7,0,0,0,826,,,212,105,51,152,30,68,43,10,45,7,4,4,37,6,14,3,15,0,2,0,0,2,8,1,8,0,1,3,0,0,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Gymzaal Torenstraat, INGANG KERKBUURT 21",0479::SB703,1551 BK,1035,599,2,1,0,0,2,546,54,0,0,0,0,0,602,,,132,63,24,129,34,35,35,8,27,6,10,1,39,5,17,1,15,0,1,1,1,4,8,1,0,0,0,1,0,1,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Evean Oostergouw, HOOFDINGANG",0479::SB801,1502 DZ,0,12,0,0,0,0,0,12,0,0,0,0,0,0,12,,,1,1,0,1,1,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Evean Het Erasmushuis,0479::SB802,1504 AL,0,16,0,0,0,0,0,13,3,0,0,0,0,0,16,,,3,0,3,1,0,2,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Evean Westerwatering, HOOFDINGANG",0479::SB807,1507 KL,0,11,0,0,0,0,0,11,0,0,0,0,0,0,11,,,1,4,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Evean Parkzicht,0479::SB808,1541 JX,0,34,0,0,0,0,0,32,2,0,0,0,0,0,34,,,6,7,4,2,2,5,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Evean Guisveld,0479::SB809,1544 NX,0,4,0,0,0,0,0,3,1,0,0,0,0,0,4,,,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Evean Acht Staten,0479::SB810,1521 CK,0,16,0,1,0,0,0,17,0,0,0,0,0,0,17,,,4,1,0,2,1,1,3,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Evean Rosariumhorst,0479::SB811,1561 TV,0,26,0,0,0,1,0,24,3,0,0,1,0,0,27,,,8,2,2,0,2,4,2,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum de Poelenburcht,0479::SB1100,1504 NX,0,274,0,2,0,1,0,240,37,0,0,1,0,0,277,,,34,30,13,21,9,31,34,4,14,3,2,63,2,5,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum de Poelenburcht,0479::SB1101,1504 NX,0,407,0,3,0,0,2,352,56,0,0,0,0,0,410,,,43,36,17,40,15,24,41,3,12,3,0,121,13,19,4,0,2,10,0,0,0,0,0,0,0,0,1,1,0,2,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum Dirk Prins,0479::SB1102,1501 RM,0,431,0,1,0,1,0,398,35,0,0,1,0,0,433,,,85,82,26,41,15,51,46,14,22,5,2,5,13,0,10,6,3,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum Dirk Prins,0479::SB1103,1501 RM,0,388,1,0,0,0,0,355,34,0,0,0,0,0,389,,,59,67,21,39,18,44,44,10,18,9,4,13,9,4,10,0,6,1,2,0,5,0,2,0,0,0,0,3,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sporthal de Tref,0479::SB1104,1509 KR,0,475,0,1,0,0,1,446,29,0,0,0,0,0,476,,,104,77,40,62,12,44,60,11,16,13,0,1,11,0,12,0,5,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sporthal de Tref,0479::SB1105,1509 KR,0,499,0,0,0,1,0,455,43,0,1,0,0,0,498,,,114,71,39,67,26,38,45,7,27,10,1,2,15,7,15,2,6,0,0,1,0,0,1,1,0,0,0,4,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stadhuis van Zaanstad,0479::SB1106,1506 MZ,0,390,0,0,0,0,2,348,40,0,0,0,0,0,390,,,61,32,22,66,27,33,49,6,18,2,3,6,14,10,10,0,20,0,0,0,2,1,0,0,1,0,1,2,1,3,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stadhuis van Zaanstad,0479::SB1107,1506 MZ,0,429,2,1,0,0,0,385,47,0,0,0,0,0,432,,,72,41,17,72,34,43,48,4,27,8,1,19,10,8,5,1,10,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum De Vuister,0479::SB1108,1541 WR,0,714,1,0,0,0,0,666,49,0,0,0,0,0,715,,,167,82,61,104,24,70,87,28,28,5,2,2,12,2,25,0,9,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum De Vuister,0479::SB1109,1541 WR,0,673,0,0,0,1,0,618,56,0,0,1,0,0,674,,,136,81,36,91,20,69,80,27,20,8,9,15,25,2,30,3,8,3,2,0,1,0,0,3,2,0,0,1,0,0,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Apostolisch Genootschap,0479::SB1110,1544 RV,0,263,0,0,0,2,0,246,19,0,0,2,0,0,265,,,48,38,21,37,12,23,33,2,14,8,3,4,9,0,8,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Apostolisch Genootschap,0479::SB1111,1544 RV,0,273,0,1,0,0,0,246,28,0,0,0,0,0,274,,,67,36,12,36,15,22,24,7,15,2,2,7,11,2,5,1,3,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum De Lorzie,0479::SB1112,1521 HS,0,559,2,0,0,4,1,515,49,0,0,4,0,0,565,,,106,77,52,59,17,63,83,12,23,6,1,9,14,4,10,2,9,0,1,0,1,0,5,0,3,2,0,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum De Lorzie,0479::SB1113,1521 HS,0,514,3,2,0,1,2,465,53,0,0,1,0,0,520,,,81,94,15,53,27,66,48,11,30,6,0,7,22,10,19,0,6,4,0,0,0,3,1,0,3,3,0,2,0,3,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum de Pelikaan,0479::SB1114,1562 AJ,0,619,0,0,0,1,1,578,41,0,0,1,0,0,620,,,139,70,62,90,24,66,59,20,23,10,2,6,12,1,17,0,9,0,1,1,1,0,0,0,2,3,0,1,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum de Pelikaan,0479::SB1115,1562 AJ,0,588,0,2,0,0,1,542,47,0,0,0,0,0,590,,,114,86,60,93,19,53,43,12,31,7,1,12,21,4,15,3,10,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum A3,0479::SB1116,1566 BR,0,288,0,0,0,0,0,260,28,0,0,0,0,0,288,,,50,49,36,33,10,19,30,4,11,11,0,1,12,0,6,2,8,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum A3,0479::SB1117,1566 BR,0,319,1,1,0,0,0,290,31,0,0,0,0,0,321,,,76,33,33,34,12,27,24,4,10,15,0,4,13,0,13,1,9,2,1,0,0,0,4,1,1,0,0,0,0,2,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Jongerenruimte BAAZ de Kaaik,0479::SB1118,1567 HD,0,301,0,0,0,0,0,255,46,0,0,0,0,0,301,,,76,28,33,43,5,26,33,4,8,2,0,11,10,0,8,1,7,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Jongerenruimte BAAZ de Kaaik,0479::SB1119,1567 HD,0,447,1,0,0,0,0,399,49,0,0,0,0,0,448,,,122,56,35,47,25,25,31,6,18,5,3,23,22,5,11,1,4,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijksteunpunt Lambert Melisz,0479::SB1120,1551 CT,0,216,0,0,0,0,0,205,11,0,0,0,0,0,216,,,41,24,29,33,15,25,23,6,6,1,4,0,4,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijksteunpunt Lambert Melisz,0479::SB1121,1551 CT,0,230,2,3,0,5,0,225,15,0,0,5,0,0,240,,,66,24,18,40,16,15,20,4,7,6,0,0,0,0,4,1,2,0,3,0,0,0,2,0,1,0,0,0,0,0,1,0
