contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland,Wij zijn Nederland
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Jeugdvereniging Don Bosco,0394::SB105,1165 GP,752,652,2,5,0,1,0,604,56,0,0,1,0,0,660,196,92,33,94,32,18,23,5,32,4,3,3,40,3,30,2,27,0,3,0,3,4,3,1,0,0,1,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau SV Lotus,0394::SB106,2131 MB,813,258,7,0,0,0,0,234,31,0,0,0,0,0,265,72,16,22,58,16,7,8,9,8,0,0,7,13,0,5,2,12,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Vogelvereniging Haarlemmermeer,0394::SB107,1161 XD,1480,366,0,0,0,0,1,320,45,0,0,0,0,0,366,81,93,21,47,6,13,13,1,23,4,1,3,41,4,5,0,7,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tennisvereniging In den Boogaerd,0394::SB108,2131 MN,1843,386,0,1,0,0,0,336,51,0,0,0,0,0,387,158,38,17,62,18,8,9,5,6,2,0,3,27,0,12,0,17,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau SV Spaarnwoude,0394::SB109,2064 KE,880,435,0,0,0,0,1,394,40,0,0,0,0,0,435,158,36,30,65,10,18,14,6,24,3,1,2,26,1,20,2,12,0,0,0,2,1,2,0,2,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Speeltuin De Toverbal,0394::SB111,1171 GK,1530,569,0,5,0,5,0,542,37,0,0,5,0,0,579,151,93,15,85,28,22,13,10,35,4,3,3,47,8,18,6,16,5,3,0,2,0,0,0,2,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau PG De Rank,0394::SB112,2151 BE,1400,567,3,0,0,0,2,511,57,0,0,0,0,0,570,182,52,70,74,20,25,11,26,11,4,15,3,34,8,4,6,10,1,1,0,0,1,7,0,0,0,1,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau FC VVC Nieuw Vennep,0394::SB113,2152 KH,759,719,1,1,0,0,2,651,68,0,0,0,0,0,721,282,76,41,107,29,27,11,17,13,3,2,12,40,4,24,3,15,2,2,0,0,2,1,0,1,0,5,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Bron,0394::SB114,2152 BA,800,535,0,1,0,0,1,481,54,0,0,0,0,0,536,152,42,41,67,25,18,20,31,20,5,24,8,35,3,20,0,9,0,1,2,3,2,2,0,1,0,4,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zorgcentrum Westerkim,0394::SB115,,200,24,0,0,0,0,0,18,6,0,0,0,0,0,24,6,0,1,3,0,2,0,4,1,1,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stemstraat EXPO Vijfhuizen,0394::SB116,2141 SB,0,782,1,1,0,1,1,680,104,0,0,1,0,0,785,274,85,50,119,30,30,22,11,18,11,1,13,60,2,13,6,17,2,0,0,2,6,6,1,0,0,2,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stemstraat EXPO Vijfhuizen maandag,0394::SB117,2141 SB,0,169,1,0,0,0,3,166,1,0,0,0,0,0,170,50,20,16,31,4,5,11,3,2,5,1,0,8,4,3,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stemstraat EXPO Vijfhuizen dinsdag,0394::SB118,2141 SB,0,312,0,0,0,0,2,310,0,0,0,0,0,0,312,95,39,25,50,5,8,14,7,11,4,6,2,16,1,14,1,8,3,2,0,0,0,0,0,0,0,1,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Raadhuis,0394::SB201,2132 TZ,0,598,2,2,0,0,5,541,55,0,0,0,0,0,601,175,50,77,73,15,34,44,20,24,12,2,6,16,3,23,1,15,2,1,0,1,0,1,0,0,0,3,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpscentrum Spaarndam,0394::SB202,2064 KK,0,167,0,0,0,0,0,147,20,0,0,0,0,0,167,43,7,16,37,8,17,9,1,12,2,0,0,6,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stichting Milli Görüs,0394::SB206,2131 AX,0,123,0,0,0,0,0,118,5,0,0,0,0,0,123,35,17,19,18,4,6,8,2,0,0,3,2,2,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tennisvereniging In den Boogaerd,0394::SB208,2131 MN,0,186,0,0,0,0,2,167,17,0,0,0,0,0,186,58,20,22,31,5,9,15,1,2,4,2,0,2,0,8,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerkcentrum De Ark,0394::SB215,2134 SR,0,657,1,1,0,4,2,585,68,0,4,0,0,0,655,149,69,56,98,28,78,57,21,34,8,2,3,17,1,19,0,7,4,2,0,1,0,1,0,2,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sociaal Cultureel Centrum De Boskern,0394::SB216,2134 SB,0,247,0,0,0,0,0,235,12,0,0,0,0,0,247,62,26,22,34,12,15,14,10,9,10,1,6,12,1,8,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zalencentrum Het Trefpunt,0394::SB223,2153 LS,0,316,2,1,0,0,1,287,31,0,0,0,0,0,319,72,48,54,39,2,17,22,18,6,8,7,0,8,0,12,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum Linquenda,0394::SB226,2151 VC,0,376,0,0,0,0,1,338,37,0,0,0,0,0,376,92,60,39,46,8,29,29,12,13,0,3,3,18,1,12,0,7,1,0,0,1,0,0,0,0,0,0,0,0,2,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Oase,0394::SB233,2136 NG,0,193,2,0,0,0,0,195,0,0,0,0,0,0,195,73,24,26,16,3,2,8,7,4,1,7,0,5,0,12,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Verenigingsgebouw De Luifel,0394::SB237,2141 AM,0,244,0,0,0,0,0,224,20,0,0,0,0,0,244,70,25,24,48,5,8,20,7,11,3,2,0,3,0,10,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Clubhuis De Bataaf,0394::SB239,1161 AN,0,92,0,0,0,0,0,87,5,0,0,0,0,0,92,20,17,6,14,2,7,8,4,2,1,0,0,4,0,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Zwanenburg,0394::SB241,1161 CN,0,316,2,0,0,0,0,292,26,0,0,0,0,0,318,88,47,42,37,2,16,21,8,15,12,0,1,5,2,14,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Badhoevedorp,0394::SB247,1171 CZ,0,403,0,0,0,0,1,369,33,0,0,0,0,0,403,145,50,49,41,6,11,35,2,11,4,3,4,11,1,19,0,5,0,1,0,0,0,3,1,0,0,0,0,0,1,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ontmoetingscentrum Karavanserai,0394::SB248,1171 HA,0,185,0,0,0,0,0,173,12,0,0,0,0,0,185,66,13,18,31,9,6,18,5,3,3,0,1,3,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Reede,0394::SB254,1435 KN,0,234,1,1,0,1,0,209,26,0,1,0,0,0,235,63,31,53,12,3,19,12,7,2,8,2,0,6,0,10,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerkcentrum De Lichtkring,0394::SB261,2135 DV,0,644,0,0,0,0,4,592,48,0,0,0,0,0,644,177,66,76,105,25,46,53,17,24,15,0,0,5,0,21,2,1,1,0,0,0,2,4,1,1,0,2,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurtcentrum het Contact,0394::SB267,2151 KG,0,298,1,0,0,0,0,273,26,0,0,0,0,0,299,89,39,29,36,10,15,15,9,5,2,4,12,8,1,19,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Raadhuis,0394::SB301,2132 TZ,0,537,1,3,0,0,1,487,52,0,1,0,0,0,540,147,67,57,74,12,30,34,12,17,12,4,17,9,5,23,2,7,4,1,0,1,1,1,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpscentrum Spaarndam,0394::SB302,2064 KK,0,211,0,1,0,0,0,194,18,0,0,0,0,0,212,65,18,22,33,11,12,15,1,10,5,0,0,8,4,2,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stichting Milli Görüs,0394::SB306,2131 AX,0,145,0,0,0,0,0,130,15,0,0,0,0,0,145,41,17,21,13,6,12,9,1,4,2,0,1,5,0,4,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tennisvereniging In den Boogaerd,0394::SB308,2131 MN,0,153,1,0,0,0,2,132,20,0,0,0,0,0,154,53,20,13,19,4,6,10,3,1,0,2,0,5,1,10,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerkcentrum De Ark,0394::SB315,2134 SR,0,651,0,0,0,0,0,586,65,0,0,0,0,0,651,161,80,64,98,28,51,43,18,25,9,7,5,23,3,14,0,16,2,2,1,0,1,0,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sociaal Cultureel Centrum De Boskern,0394::SB316,2134 SB,0,269,0,0,0,1,1,242,25,0,1,0,0,0,268,69,44,18,33,12,21,15,6,7,2,2,12,8,3,7,0,5,1,0,0,2,1,1,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zalencentrum Het Trefpunt,0394::SB323,2153 LS,0,299,1,1,0,0,0,266,35,0,0,0,0,0,301,85,37,59,20,10,8,8,25,8,2,3,3,11,2,9,0,3,3,0,1,0,0,1,0,0,0,0,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum Linquenda,0394::SB326,2151 VC,0,350,0,0,0,0,0,316,34,0,0,0,0,0,350,90,67,34,41,14,14,16,11,9,7,2,10,12,3,13,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Oase,0394::SB333,2136 NG,0,153,0,0,0,0,0,135,18,0,0,0,0,0,153,54,18,18,17,8,4,4,3,3,3,0,0,7,0,6,1,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Verenigingsgebouw De Luifel,0394::SB337,2141 AM,0,209,0,0,0,0,1,194,14,0,0,0,0,0,209,62,33,14,29,6,11,14,5,7,5,5,2,7,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Clubhuis De Bataaf,0394::SB339,1161 CN,0,128,0,0,0,0,0,109,19,0,0,0,0,0,128,38,27,9,16,3,2,12,0,0,2,1,4,7,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Zwanenburg,0394::SB341,1161 CN,0,365,1,0,0,1,4,317,44,0,1,0,0,0,365,107,69,32,34,8,16,19,5,7,5,0,9,14,2,23,1,6,1,0,0,0,1,0,0,2,0,4,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Badhoevedorp,0394::SB347,1171 CZ,0,447,0,0,0,0,0,399,48,0,0,0,0,0,447,149,70,47,47,16,12,34,3,17,4,1,3,15,1,14,1,8,1,0,0,1,1,2,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ontmoetingscentrum Karavanserai,0394::SB348,1171 HA,0,226,0,0,0,1,0,204,21,0,1,0,0,0,225,57,26,31,39,7,9,11,4,8,2,0,1,4,1,13,0,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Reede,0394::SB354,1435 KN,0,213,0,0,0,0,0,188,25,0,0,0,0,0,213,60,28,22,22,1,21,18,1,4,5,2,0,13,0,10,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerkcentrum De Lichtkring,0394::SB361,2135 DV,0,631,1,0,0,1,1,561,69,0,1,0,0,0,631,160,93,74,105,16,36,29,17,28,8,2,3,17,3,24,3,6,0,1,0,0,0,0,1,0,0,4,0,0,1,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurtcentrum het Contact,0394::SB367,2151 KG,0,359,0,1,0,0,1,320,39,0,0,0,0,0,360,100,34,35,63,9,13,11,8,18,10,1,5,18,4,19,0,6,1,0,1,2,0,0,0,1,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau,0394::SB401,,0,4723,4,10,0,0,0,0,0,0,0,11,0,0,4747,1343,493,1048,280,96,279,495,165,129,189,31,9,19,4,82,4,19,4,1,1,1,2,5,1,19,0,1,0,1,1,1
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau,0394::SB402,,0,1615,4,3,0,20,0,1642,0,0,0,20,0,0,1642,447,187,270,154,38,98,146,55,67,33,13,3,19,5,47,1,9,0,0,1,2,1,3,2,10,1,1,0,0,0,2
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau,0394::SB403,,0,161,0,0,0,3,0,164,0,0,0,3,0,0,164,44,18,28,8,5,8,18,4,9,1,0,0,8,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau,0394::SB404,,0,1922,1,0,0,0,0,0,0,0,0,0,0,0,1923,511,209,416,172,51,76,176,80,63,47,27,0,7,5,53,5,12,1,1,0,0,2,2,0,4,0,0,2,0,0,0
