contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),Leefbaar Rotterdam,VVD,Democraten 66 (D66),GROENLINKS,CDA,SP (Socialistische Partij),ChristenUnie-SGP,Partij voor de Dieren,Rotterdamse Ouderen Partij (ROP),OPA Rotterdam,Nida Rotterdam,Libertarische Partij (LP),Seniorenpartij Rotterdam,Lijst Van Gerdingen,Rotterdams Turks Belang,Regionaal Lokaal
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Zeilmakersstraat 59,0599::SB86,3025 NV,1546,410,1,2,0,0,0,345,68,0,0,0,0,0,0,413,109,69,10,44,30,23,34,14,11,1,0,56,0,1,0,8,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Hendrick Staetsweg 15,0599::SB87,3067 VM,1129,712,1,2,0,0,0,658,57,0,0,0,0,0,0,715,85,239,47,66,25,72,66,62,13,14,6,0,0,14,1,0,2
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Rendierstraat 3,0599::SB88,3064 AX,1336,665,1,2,0,0,0,591,77,0,0,0,0,0,0,668,81,303,29,58,16,19,47,65,19,6,5,3,3,7,3,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Rozenlaan 20 (links),0599::SB89,3051 LS,1264,918,1,4,0,0,0,834,90,0,0,0,1,0,0,924,95,226,84,189,77,49,99,47,23,10,1,4,6,6,0,2,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Johan de Wittlaan 5-9 (links),0599::SB90,3051 HE,1311,725,0,1,0,1,0,658,69,0,0,0,1,0,0,727,81,151,110,185,63,25,59,23,15,5,2,3,1,2,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Bilderdijkstraat 322,0599::SB91,3027 SH,1855,614,2,17,0,1,0,525,109,0,0,0,1,0,0,634,167,44,19,55,41,34,69,22,11,4,1,119,0,3,0,24,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Watertorenweg 3,0599::SB92,3063 HA,1196,553,2,4,0,0,0,522,37,0,0,0,0,0,0,559,115,139,36,85,30,16,70,16,17,8,0,13,1,7,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Corverstraat 15,0599::SB93,3025 TA,1563,722,5,21,0,2,0,637,113,0,0,0,2,0,0,750,208,74,15,62,60,26,116,11,6,3,0,131,1,4,1,3,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Adenstraat 25,0599::SB94,3067 MN,1674,761,7,12,0,0,0,693,86,0,0,1,0,0,0,779,118,302,40,58,12,46,95,42,13,6,6,4,0,16,3,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Korne 180,0599::SB95,3068 GN,1269,546,3,5,0,0,0,496,59,0,0,0,1,0,0,555,96,192,27,58,20,19,94,12,7,6,1,4,1,3,3,3,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Rösener Manzstraat 80 (links),0599::SB96,3026 TV,1753,668,7,8,0,8,0,593,98,0,0,0,8,0,0,691,186,67,14,46,52,42,102,45,16,3,2,76,3,6,1,7,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Korfmakersstraat 139,0599::SB97,3026 XG,1399,362,1,14,1,0,0,322,54,0,0,1,0,0,0,376,124,28,6,46,27,14,44,21,9,2,0,33,3,1,0,4,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Prinses Margrietlaan 6,0599::SB98,3051 AT,1417,807,2,4,0,0,0,743,70,0,0,0,0,0,0,813,79,204,121,176,62,39,67,15,22,12,2,0,1,6,0,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Oude Raadhuislaan 86,0599::SB99,3054 NT,685,621,0,2,0,0,0,555,69,0,0,0,1,0,0,624,47,152,168,129,37,28,22,13,12,7,2,0,1,3,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Zernikeplaats 500,0599::SB100,3068 JB,1217,683,2,3,1,0,0,634,55,0,0,0,1,0,0,689,70,317,31,50,35,29,71,11,28,19,2,4,0,15,1,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Schiedamse Vest 188 (rechts),0599::SB101,3011 BH,1155,593,1,3,1,1,0,541,54,0,0,2,0,0,0,595,91,128,56,171,37,24,48,7,11,1,1,14,2,2,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Rijnwaterstraat 11 (rechts),0599::SB102,3063 HC,1116,557,3,4,0,0,0,526,45,0,0,0,7,0,0,571,76,166,50,77,30,34,71,18,16,5,2,8,0,3,0,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Grindweg 100,0599::SB103,3055 VW,1288,832,1,2,0,3,0,741,97,0,0,0,3,0,0,838,57,246,176,191,25,53,27,16,19,7,2,0,0,13,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Landstraat 9,0599::SB104,3056 LR,1156,625,2,4,0,3,0,567,67,0,0,0,3,0,0,634,57,211,76,84,51,51,45,15,15,4,1,8,0,6,0,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Zevenkampse Ring 301,0599::SB105,3068 HG,1683,641,3,0,0,0,0,564,81,0,0,0,1,0,0,645,93,238,30,49,21,27,104,23,19,11,4,2,0,15,4,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Taandersplein 3,0599::SB106,3027 CN,1490,718,7,9,1,0,0,600,135,0,0,0,1,0,0,735,196,46,18,43,31,70,98,30,10,3,0,149,2,7,0,14,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Fresiastraat 18,0599::SB107,3053 VH,1240,626,0,2,0,0,0,571,59,0,2,0,2,0,0,630,89,187,36,101,34,51,58,13,21,8,3,6,2,11,2,1,3
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Larikslaan 200 (links),0599::SB108,3053 LG,1605,1152,1,4,0,0,0,1057,99,0,0,1,0,1,0,1156,129,287,114,246,125,91,74,24,31,13,4,0,2,12,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Delftweg 46,0599::SB109,3043 CH,1338,456,4,1,0,0,13,402,46,0,0,0,0,0,0,461,47,154,39,76,31,26,42,11,11,7,3,2,0,4,0,2,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Kobehof 5,0599::SB110,3067 MC,1291,587,2,9,0,0,0,531,67,0,0,0,0,0,0,598,80,209,39,56,21,10,108,23,15,7,4,3,2,7,2,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Mendelssohnlaan 11,0599::SB111,3055 HH,1380,1052,1,4,0,5,0,941,121,0,0,0,5,0,0,1062,59,349,222,205,62,73,21,14,27,10,4,0,1,4,0,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Goudkruid 107,0599::SB112,3068 SV,1019,665,2,2,0,0,0,611,58,0,0,0,0,0,0,669,60,286,47,62,32,50,58,36,20,7,2,0,0,3,2,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Mercatorweg 50 (links),0599::SB113,3151 CJ,1606,917,7,4,0,1,0,829,100,0,0,0,1,0,0,929,62,292,143,56,16,66,48,36,22,9,2,1,1,11,1,0,151
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Burg. de Josselin de Jonglaan 27,0599::SB114,3042 NC,982,504,0,6,0,0,0,448,67,0,5,0,5,0,0,515,102,182,15,43,21,19,62,3,9,7,5,28,2,3,0,2,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Nieuwe Ommoordseweg 89,0599::SB115,3068 BS,915,648,4,3,0,1,0,568,86,0,0,1,0,0,0,654,70,269,37,32,29,40,57,58,21,8,5,16,0,4,1,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Merkelbachstraat 2 (rechts),0599::SB116,3067 AL,1616,581,5,5,0,1,0,553,37,0,0,1,0,0,0,590,94,203,32,52,15,38,64,25,19,7,1,7,1,19,4,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Zuiderlaan 10,0599::SB117,3043 XM,948,368,0,1,0,0,0,319,51,0,0,0,1,0,0,370,27,142,42,44,15,25,27,9,19,9,2,2,0,4,0,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Kipstraat 37 (rechts),0599::SB118,3011 RS,1584,796,1,1,3,0,0,734,70,0,3,0,6,0,0,804,110,203,112,173,37,22,79,7,20,6,4,13,4,3,2,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Mombassaplaats 2,0599::SB119,3067 GZ,1154,407,5,3,0,1,0,390,26,0,0,0,1,0,0,416,93,137,14,20,5,10,73,17,9,12,3,7,2,4,0,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Eudokiaplein 35,0599::SB120,3037 BT,1232,1117,9,15,0,21,0,1022,140,0,0,0,21,0,0,1162,219,161,60,166,105,47,154,25,39,4,1,123,5,5,0,3,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Clara Egginkstraat 4 (links),0599::SB121,3066 JG,1205,696,4,2,0,0,0,636,67,0,0,0,1,0,0,703,82,255,73,102,26,32,62,12,26,7,2,5,2,6,4,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Gijsingstraat 51,0599::SB122,3026 RH,1664,840,9,18,0,0,0,707,164,0,0,0,4,0,0,871,265,75,22,72,28,67,81,23,16,3,2,162,1,2,0,21,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Hoogstraat 108 (rechts),0599::SB123,3011 PV,1233,692,2,22,0,1,0,675,44,0,2,0,3,0,0,719,86,170,105,188,37,20,41,11,9,4,0,15,1,3,1,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Lisplein 31,0599::SB124,3037 AS,800,379,5,2,0,0,0,355,31,0,0,0,0,0,0,386,50,59,18,93,38,8,49,25,21,2,1,7,4,1,1,1,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Tidemanstraat 80 (links),0599::SB125,3022 SM,1808,678,15,20,0,2,0,593,122,0,0,0,2,0,0,715,173,45,19,104,51,18,104,19,13,4,3,108,1,2,0,11,3
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Varnasingel 600,0599::SB126,3067 EZ,1533,664,7,6,0,13,0,637,27,0,0,13,0,0,0,664,106,272,23,37,16,36,76,10,28,20,11,1,2,21,3,2,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Van der Sasstraat 61,0599::SB127,3042 NM,919,480,3,2,0,0,0,440,48,0,0,0,3,0,0,488,77,152,24,29,35,47,41,20,16,16,3,13,0,7,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Aar 193 (Ingang 2),0599::SB128,3068 HA,1529,508,5,7,1,0,0,481,40,0,0,0,1,0,0,521,101,177,15,36,19,28,62,15,12,14,3,7,0,14,5,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Barbarakruid 24,0599::SB129,3068 SB,1277,556,2,1,0,0,0,516,31,0,0,12,0,0,0,547,70,211,23,49,25,32,63,35,13,8,5,5,4,13,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Oostervantstraat 25 (links),0599::SB130,3021 PT,1756,760,3,6,0,11,0,655,103,0,0,11,0,0,0,758,163,70,29,165,126,37,72,14,22,6,3,41,1,2,1,8,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Burgemeester de Villeneuvesingel 1,0599::SB131,3055 AK,1085,761,3,4,0,0,0,676,92,0,0,0,0,0,0,768,43,150,233,183,38,63,16,8,16,5,0,1,1,4,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Robert van 't Hoffstr 10 (links),0599::SB132,3059 PN,1587,892,1,2,0,0,0,751,144,0,0,0,0,0,0,895,72,318,166,138,18,85,32,43,6,6,1,2,1,3,1,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Meidoornsingel 181,0599::SB133,3053 BP,1246,796,2,8,0,1,0,753,54,0,0,0,1,0,0,807,115,190,42,98,59,108,81,28,25,14,7,12,0,16,1,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Kelloggplaats 664,0599::SB134,3068 XK,814,401,0,4,0,4,0,377,24,0,0,4,0,0,0,401,50,187,13,26,10,18,56,5,18,4,5,0,1,7,1,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Wilgenplaslaan 196 (rechts),0599::SB135,3052 SL,1081,435,3,1,0,0,0,406,33,0,0,0,0,0,0,439,86,100,28,57,30,27,49,9,10,5,3,22,1,7,0,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Rauwenhoffstraat 42,0599::SB136,3022 RP,1677,589,4,3,0,0,0,515,81,0,0,0,0,0,0,596,118,40,19,80,56,31,98,15,13,2,1,96,2,5,2,11,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Rammelandstraat 4,0599::SB137,3042 EZ,1605,615,3,8,0,0,0,538,82,0,0,6,0,0,0,620,116,175,15,34,19,41,83,14,15,16,3,76,1,4,0,2,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Tidemanstraat 59,0599::SB138,3022 SE,1677,813,15,20,0,6,0,725,129,0,0,0,6,0,0,854,160,95,20,127,77,62,110,36,16,3,0,90,2,2,1,12,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau De Jagerstraat 42,0599::SB139,3022 VR,1691,687,3,3,0,6,0,597,90,0,0,6,0,6,0,687,121,69,24,134,78,35,106,23,18,4,3,55,3,5,2,6,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Nozemanstraat 75,0599::SB140,3023 TS,1672,901,6,19,0,0,0,813,114,0,1,0,1,0,0,927,189,108,37,172,111,40,124,15,17,1,1,76,1,2,0,5,2
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Varenhof 1,0599::SB141,3069 KK,1001,678,2,4,0,4,0,640,48,0,0,0,4,0,0,688,49,279,72,65,48,69,30,35,9,6,2,4,0,9,1,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Oudedijk 15,0599::SB142,3062 AB,1525,1158,1,0,0,6,0,1029,124,0,0,6,0,0,0,1153,95,228,322,261,58,77,41,23,22,5,1,10,6,7,0,1,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Pinkstraat 10,0599::SB143,3028 XX,1506,470,2,4,0,0,0,433,43,0,0,0,0,0,0,476,94,126,15,43,22,26,74,14,15,3,2,26,2,6,1,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Piccolo 50 (ingang Ocarina),0599::SB144,3068 JD,1404,583,3,1,0,0,0,530,52,0,0,5,0,0,0,582,86,219,30,46,21,22,71,37,15,10,1,9,0,9,7,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Crooswijksestraat 93,0599::SB145,3034 AE,1812,656,4,9,0,4,0,566,99,0,0,4,0,0,0,665,142,132,19,57,39,13,100,8,19,2,2,112,0,4,0,5,2
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Robert Kochplaats 348,0599::SB146,3068 JD,1223,574,3,3,0,0,0,533,51,0,0,0,4,0,0,584,62,263,33,28,25,31,77,12,8,9,4,5,1,12,2,2,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Van Beethovenlaan 60,0599::SB147,3055 JD,1102,819,2,3,0,0,0,722,102,0,0,0,0,0,0,824,49,245,192,154,44,53,22,19,22,10,5,0,1,3,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Gerdesiaweg 494,0599::SB148,3031 BR,1187,525,5,7,0,1,0,486,52,0,0,0,1,0,0,538,86,128,43,67,23,30,58,31,18,6,3,20,1,6,0,4,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Provenierssingel 55,0599::SB149,3033 EH,1148,631,11,6,0,0,0,580,68,0,0,0,0,0,0,648,98,96,57,122,67,26,74,10,20,4,5,45,0,7,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Abtsweg 4,0599::SB150,3042 GD,1354,760,9,9,0,0,0,690,85,0,0,3,0,3,0,775,140,247,19,51,35,43,101,21,21,12,5,39,1,17,0,8,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Klein-Coolstraat 37,0599::SB151,3033 XR,1277,671,2,2,1,0,0,612,64,0,0,0,1,0,0,676,102,95,55,189,87,11,64,11,22,2,0,25,1,3,1,0,3
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Kastanjeplein 8,0599::SB152,3053 CD,1677,660,4,2,0,4,0,613,57,0,0,0,4,0,0,670,100,167,48,128,32,35,67,23,24,8,2,17,1,7,0,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Jaap Valkhoffplein 5,0599::SB153,3027 PV,1656,941,11,16,0,0,0,805,142,0,0,21,0,0,0,947,274,66,30,136,78,34,154,21,9,8,3,110,2,4,0,12,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Hammarskjöldplaats 103,0599::SB154,3069 RA,1032,505,3,0,0,0,0,483,25,0,0,0,0,0,0,508,45,219,24,35,13,32,46,26,14,10,1,0,0,38,2,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Bok de Korverweg 1,0599::SB155,3056 PD,1166,634,3,4,0,0,0,559,80,0,0,2,0,0,0,639,68,193,76,158,31,32,32,13,17,5,2,3,1,2,1,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Lieve Verschuierstraat 62,0599::SB156,3021 ZH,1492,649,4,1,0,0,0,586,70,0,0,0,2,0,0,656,154,73,31,129,60,22,80,17,15,8,6,50,1,1,0,2,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Nansenplaats 4,0599::SB157,3069 CV,1686,782,2,5,0,6,0,720,75,0,0,0,6,0,0,795,93,314,54,94,34,44,70,18,22,13,3,0,0,21,2,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Curieplaats 24,0599::SB158,3069 HA,1204,707,1,2,0,1,0,636,75,0,0,0,1,0,0,711,87,280,51,83,58,29,56,18,30,9,1,3,0,2,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Bertrand Russellplaats 20,0599::SB159,3069 CA,1338,936,5,0,0,0,0,853,95,0,0,0,7,0,0,948,121,387,56,96,53,47,87,30,17,11,5,4,0,19,2,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Hoekse Brink 219,0599::SB160,3151 GB,1841,1041,10,5,0,0,0,976,91,0,0,0,11,0,0,1067,95,314,178,51,21,91,43,33,21,19,2,1,2,21,0,3,146
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Oostervantstraat 25 (rechts),0599::SB161,3021 PT,1754,721,1,8,0,0,0,624,107,0,0,0,1,0,0,731,156,58,31,174,96,22,86,11,15,3,2,60,2,2,0,3,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Kolkmanstraat 8,0599::SB162,3039 PH,1795,478,4,1,0,0,0,446,37,0,0,0,0,0,0,483,62,96,34,138,46,26,43,17,4,2,1,3,4,2,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Prins Hendrikstraat 161,0599::SB163,3151 AA,1467,562,2,1,0,1,0,510,56,0,0,0,1,0,0,566,53,183,54,28,4,36,59,7,16,7,6,2,0,4,0,5,98
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Coolsingel 40 (rechts),0599::SB164,3011 AD,1007,418,1,3,0,0,0,387,35,0,0,0,0,0,0,422,43,99,51,99,29,14,42,8,13,2,1,15,2,0,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Looiershof 1 (rechts),0599::SB165,3024 CZ,820,598,5,4,5,0,0,538,64,0,0,5,0,0,0,602,125,84,44,103,52,26,83,18,13,7,4,33,2,3,0,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau De Vliegerstraat 55 (rechts),0599::SB166,3021 ZN,1516,718,8,6,0,0,0,670,65,0,3,0,3,0,0,735,141,77,35,191,78,22,86,18,15,8,3,37,2,5,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Engelsestraat 40 (rechts),0599::SB167,3028 CH,1411,470,1,11,1,0,0,431,52,0,0,0,1,0,0,483,90,147,9,33,18,16,90,23,22,4,2,8,1,6,1,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Tidemanstraat 80 (rechts),0599::SB168,3022 SM,1716,730,6,14,0,3,0,630,123,0,0,0,3,0,0,753,192,64,16,91,66,37,104,16,16,0,0,111,0,2,0,11,4
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Rozenlaan 20 (rechts),0599::SB169,3051 LS,1299,727,2,2,0,2,0,671,62,0,0,0,2,0,0,733,89,193,55,134,64,32,77,40,24,8,0,2,1,7,1,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Johan de Wittlaan 5-9 (rechts),0599::SB170,3051 HE,1351,723,0,5,0,0,0,645,81,0,0,2,0,0,0,726,71,164,99,201,66,36,40,26,9,4,1,2,1,3,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Mercatorweg 50 (rechts),0599::SB171,3151 CJ,1686,877,5,2,2,0,0,789,93,0,0,2,0,0,0,882,61,253,153,53,20,70,57,24,25,11,5,0,2,10,0,0,133
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Isaac Hubertstraat 153 (rechts),0599::SB172,3034 CS,1470,515,0,7,0,0,0,443,77,0,0,2,0,2,0,520,138,76,7,38,24,32,76,3,14,1,0,89,0,2,0,15,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Paulus Potterstraat 76 (rechts),0599::SB173,3061 ZW,1321,504,3,5,0,1,0,444,69,0,0,0,1,0,0,513,84,96,59,111,25,28,52,8,9,0,2,24,1,1,0,1,3
