contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GROENLINKS,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),SP (Socialistische Partij),VVD,CDA,Verenigde Senioren Partij,Gewoon Nijmegen,De Nijmeegse Fractie,Creatieve Partij Nijmegen 2.0,ChristenUnie,Piratenpartij,ONP/PSP'92,OPA
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Wijkcentrum de Brack,0268::SB90,6546 XS,1473,837,3,1,0,0,0,742,99,0,0,0,0,0,0,841,79,74,88,231,95,30,46,88,65,8,25,3,1,4
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau De Klif,0268::SB91,6515 DJ,1765,887,0,1,0,0,0,782,106,0,0,0,0,0,0,888,155,116,188,105,179,41,17,24,37,13,10,0,1,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau De Klif mobiel,0268::SB92,6515 DJ,1848,1170,0,1,0,1,0,1048,121,0,0,2,0,1,0,1169,179,150,277,106,268,42,8,30,50,25,30,0,0,5
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Voorzieningenhart De Ster,0268::SB93,6663 HA,1597,1343,1,0,0,0,0,1193,151,0,0,0,0,0,0,1344,314,134,318,172,171,59,12,34,47,46,26,0,5,5
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Sportcentrum De Spil,0268::SB94,6663 CD,2580,1088,2,5,0,0,0,995,100,0,0,0,0,0,0,1095,150,94,269,152,153,119,8,33,55,26,18,2,7,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,"Stembureau Zorgc. Betuweland,locatie St. Jozef",0268::SB95,6663 CP,1575,766,1,2,0,0,0,714,55,0,0,0,0,0,0,769,95,56,85,115,100,169,38,25,48,18,5,1,7,4
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Centraal Station,0268::SB96,6512 AB,0,1043,3,5,1,0,0,987,65,0,0,0,1,0,0,1052,281,92,276,166,106,24,8,21,26,22,18,1,1,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau UMC St. Radboud,0268::SB97,6525 GA,1447,991,4,8,0,0,0,919,85,0,0,0,1,0,1,1004,182,100,296,75,177,37,28,22,37,10,23,1,1,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau UMC St. Radboud mobiel,0268::SB98,6525 GA,0,593,1,0,0,0,0,544,50,0,0,0,0,0,0,594,124,61,167,63,87,34,10,6,20,8,8,1,1,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Centraal Station mobiel,0268::SB99,,0,950,5,0,0,0,0,911,44,0,0,0,0,0,0,955,255,72,287,121,108,22,7,6,26,17,21,6,1,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Het Badhuis mobiel,0268::SB100,6523 CD,0,765,2,1,0,0,0,706,62,0,0,0,0,0,0,768,217,76,151,128,87,15,5,17,34,21,11,0,3,0
