contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GROENLINKS,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD,CDA,SP (Socialistische Partij),ChristenUnie,Basis Inkomen Partij (BIP),ONSUTRECHT,OPA Utrecht (Ouderen Politiek Actief),Student & Starter,Stadsbelang Utrecht,Partij Vrij Utrecht (PVU),Nederland Duurzaam,Libertarische Partij (LP),Ouderen Partij Utrecht (OPU),Partij voor de Dieren
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Jan Muschlaan 24",0344::SB103,3584 GV,2082,1124,3,1,0,3,0,1041,90,0,0,0,3,0,0,1131,198,78,420,151,44,76,26,2,1,5,69,26,5,2,1,2,18
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau University College, Maupertuuspln 1",0344::SB104,3584 EE,1459,586,1,1,0,0,0,529,59,0,0,0,0,0,0,588,101,42,214,91,24,13,12,1,0,2,44,21,2,1,3,2,13
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,Stembureau Fac. Comm. en Journ. Padualaan 99,0344::SB105,3581 CH,835,527,4,3,0,0,0,511,24,0,0,0,1,0,0,535,114,39,168,32,18,32,14,0,1,1,84,4,2,1,3,0,14
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Zorgcentrum, Saffierlaan 10",0344::SB106,3523 RC,1656,942,2,2,0,0,0,886,60,0,0,0,0,0,0,946,174,87,265,79,58,107,46,6,2,6,43,21,14,0,4,11,19
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Buurthuis Het Bokkie, Elandplein 25",0344::SB107,3523 SX,1463,653,2,1,0,0,0,580,76,0,0,0,0,0,0,656,121,86,176,33,31,71,30,8,6,6,41,10,12,2,2,5,13
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Sporthal , Verlengde Hoogr. weg 203",0344::SB109,3523 KJ,1762,998,8,1,0,0,0,913,94,0,0,0,0,0,0,1007,204,81,350,84,36,100,33,1,0,6,28,31,15,2,0,12,15
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,Stembureau Gebouw Verl.Hoogravenseweg 150A,0344::SB110,3525 BL,1600,1087,0,3,0,0,0,922,168,0,0,0,0,0,0,1090,205,100,306,81,72,117,44,1,4,9,24,48,14,8,3,31,20
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Marcuscentrum, Wijnesteinlaan 2",0344::SB112,3525 AL,2652,973,7,3,2,0,0,828,153,0,0,2,0,0,0,981,140,169,181,51,52,205,47,5,32,11,15,16,14,0,1,14,20
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Nieuw Plettenburgh, O-Wulvenln 4 A",0344::SB113,3523 VR,2746,1598,6,3,0,0,0,1470,137,0,0,0,0,0,0,1607,271,165,429,109,128,212,52,5,22,17,33,53,32,4,2,33,31
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School 'De Baanbreker', Eifel 20",0344::SB114,3524 HH,2511,905,1,2,0,1,0,815,92,0,0,1,0,0,0,907,225,82,178,60,62,143,44,2,3,3,23,23,7,3,2,17,28
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymzaal Lunetten, Goeree 4-6",0344::SB115,3524 ZZ,2660,1469,4,3,0,0,0,1348,128,0,0,0,0,0,0,1476,460,164,276,60,45,205,60,6,7,12,40,39,21,3,5,16,50
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Kinderboerderij, Koppeldijk 115",0344::SB116,3524 SK,1361,645,7,0,0,0,0,590,62,0,0,0,0,0,0,652,156,64,121,26,19,122,28,2,3,5,14,14,17,1,2,15,36
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Wooncentrum de Koppel, Hondsrug 477",0344::SB118,3524 BX,1372,892,2,0,0,0,0,837,57,0,0,0,0,0,0,894,200,85,213,36,39,112,43,3,4,3,59,20,8,2,4,16,45
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau 'De Musketon', Hondsrug 19",0344::SB119,3524 BP,1372,1342,6,2,0,0,0,1260,90,0,0,0,0,0,0,1350,322,122,283,74,53,205,49,8,9,7,87,33,20,3,2,24,41
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Zorgcentrum,  Beneluxlaan 924",0344::SB121,3526 KJ,1251,427,2,1,0,0,0,399,31,0,0,0,0,0,0,430,43,33,85,49,47,41,26,5,5,8,16,12,12,3,2,22,18
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Marco Pololaan 523",0344::SB122,3526 GH,1944,552,0,7,0,0,0,445,114,0,0,0,0,0,0,559,43,148,83,14,27,90,25,6,61,2,8,21,7,1,4,5,7
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Bontekoelaan 9",0344::SB123,3526 RA,1927,466,1,1,0,0,0,397,71,0,0,0,0,0,0,468,44,117,64,15,25,66,17,3,72,2,2,12,5,0,1,8,13
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau WSC. ZuidWest, Marco Pololaan71",0344::SB125,3526 GA,2160,907,2,14,0,0,0,798,125,0,0,0,0,0,0,923,136,151,186,32,37,129,80,4,59,5,39,14,12,1,2,7,13
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Hart v.Noord, Trumanlaan 60",0344::SB126,3527 BR,2000,721,4,19,0,0,0,617,127,0,0,0,0,0,0,744,70,181,132,19,47,87,37,4,71,4,18,21,5,7,1,3,14
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Attleeplantsoen 39",0344::SB127,3527 BA,2285,533,4,8,0,0,0,403,142,0,0,0,0,0,0,545,58,159,57,10,26,90,23,2,77,0,11,8,3,1,1,1,6
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Zorgcentrum, Van Bijnkershoekln 250",0344::SB129,3527 XL,1568,769,4,2,0,0,0,721,54,0,0,0,0,0,0,775,84,86,169,76,85,88,29,2,9,12,40,18,15,3,3,29,21
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau De Keizershof, V.Vollenhovenln 451",0344::SB130,3527 XL,1614,714,3,0,0,1,0,665,51,0,0,1,0,0,0,716,83,75,166,77,43,80,50,0,15,4,39,29,11,2,3,15,22
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Zorgcentrum, Hof van Transwijk 4",0344::SB131,3526 XD,1354,615,5,2,0,0,0,578,44,0,0,0,0,0,0,622,53,68,98,39,72,76,19,3,40,22,8,29,20,1,0,55,12
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymzaal, Lingestraat 2 B",0344::SB132,3522 TM,3030,1204,4,5,0,0,0,1064,149,0,0,0,0,0,0,1213,227,144,283,96,66,169,35,2,14,10,30,49,27,2,4,24,22
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Maasplein 1 ing.hek Rijnln",0344::SB134,3522 BV,2724,1454,4,8,0,0,0,1302,164,0,0,0,0,0,0,1466,246,187,345,104,76,190,37,3,54,19,52,35,41,7,3,23,32
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau R.O.C., Vondellaan 174",0344::SB136,3521 GH,3080,1882,8,3,0,10,0,1727,176,0,0,0,10,0,0,1903,366,187,603,240,95,126,46,2,15,5,84,37,16,5,6,10,39
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gertrudiskerk, Amaliadwarsstraat 2",0344::SB137,3522 AR,1135,827,6,2,0,0,0,743,94,0,0,0,2,0,0,837,168,92,257,91,37,70,32,1,5,0,15,12,15,3,0,7,22
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Kindercluster, Akkrumerraklaan 111",0344::SB139,3544 TT,1958,1098,2,1,0,0,0,978,123,0,0,0,0,0,0,1101,147,101,339,168,77,50,31,4,15,9,16,78,12,10,3,11,27
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau OBS de Klimroos ,1e Oosterparkln 88",0344::SB140,3544 AK,2653,1416,10,2,0,0,0,1272,156,0,0,0,0,0,0,1428,155,156,378,185,104,144,42,16,36,12,14,79,35,7,0,14,39
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Stg. de Kersentuin, Atalantahof 11",0344::SB141,3544 VD,1959,859,2,3,0,0,0,754,111,0,0,0,1,0,0,865,139,85,206,102,68,86,37,9,6,13,9,53,10,4,1,12,19
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Bibliotheek Parkwijk, Kruidenln 1",0344::SB142,3541 BA,1582,634,4,0,0,1,0,550,89,0,0,0,1,0,0,639,52,98,150,67,45,66,37,1,27,5,8,38,10,0,2,9,19
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Sportcampus, Maartvlinder 11",0344::SB143,3544 DA,2293,981,4,2,0,0,0,834,153,0,0,0,0,0,0,987,97,92,274,203,68,60,42,2,10,10,14,60,9,7,7,5,21
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Wijkservicecentrum, Dorpsplein 1",0344::SB144,3451 BK,1699,1180,1,3,0,0,0,1059,124,0,0,1,0,0,0,1183,82,73,205,204,166,81,46,6,7,25,11,178,26,8,4,26,32
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau St Bonifatiusschool, Brinkstraat 4",0344::SB145,3455 SK,334,222,1,0,0,0,0,198,25,0,0,0,0,0,0,223,13,12,42,47,46,12,5,1,0,2,4,30,1,1,0,2,4
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Fletiohal, A. Schweitzerlaan 10 A",0344::SB146,3451 EC,1339,788,1,4,0,0,0,730,63,0,0,0,0,0,0,793,43,57,151,148,115,54,27,1,3,11,8,124,20,2,1,4,19
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Bedrijfsruimte, Poortland 59",0344::SB147,3451 VA,1826,901,0,3,0,0,0,799,105,0,0,0,0,0,0,904,61,72,196,139,116,88,27,2,10,14,6,107,18,2,1,14,28
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School/Bibliotheek,Musicallaan 100",0344::SB148,3543 BT,3939,1846,3,5,0,0,0,1595,259,0,0,0,0,0,0,1854,122,194,538,472,98,109,65,1,20,17,22,93,28,8,2,15,42
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Kerkestein, Past.Ohllaan 34 A",0344::SB149,3451 CC,1756,875,3,3,0,0,0,799,86,0,0,0,4,0,0,885,49,66,123,134,138,87,48,2,7,9,8,128,12,3,1,31,29
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Sportcentrum Oudenrijn, Europawg 48",0344::SB150,3451 HG,1734,904,0,2,0,0,0,781,126,0,0,0,1,0,0,907,35,47,171,211,124,50,32,0,14,7,11,125,33,4,1,15,24
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau NH Verenigingsgebouw, Zandweg 148",0344::SB151,3454 HA,1381,794,0,1,0,0,0,703,92,0,0,0,0,0,0,795,56,57,134,117,120,38,38,3,3,8,9,150,29,2,1,13,16
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Cul.centr. De Schalm, Oranjelaan 10",0344::SB152,3454 BT,2011,1313,2,5,0,0,0,1152,168,0,0,0,0,0,0,1320,74,80,305,261,167,59,57,3,4,22,15,197,23,7,1,21,17
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymzaal, Mereveldlaan 3",0344::SB153,3454 CG,1300,646,1,0,0,0,0,587,60,0,0,0,0,0,0,647,20,53,99,107,98,38,33,0,7,12,10,128,12,2,0,11,16
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Huize Nijevelt, Touwslagerslaan 1",0344::SB154,3454 GV,1507,789,1,1,0,0,0,720,71,0,0,0,0,0,0,791,41,57,126,102,137,62,30,4,3,12,13,144,22,4,0,15,17
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Activiteitencentrum, Bovenpolder 80",0344::SB155,3453 NP,2122,834,1,0,0,0,0,726,109,0,0,0,0,0,0,835,31,71,138,201,104,56,28,1,9,12,6,106,28,5,7,14,17
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, St.-Pietersberg 12 C",0344::SB156,3453 PH,3529,1163,3,7,0,0,0,1004,169,0,0,0,0,0,0,1173,67,105,233,250,120,101,40,1,20,13,10,136,32,3,1,14,17
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymzaal, Ten Veldestraat 94",0344::SB158,3454 EN,1258,734,1,1,1,0,0,655,82,0,0,0,1,0,0,737,41,44,117,126,95,52,30,2,8,14,18,139,27,1,2,7,11
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Paviljoen, Nedereindseplas",0344::SB159,3546 PM,183,116,0,0,0,0,0,97,19,0,0,0,0,0,0,116,3,3,17,31,38,1,1,0,1,0,2,9,1,2,1,4,2
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau UW bedrijven, Niels Bohrweg 121",0344::SB160,3542 CA,124,146,2,0,0,0,0,135,13,0,0,0,0,0,0,148,8,12,16,25,11,40,4,1,2,1,2,9,6,0,1,1,7
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymzaal,  Kweektuinlaan 11",0344::SB161,3452 SR,1974,816,1,1,0,0,0,618,199,0,0,1,0,1,0,817,48,53,214,175,92,44,39,0,14,3,2,55,28,11,6,9,23
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Sportzaal, Keerderberg 21",0344::SB163,3453 RD,1489,806,2,2,0,0,0,677,133,0,0,0,0,0,0,810,43,66,166,174,99,54,29,7,8,11,5,82,30,5,4,9,14
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Kindercluster, Teunisbloemlaan 50",0344::SB164,3452 CB,3471,1677,4,4,0,0,0,1454,231,0,0,0,0,0,0,1685,102,130,505,360,151,80,59,8,12,14,11,123,41,5,1,27,48
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Activiteitencentr., Operetteln. 629",0344::SB166,3543 BR,2079,806,2,2,0,0,0,696,114,0,0,0,0,0,0,810,47,93,211,160,74,89,17,2,15,5,4,49,11,0,1,17,11
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau 't Zand, Pauwoogvlinder 12-24",0344::SB167,3544 DB,1280,780,2,1,0,0,0,681,102,0,0,0,0,0,0,783,91,57,245,157,62,34,26,3,8,3,4,33,12,6,9,10,20
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Zorgcentrum, Kandinskystraat 40",0344::SB168,3544 NW,1356,583,1,2,0,0,0,515,71,0,0,0,0,0,0,586,28,61,135,122,49,40,32,3,4,3,11,44,22,1,5,9,14
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Cultuurcampus, Burchtpoort 16",0344::SB169,3452 MD,2963,1424,2,7,0,0,0,1262,171,0,0,0,0,0,0,1433,102,116,369,291,127,119,43,0,7,19,17,131,19,9,5,18,32
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau W.C. van Unnikgebouw,Heidelbergln 2",0344::SB171,3584 CS,1123,1852,17,11,0,5,0,1803,82,0,0,0,5,0,0,1885,424,109,600,96,66,78,73,5,0,1,329,14,3,4,4,2,44
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Kantoor MAX, Europaplein 360",0344::SB172,3526 WH,1102,681,5,1,0,0,0,662,27,0,0,0,2,0,0,689,144,47,236,55,14,38,21,2,3,2,76,11,2,2,3,1,24
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau De Paperclip, Parkzichtlaan 203",0344::SB179,3451 GX,1364,608,0,3,0,0,0,522,89,0,0,0,0,0,0,611,59,25,178,136,47,26,17,0,7,9,6,63,12,3,1,12,7
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Hoog Brabant, Radboudkwartier 23",0344::SB181,3511 CC,0,611,3,0,0,0,0,584,30,0,0,0,0,0,0,614,119,33,181,59,22,55,37,1,2,1,51,7,10,1,1,5,26
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Beatrixgebouw, Jaarbeursplein 6a",0344::SB182,3521 CA,1913,1192,2,7,0,0,0,1070,131,0,0,0,0,0,0,1201,207,90,458,138,62,69,40,1,4,2,39,35,7,5,3,11,21
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Centraal Station, Centrale Hal",0344::SB183,3511 CE,0,2540,14,4,0,0,0,2420,138,0,0,0,0,0,0,2558,567,185,851,223,105,150,103,4,16,2,212,28,14,8,5,5,62
