"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Ouder-Amstel"
"Nummer";"";"0437"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Gemeentehuis";"Jan Hekmanschool";"Het Kofschip";"De Aanbouw";"Dorpshuis"
"";"";"22";"Sneller, J.C.";"0";"0";"0";"0";"0";"0"
"";"";"23";"Schonis, R.A.J.";"2";"0";"1";"1";"0";"0"
"";"";"24";"van Beukering-Huijbregts, M.J.T.G.";"7";"4";"1";"1";"1";"0"
"";"";"25";"Meijer, A.A.";"4";"1";"2";"0";"1";"0"
"";"";"26";"Eurlings-Tonnaer, F.M.C.L.";"1";"1";"0";"0";"0";"0"
"";"";"27";"Ramlal, M.R.";"3";"0";"0";"0";"2";"1"
"";"";"28";"van Bemmel, M.E.";"3";"1";"0";"2";"0";"0"
"";"";"29";"Lamers, C.B.M.";"3";"0";"1";"1";"1";"0"
"";"";"30";"van Essen, J.";"0";"0";"0";"0";"0";"0"
"";"";"31";"Verbrugge-Wormgoor, D.C.";"0";"0";"0";"0";"0";"0"
"";"";"32";"van der Laan, J.M.P.";"0";"0";"0";"0";"0";"0"
"";"";"33";"Zarroy, N.";"0";"0";"0";"0";"0";"0"
"";"";"34";"Winkel, B.T.";"0";"0";"0";"0";"0";"0"
"";"";"35";"Bamenga, P.";"1";"0";"0";"0";"0";"1"
"";"";"36";"Sanders, N.P.C.";"2";"1";"0";"1";"0";"0"
"";"";"37";"Guernaoui, R.";"0";"0";"0";"0";"0";"0"
"";"";"38";"Kat, H.";"3";"1";"1";"1";"0";"0"
"";"";"39";"Keij, E.J.";"4";"2";"0";"0";"2";"0"
"";"";"40";"Bosman, A.M.";"6";"0";"2";"0";"1";"3"
"";"";"41";"Schukking, S.S.";"2";"0";"0";"0";"1";"1"
"";"";"42";"Schepel, W.D.";"0";"0";"0";"0";"0";"0"
"";"";"43";"Glastra van Loon, J.H.";"0";"0";"0";"0";"0";"0"
"";"";"44";"van Vugt, T.";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Dun, C.M.";"0";"0";"0";"0";"0";"0"
"";"";"46";"Wirken, S.T.";"0";"0";"0";"0";"0";"0"
"";"";"47";"de Smoker-van Andel, N.";"2";"0";"0";"2";"0";"0"
"";"";"48";"Hoogeveen, T.C.";"2";"1";"0";"0";"1";"0"
"";"";"49";"Terlouw, G.";"0";"0";"0";"0";"0";"0"
"";"";"50";"Ross, H.J.";"4";"0";"0";"2";"2";"0"
"7";"ChristenUnie";"";"";"156";"36";"27";"23";"34";"36"
"";"";"1";"Segers, G.M.";"90";"22";"16";"18";"17";"17"
"";"";"2";"Schouten, C.J.";"27";"6";"6";"5";"7";"3"
"";"";"3";"Voordewind, J.S.";"9";"3";"1";"0";"2";"3"
"";"";"4";"Dik-Faber, R.K.";"2";"0";"0";"0";"1";"1"
"";"";"5";"Bruins, E.E.W.";"0";"0";"0";"0";"0";"0"
"";"";"6";"van der Graaf, S.J.F.";"2";"0";"2";"0";"0";"0"
"";"";"7";"Ceder, D.G.M.";"17";"2";"1";"0";"2";"12"
"";"";"8";"Vreugdenhil, H.J.";"0";"0";"0";"0";"0";"0"
"";"";"9";"Drost, N.";"0";"0";"0";"0";"0";"0"
"";"";"10";"Gooijer-Medema, J.K.";"3";"0";"1";"0";"2";"0"
"";"";"11";"Huisman, G.W.";"0";"0";"0";"0";"0";"0"
"";"";"12";"Rots, D.G.";"0";"0";"0";"0";"0";"0"
"";"";"13";"Tijhof, B.D.";"0";"0";"0";"0";"0";"0"
"";"";"14";"Grinwis, P.A.";"0";"0";"0";"0";"0";"0"
"";"";"15";"Vlieg-Kempe, H.A.";"0";"0";"0";"0";"0";"0"
"";"";"16";"Meijer, L.E.";"0";"0";"0";"0";"0";"0"
"";"";"17";"Janssen, J.";"0";"0";"0";"0";"0";"0"
"";"";"18";"Heuvelink, M.E.C.";"0";"0";"0";"0";"0";"0"
"";"";"19";"van 't Foort, S.";"0";"0";"0";"0";"0";"0"
"";"";"20";"Treurniet-Klapwijk, W.A.";"0";"0";"0";"0";"0";"0"
"";"";"21";"Mostert, I.G.";"0";"0";"0";"0";"0";"0"
"";"";"22";"Kennedy-Doornbos, S.J.";"0";"0";"0";"0";"0";"0"
"";"";"23";"Ebid, E.K.";"0";"0";"0";"0";"0";"0"
"";"";"24";"Hofstra, H.J.";"0";"0";"0";"0";"0";"0"
"";"";"25";"Kumar, A.D.J.M.";"0";"0";"0";"0";"0";"0"
"";"";"26";"Weigand-Timmer, H.A.C.";"0";"0";"0";"0";"0";"0"
"";"";"27";"Visser, B.";"0";"0";"0";"0";"0";"0"
"";"";"28";"Kaper-Hartenberg, E.T.";"0";"0";"0";"0";"0";"0"
"";"";"29";"Krins, J.T.";"0";"0";"0";"0";"0";"0"
"";"";"30";"Schuring, H.";"0";"0";"0";"0";"0";"0"
"";"";"31";"van Tatenhove-Meesen, J.A.";"0";"0";"0";"0";"0";"0"
"";"";"32";"Joosten-Leijendekker, J.M.J.";"0";"0";"0";"0";"0";"0"
"";"";"33";"Zuidervaart, L.M.";"0";"0";"0";"0";"0";"0"
"";"";"34";"Jaspers Faijer, B.";"0";"0";"0";"0";"0";"0"
"";"";"35";"Jongman-Mollema, I.M.";"0";"0";"0";"0";"0";"0"
"";"";"36";"de Haan, J.T.";"0";"0";"0";"0";"0";"0"
"";"";"37";"Baars, H.C.";"0";"0";"0";"0";"0";"0"
"";"";"38";"Visser, F.C.";"0";"0";"0";"0";"0";"0"
"";"";"39";"Klein, A.C.";"4";"2";"0";"0";"2";"0"
"";"";"40";"Seyed Mehdi, F.";"0";"0";"0";"0";"0";"0"
"";"";"41";"Kooij-Bas, A.E.";"1";"1";"0";"0";"0";"0"
"";"";"42";"van Kranenburg, C.J.";"0";"0";"0";"0";"0";"0"
"";"";"43";"van den Berg, G.";"0";"0";"0";"0";"0";"0"
"";"";"44";"Balootje, I.S.";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Zaalen, F.P.";"0";"0";"0";"0";"0";"0"
"";"";"46";"Haga, A.";"0";"0";"0";"0";"0";"0"
"";"";"47";"van der Spoel, P.L.R.";"0";"0";"0";"0";"0";"0"
"";"";"48";"Stoorvogel, H.";"1";"0";"0";"0";"1";"0"
"";"";"49";"van der Veer, A.";"0";"0";"0";"0";"0";"0"
"";"";"50";"Bottenbley, O.E.";"0";"0";"0";"0";"0";"0"
"8";"GROENLINKS";"";"";"878";"175";"139";"213";"162";"189"
"";"";"1";"Klaver, J.F.";"542";"100";"97";"129";"92";"124"
"";"";"2";"Buitenweg, K.M.";"148";"35";"20";"35";"24";"34"
"";"";"3";"van der Lee, T.M.T.";"6";"2";"1";"2";"1";"0"
"";"";"4";"Voortman, L.G.J.";"13";"2";"2";"4";"4";"1"
"";"";"5";"Grashoff, H.J.";"10";"0";"0";"0";"9";"1"
"";"";"6";"van Tongeren, L.";"23";"8";"2";"9";"0";"4"
"";"";"7";"de Jonge van Ellemeet, C.E.";"7";"0";"2";"2";"0";"3"
"";"";"8";"Özdil, Z.";"4";"0";"1";"2";"1";"0"
"";"";"9";"Snels, B.A.W.";"0";"0";"0";"0";"0";"0"
"";"";"10";"van Ojik, A.";"9";"4";"0";"2";"1";"2"
"";"";"11";"Kröger, S.C.";"12";"3";"3";"2";"3";"1"
"";"";"12";"Özütok, N.";"21";"7";"0";"5";"4";"5"
"";"";"13";"Smeulders, P.H.M.";"3";"0";"1";"1";"0";"1"
"";"";"14";"Westerveld, E.M.";"5";"1";"1";"3";"0";"0"
"";"";"15";"Bromet, L.";"11";"0";"2";"3";"3";"3"
"";"";"16";"Renkema, W.J.T.";"0";"0";"0";"0";"0";"0"
"";"";"17";"van Essen, H.P.";"0";"0";"0";"0";"0";"0"
"";"";"18";"van den Berge, C.N.";"0";"0";"0";"0";"0";"0"
"";"";"19";"Diks, L.I.";"24";"6";"5";"4";"7";"2"
"";"";"20";"van den Nieuwenhuijzen-Wittens, T.J.H.";"0";"0";"0";"0";"0";"0"
"";"";"21";"Mahtab, I.A.F.";"2";"2";"0";"0";"0";"0"
"";"";"22";"Bouwkamp, C.C.";"12";"3";"1";"3";"3";"2"
"";"";"23";"van den Bosch, D.";"2";"1";"0";"0";"0";"1"
"";"";"24";"van der Steenhoven, M.V.";"3";"0";"1";"0";"1";"1"
"";"";"25";"Bonte, A.";"0";"0";"0";"0";"0";"0"
"";"";"26";"van der Kleij, A.M.";"2";"0";"0";"0";"2";"0"
"";"";"27";"Kuipers, J.N.";"2";"0";"0";"0";"0";"2"
"";"";"28";"Arnoldussen, J.";"1";"0";"0";"1";"0";"0"
"";"";"29";"Duursma, J.";"0";"0";"0";"0";"0";"0"
"";"";"30";"Önder, A.";"8";"1";"0";"3";"3";"1"
"";"";"31";"Vintges, V.A.M.";"0";"0";"0";"0";"0";"0"
"";"";"32";"Bashara, S.R.";"0";"0";"0";"0";"0";"0"
"";"";"33";"Bellemakers, H.A.";"1";"0";"0";"0";"1";"0"
"";"";"34";"Smelik, C.W.";"2";"0";"0";"1";"1";"0"
"";"";"35";"Schers, S.R.M.";"2";"0";"0";"0";"1";"1"
"";"";"36";"Klijmij-van der Laan, M.";"0";"0";"0";"0";"0";"0"
"";"";"37";"Piers, R.P.A.";"0";"0";"0";"0";"0";"0"
"";"";"38";"Vermast, P.L.A.";"0";"0";"0";"0";"0";"0"
"";"";"39";"Snaas, M.";"0";"0";"0";"0";"0";"0"
"";"";"40";"van Oort, K.J.H.A.";"0";"0";"0";"0";"0";"0"
"";"";"41";"Hirsch, D.H.";"0";"0";"0";"0";"0";"0"
"";"";"42";"van Grootheest, G.J.";"0";"0";"0";"0";"0";"0"
"";"";"43";"van Hooijdonk, L.H.L.";"0";"0";"0";"0";"0";"0"
"";"";"44";"Kapteijns, F.H.A.";"0";"0";"0";"0";"0";"0"
"";"";"45";"Scholten, H.T.M.";"0";"0";"0";"0";"0";"0"
"";"";"46";"Muambi, A.O.";"1";"0";"0";"0";"1";"0"
"";"";"47";"Homan-Brinkman, N.";"0";"0";"0";"0";"0";"0"
"";"";"48";"El Fassed, A.";"0";"0";"0";"0";"0";"0"
"";"";"49";"Rüter, J.S.";"0";"0";"0";"0";"0";"0"
"";"";"50";"van Gent, W.";"2";"0";"0";"2";"0";"0"
"9";"Staatkundig Gereformeerde Partij (SGP)";"";"";"85";"31";"14";"33";"6";"1"
"";"";"1";"van der Staaij, C.G.";"77";"29";"9";"33";"5";"1"
"";"";"2";"Dijkgraaf, E.";"8";"2";"5";"0";"1";"0"
"";"";"3";"Bisschop, R.";"0";"0";"0";"0";"0";"0"
"";"";"4";"Ruissen, H.J.A.";"0";"0";"0";"0";"0";"0"
"";"";"5";"Stoffer, C.";"0";"0";"0";"0";"0";"0"
"";"";"6";"Schipaanboord, G.P.";"0";"0";"0";"0";"0";"0"
"";"";"7";"Kloosterman, J.";"0";"0";"0";"0";"0";"0"
"";"";"8";"Tanis, J.P.";"0";"0";"0";"0";"0";"0"
"";"";"9";"Veldman, J.D.";"0";"0";"0";"0";"0";"0"
"";"";"10";"Nieuwenhuis, E.J.";"0";"0";"0";"0";"0";"0"
"";"";"11";"Weggeman, A.";"0";"0";"0";"0";"0";"0"
"";"";"12";"Hoek, P.W.J.";"0";"0";"0";"0";"0";"0"
"";"";"13";"de Knegt, L.";"0";"0";"0";"0";"0";"0"
"";"";"14";"Flach, A.J.";"0";"0";"0";"0";"0";"0"
"";"";"15";"van Wikselaar, W.";"0";"0";"0";"0";"0";"0"
"";"";"16";"van Leeuwen, G.R.";"0";"0";"0";"0";"0";"0"
"";"";"17";"Bosma, E.G.";"0";"0";"0";"0";"0";"0"
"";"";"18";"Kok, W.H.";"0";"0";"0";"0";"0";"0"
"";"";"19";"Bakker, T.";"0";"0";"0";"0";"0";"0"
"";"";"20";"Boonzaaijer, G.";"0";"0";"0";"0";"0";"0"
"";"";"21";"Simonse, J.N.";"0";"0";"0";"0";"0";"0"
"";"";"22";"van Duijn, W.J.";"0";"0";"0";"0";"0";"0"
"";"";"23";"van Westreenen, S.";"0";"0";"0";"0";"0";"0"
"";"";"24";"van 't Land, J.A.";"0";"0";"0";"0";"0";"0"
"";"";"25";"Noordergraaf, P.T.";"0";"0";"0";"0";"0";"0"
"";"";"26";"Benschop, J.W.";"0";"0";"0";"0";"0";"0"
"";"";"27";"Dorst, A.I.G.";"0";"0";"0";"0";"0";"0"
"";"";"28";"van den Berg, W.";"0";"0";"0";"0";"0";"0"
"";"";"29";"de Vries, W.";"0";"0";"0";"0";"0";"0"
"";"";"30";"Brouwer, M.";"0";"0";"0";"0";"0";"0"
"10";"Partij voor de Dieren";"";"";"327";"65";"60";"51";"62";"89"
"";"";"1";"Thieme, M.L.";"247";"49";"49";"41";"44";"64"
"";"";"2";"Ouwehand, E.";"18";"2";"4";"3";"4";"5"
"";"";"3";"van Raan, L.";"8";"2";"1";"1";"1";"3"
"";"";"4";"Wassenberg, F.P.";"3";"1";"1";"0";"1";"0"
"";"";"5";"Arissen, F.M.";"7";"2";"0";"2";"2";"1"
"";"";"6";"van Esch, E.M.";"4";"0";"0";"1";"1";"2"
"";"";"7";"Teunissen, C.";"4";"1";"1";"0";"0";"2"
"";"";"8";"van Leeuwen, M.";"2";"1";"0";"0";"0";"1"
"";"";"9";"Koffeman, N.K.";"0";"0";"0";"0";"0";"0"
"";"";"10";"Engelen, E.R.";"11";"4";"2";"0";"1";"4"
"";"";"11";"van Lammeren, J.F.W.";"1";"0";"0";"0";"0";"1"
"";"";"12";"Akerboom, E.S.";"8";"2";"0";"2";"2";"2"
"";"";"13";"van Liere, A.E.";"0";"0";"0";"0";"0";"0"
"";"";"14";"van Voorthuizen, G.S.L.";"0";"0";"0";"0";"0";"0"
"";"";"15";"van der Wel, M.C.";"0";"0";"0";"0";"0";"0"
"";"";"16";"van der Veer, L.R.";"1";"0";"0";"0";"1";"0"
"";"";"17";"van Viegen, A.H.K.";"0";"0";"0";"0";"0";"0"
"";"";"18";"Keller, H.J.";"0";"0";"0";"0";"0";"0"
"";"";"19";"van Doorn, M.E.C.";"0";"0";"0";"0";"0";"0"
"";"";"20";"Plusquin, P.S.M.L.";"0";"0";"0";"0";"0";"0"
"";"";"21";"van der Velden, R.T.J.";"0";"0";"0";"0";"0";"0"
"";"";"22";"Smit, I.R.";"1";"0";"0";"0";"1";"0"
"";"";"23";"Vestering, L.";"0";"0";"0";"0";"0";"0"
"";"";"24";"Travaille, A.";"0";"0";"0";"0";"0";"0"
"";"";"25";"de Wrede, K.";"1";"0";"0";"0";"1";"0"
"";"";"26";"van der Zanden, C.J.M.";"0";"0";"0";"0";"0";"0"
"";"";"27";"Janssens, T.A.O.";"0";"0";"0";"0";"0";"0"
"";"";"28";"Kosti?, I.";"1";"0";"0";"0";"1";"0"
"";"";"29";"Hazekamp, A.A.H.";"0";"0";"0";"0";"0";"0"
"";"";"30";"Berendse, F.";"0";"0";"0";"0";"0";"0"
"";"";"31";"Biesheuvel, J.M.A.";"0";"0";"0";"0";"0";"0"
"";"";"32";"Cruiming, J.P.";"0";"0";"0";"0";"0";"0"
"";"";"33";"Dumon Tak, M.A.";"1";"0";"0";"1";"0";"0"
"";"";"34";"Engelsman, V.L.";"0";"0";"0";"0";"0";"0"
"";"";"35";"de Haas, J.L.";"0";"0";"0";"0";"0";"0"
"";"";"36";"van der Heijden, A.F.T.";"1";"0";"0";"0";"0";"1"
"";"";"37";"Herstel, M.";"0";"0";"0";"0";"0";"0"
"";"";"38";"van der Steen, M.F.";"0";"0";"0";"0";"0";"0"
"";"";"39";"Meijer, E.R.";"1";"0";"1";"0";"0";"0"
"";"";"40";"Mutsaers, C.J.M.";"0";"0";"0";"0";"0";"0"
"";"";"41";"Nicolaï, P.";"0";"0";"0";"0";"0";"0"
"";"";"42";"Postma, A.";"0";"0";"0";"0";"0";"0"
"";"";"43";"Rot, J.";"0";"0";"0";"0";"0";"0"
"";"";"44";"Rotenstreich, M.M.";"0";"0";"0";"0";"0";"0"
"";"";"45";"de Schepper, T.";"0";"0";"0";"0";"0";"0"
"";"";"46";"Schrijver, J.W.";"0";"0";"0";"0";"0";"0"
"";"";"47";"Siebelink, J.G.";"0";"0";"0";"0";"0";"0"
"";"";"48";"van Veen, B.";"1";"0";"0";"0";"0";"1"
"";"";"49";"Verbaan, G.C.";"6";"1";"1";"0";"2";"2"
"";"";"50";"Woesthoff, M.F.F.";"0";"0";"0";"0";"0";"0"
"11";"50PLUS";"";"";"288";"61";"28";"74";"47";"78"
"";"";"1";"Krol, H.C.M.";"193";"40";"18";"47";"36";"52"
"";"";"2";"Sazias, L.";"70";"15";"8";"18";"10";"19"
"";"";"3";"van Rooijen, M.J.";"10";"3";"1";"3";"0";"3"
"";"";"4";"van Brenk, C.M.";"2";"1";"0";"1";"0";"0"
"";"";"5";"van Otterloo, G.J.P.";"0";"0";"0";"0";"0";"0"
"";"";"6";"Geleijnse, S.";"1";"0";"0";"1";"0";"0"
"";"";"7";"Bode, E.M.";"2";"0";"1";"1";"0";"0"
"";"";"8";"Schrover, W.A.A.";"1";"1";"0";"0";"0";"0"
"";"";"9";"Koopman, M.";"0";"0";"0";"0";"0";"0"
"";"";"10";"de Brouwer, R.B.P.";"0";"0";"0";"0";"0";"0"
"";"";"11";"Wiersma, T.";"1";"0";"0";"1";"0";"0"
"";"";"12";"Bergen, P.H.";"0";"0";"0";"0";"0";"0"
"";"";"13";"van Veeren, P.";"2";"0";"0";"1";"0";"1"
"";"";"14";"Willemse, W.";"0";"0";"0";"0";"0";"0"
"";"";"15";"Fonhof, G.J.";"0";"0";"0";"0";"0";"0"
"";"";"16";"Kroonstuiver, N.L.D.";"1";"0";"0";"0";"0";"1"
"";"";"17";"Verboom, H.J.";"0";"0";"0";"0";"0";"0"
"";"";"18";"van de Griendt, M.W.E.";"0";"0";"0";"0";"0";"0"
"";"";"19";"van Overveld, W.A.A.M.";"0";"0";"0";"0";"0";"0"
"";"";"20";"Hamersma, K.";"0";"0";"0";"0";"0";"0"
"";"";"21";"Siepel, H.";"1";"0";"0";"0";"0";"1"
"";"";"22";"Kerkhof, F.";"0";"0";"0";"0";"0";"0"
"";"";"23";"Hernández Martínez, A.";"0";"0";"0";"0";"0";"0"
"";"";"24";"Jansen, W.";"0";"0";"0";"0";"0";"0"
"";"";"25";"Heere, T.J.M.";"0";"0";"0";"0";"0";"0"
"";"";"26";"Haasnoot, J.H.";"0";"0";"0";"0";"0";"0"
"";"";"27";"van Orsouw, J.H.T.";"1";"0";"0";"0";"1";"0"
"";"";"28";"Molenaar, R.";"0";"0";"0";"0";"0";"0"
"";"";"29";"Haije, A.F.";"0";"0";"0";"0";"0";"0"
"";"";"30";"Spooren, A.J.M.";"0";"0";"0";"0";"0";"0"
"";"";"31";"de Meij, O.A.C.";"2";"0";"0";"1";"0";"1"
"";"";"32";"van Wanrooij, A.C.P.";"0";"0";"0";"0";"0";"0"
"";"";"33";"Brouwers, J.F.X.M.";"0";"0";"0";"0";"0";"0"
"";"";"34";"van Hulst, J.A.M.";"0";"0";"0";"0";"0";"0"
"";"";"35";"Gralike, R.B.M.";"0";"0";"0";"0";"0";"0"
"";"";"36";"Bergwerf, F.";"0";"0";"0";"0";"0";"0"
"";"";"37";"van der Schaaf, A.";"0";"0";"0";"0";"0";"0"
"";"";"38";"Bergh, B.D.";"0";"0";"0";"0";"0";"0"
"";"";"39";"Oesterreicher, G.F.";"0";"0";"0";"0";"0";"0"
"";"";"40";"de Vries, D.P.";"0";"0";"0";"0";"0";"0"
"";"";"41";"Gertsen, J.W.M.";"0";"0";"0";"0";"0";"0"
"";"";"42";"Meijer, H.";"0";"0";"0";"0";"0";"0"
"";"";"43";"van Zanten, D.";"0";"0";"0";"0";"0";"0"
"";"";"44";"ten Cate, H.J.";"0";"0";"0";"0";"0";"0"
"";"";"45";"Rose, F.J.";"0";"0";"0";"0";"0";"0"
"";"";"46";"Lamberts, H.";"0";"0";"0";"0";"0";"0"
"";"";"47";"de Vries, A.E.";"0";"0";"0";"0";"0";"0"
"";"";"48";"van de Wal, H.J.C.M.";"0";"0";"0";"0";"0";"0"
"";"";"49";"Hoek, W.M.M.";"1";"1";"0";"0";"0";"0"
"";"";"50";"Struijlaard, J.W.A.";"0";"0";"0";"0";"0";"0"
"12";"OndernemersPartij";"";"";"12";"0";"3";"4";"3";"2"
"";"";"1";"Brinkman, H.";"8";"0";"2";"3";"2";"1"
"";"";"2";"Gaasbeek, M.";"1";"0";"0";"0";"1";"0"
"";"";"3";"de Vries, J.L.G.";"1";"0";"0";"0";"0";"1"
"";"";"4";"Kicken, J.M.H.";"2";"0";"1";"1";"0";"0"
"";"";"5";"van den Berg, J.O.";"0";"0";"0";"0";"0";"0"
"";"";"6";"de Koning, M.";"0";"0";"0";"0";"0";"0"
"";"";"7";"Theocharis, S.";"0";"0";"0";"0";"0";"0"
"";"";"8";"Andriol, S.J.R.";"0";"0";"0";"0";"0";"0"
"";"";"9";"Bol, R.G.";"0";"0";"0";"0";"0";"0"
"";"";"10";"Reitsma, H.H.";"0";"0";"0";"0";"0";"0"
"";"";"11";"Wood, D.R.";"0";"0";"0";"0";"0";"0"
"13";"VNL (VoorNederland)";"";"";"27";"7";"2";"7";"3";"8"
"";"";"1";"Roos, J.H.";"22";"6";"1";"6";"3";"6"
"";"";"2";"van Klaveren, J.J.";"2";"0";"0";"1";"0";"1"
"";"";"3";"Bontes, L.";"0";"0";"0";"0";"0";"0"
"";"";"4";"Hoogwerf, T.C.";"1";"0";"1";"0";"0";"0"
"";"";"5";"Sassen, J.H.N.A.";"0";"0";"0";"0";"0";"0"
"";"";"6";"Versteeg, M.A.J.";"0";"0";"0";"0";"0";"0"
"";"";"7";"de Laat, J.M.";"0";"0";"0";"0";"0";"0"
"";"";"8";"van der Meer, S.";"0";"0";"0";"0";"0";"0"
"";"";"9";"Vermaas, P.C.";"0";"0";"0";"0";"0";"0"
"";"";"10";"Himpers, J.";"0";"0";"0";"0";"0";"0"
"";"";"11";"van Gemert, R.J.H.";"0";"0";"0";"0";"0";"0"
"";"";"12";"Oosterhagen, H.J.";"0";"0";"0";"0";"0";"0"
"";"";"13";"Molema, J.F.H.";"0";"0";"0";"0";"0";"0"
"";"";"14";"de Gast, A.L.M.";"0";"0";"0";"0";"0";"0"
"";"";"15";"Chandarsing, A.S.";"0";"0";"0";"0";"0";"0"
"";"";"16";"van Tiggelen, R.";"0";"0";"0";"0";"0";"0"
"";"";"17";"de Veth, C.G.";"0";"0";"0";"0";"0";"0"
"";"";"18";"Stassen, L.J.A.J.";"2";"1";"0";"0";"0";"1"
"14";"DENK";"";"";"51";"3";"3";"3";"2";"40"
"";"";"1";"Kuzu, T.";"20";"1";"0";"2";"0";"17"
"";"";"2";"Azarkan, F.";"20";"1";"3";"0";"1";"15"
"";"";"3";"Öztürk, S.";"0";"0";"0";"0";"0";"0"
"";"";"4";"Albitrouw, G.";"4";"0";"0";"0";"1";"3"
"";"";"5";"van Baarle, S.R.T.";"0";"0";"0";"0";"0";"0"
"";"";"6";"Charlot, M.J.H.";"0";"0";"0";"0";"0";"0"
"";"";"7";"Taimounti, M.";"5";"1";"0";"1";"0";"3"
"";"";"8";"Kiliç, A.";"1";"0";"0";"0";"0";"1"
"";"";"9";"Koolbergen, M.M.";"0";"0";"0";"0";"0";"0"
"";"";"10";"Tsouli, A.";"0";"0";"0";"0";"0";"0"
"";"";"11";"van Splunter, M.";"0";"0";"0";"0";"0";"0"
"";"";"12";"Uysal, ?.";"0";"0";"0";"0";"0";"0"
"";"";"13";"Karaman, R.";"1";"0";"0";"0";"0";"1"
"";"";"14";"Raja, T.M.";"0";"0";"0";"0";"0";"0"
"";"";"15";"Kayi?, Y.";"0";"0";"0";"0";"0";"0"
"";"";"16";"Rana, M.Z.T.";"0";"0";"0";"0";"0";"0"
"";"";"17";"Demirel, N.";"0";"0";"0";"0";"0";"0"
"";"";"18";"Ince, K.";"0";"0";"0";"0";"0";"0"
"15";"NIEUWE WEGEN";"";"";"8";"1";"1";"4";"1";"1"
"";"";"1";"Oosenbrug, A.";"3";"0";"1";"2";"0";"0"
"";"";"2";"Monasch, J.S.";"2";"0";"0";"2";"0";"0"
"";"";"3";"Beemsterboer, R.J.C.";"1";"1";"0";"0";"0";"0"
"";"";"4";"Ekiz, I.";"0";"0";"0";"0";"0";"0"
"";"";"5";"Spitsbaard, A.W.";"0";"0";"0";"0";"0";"0"
"";"";"6";"Vianen-van der Geest, G.C.J.";"0";"0";"0";"0";"0";"0"
"";"";"7";"van Leeuwen, C.H.";"1";"0";"0";"0";"1";"0"
"";"";"8";"van Duijvenvoorde, A.";"0";"0";"0";"0";"0";"0"
"";"";"9";"Jochems, I.C.A.M.";"0";"0";"0";"0";"0";"0"
"";"";"10";"Dijkstra, S.J.";"0";"0";"0";"0";"0";"0"
"";"";"11";"Durgaram, R.M.H.";"0";"0";"0";"0";"0";"0"
"";"";"12";"de Vries, Y.";"0";"0";"0";"0";"0";"0"
"";"";"13";"Verstappen, J.H.M.";"0";"0";"0";"0";"0";"0"
"";"";"14";"van Scheyen, I.S.L.";"0";"0";"0";"0";"0";"0"
"";"";"15";"de Jong, B.D.";"0";"0";"0";"0";"0";"0"
"";"";"16";"van Leeuwen, G.L.F.";"0";"0";"0";"0";"0";"0"
"";"";"17";"Pijpker, J.";"0";"0";"0";"0";"0";"0"
"";"";"18";"van Eldik, D.A.";"0";"0";"0";"0";"0";"0"
"";"";"19";"Willemstein, J.S.A.";"0";"0";"0";"0";"0";"0"
"";"";"20";"Komdeur, E.";"0";"0";"0";"0";"0";"0"
"";"";"21";"van Dijken, R.G.";"0";"0";"0";"0";"0";"0"
"";"";"22";"Heyser, R.";"0";"0";"0";"0";"0";"0"
"";"";"23";"van Gessel, R.";"1";"0";"0";"0";"0";"1"
"";"";"24";"Haak, M.H.D.";"0";"0";"0";"0";"0";"0"
"";"";"25";"Thiemann, J.H.";"0";"0";"0";"0";"0";"0"
"";"";"26";"Visscher, K.J.J.";"0";"0";"0";"0";"0";"0"
"";"";"27";"Hurtado-Panek, J.";"0";"0";"0";"0";"0";"0"
"";"";"28";"van der Maas, W.L.";"0";"0";"0";"0";"0";"0"
"";"";"29";"de Boer, S.";"0";"0";"0";"0";"0";"0"
"";"";"30";"Buchel, L.G.H.";"0";"0";"0";"0";"0";"0"
"16";"Forum voor Democratie";"";"";"155";"26";"30";"46";"21";"32"
"";"";"1";"Baudet, T.H.P.";"99";"17";"19";"34";"14";"15"
"";"";"2";"Hiddema, T.U.";"42";"8";"7";"10";"6";"11"
"";"";"3";"Teunissen, S.M.";"5";"0";"4";"0";"1";"0"
"";"";"4";"Otten, H.";"1";"0";"0";"0";"0";"1"
"";"";"5";"Frentrop, P.M.L.";"0";"0";"0";"0";"0";"0"
"";"";"6";"Rooken, R.J.";"0";"0";"0";"0";"0";"0"
"";"";"7";"Stolze-van Rijn, S.E.";"1";"0";"0";"1";"0";"0"
"";"";"8";"Reedijk, G.P.";"0";"0";"0";"0";"0";"0"
"";"";"9";"Ramautarsing, Y.J.S.";"1";"0";"0";"0";"0";"1"
"";"";"10";"Brouwer, Z.M.A.";"0";"0";"0";"0";"0";"0"
"";"";"11";"de Vries, J.W.E.";"0";"0";"0";"0";"0";"0"
"";"";"12";"Legger, A.L.";"0";"0";"0";"0";"0";"0"
"";"";"13";"Dieudonné, C.A.";"0";"0";"0";"0";"0";"0"
"";"";"14";"van Assen, G.J.E.";"0";"0";"0";"0";"0";"0"
"";"";"15";"Jeelof, G.W.D.";"1";"0";"0";"0";"0";"1"
"";"";"16";"Boltjes, L.";"0";"0";"0";"0";"0";"0"
