Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;;;
Gebied;;Gemeente Brunssum;;;;;;;;;;;;;;;;
Nummer;;899;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;D'r Brikkeoave;Parochiezaal Gregorius-kerk;zaal cafe De Kroeg;Verpleeghuis Schuttershof;BS Meander;Zorgcentrum Huize Louise;Speeltuingebouw Buschkesberg;Brede School Langeberg;Verenigingsgebouw De Burcht;Parochiezaaltje Barbara-kerk;Trefcentrum;Zorgcentrum Emmastaete;Basisschool Fatima;Microhal Brunssum-Noord
;;11;Kuik, A.;4;1;0;0;0;0;0;1;0;0;1;0;0;1;0
;;12;van Dam, C.J.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Mulder, A.H.;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0
;;14;Rog, M.R.J.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Amhaouch, M.;12;0;0;0;0;1;0;0;1;0;1;0;0;8;1
;;16;van Helvert, M.J.F.;488;49;37;5;40;7;33;12;22;24;57;23;32;56;91
;;17;Ronnes, H.A.G.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;18;van den Berg-Jansen, J.A.M.J.;3;0;0;0;0;0;1;0;0;0;0;0;1;1;0
;;19;Slootweg, E.J.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;20;Geluk-Poortvliet, L.W.D.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;21;Palland, H.M.;3;0;2;0;0;0;0;0;0;1;0;0;0;0;0
;;22;de Pater-Postma, W.L.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;23;Terpstra, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Steenbakkers, S.P.M.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van den Anker, G.P.;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;26;Heijnen, V.L.W.A.;212;33;19;4;10;4;15;10;10;5;16;15;17;18;36
;;27;den Bak, S.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Schotman, C.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;29;Erkel, P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Zwinkels, C.C.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Hanemaaijer, E.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Hutten, G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Kip, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;van Mierlo, E.J.F.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;de Korte-Verhoef, M.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Bergkamp, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;de Haan, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van Opstal, J.M.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Gardeniers, B.H.M.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;40;Bal, M.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;41;Vrugt, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Dekken, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Vloet, W.J.M.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;von Martels, M.R.H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van der Broek, J.M.A.R.;24;3;6;0;0;2;1;0;0;1;3;0;2;1;5
;;46;Knoops, J.J.M.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;7
;;47;Claessens, C.M.J.P.;38;0;4;1;0;0;4;0;1;4;13;2;0;7;2
;;48;Breugelmans, M.A.M.;12;0;0;0;0;0;0;0;0;0;1;1;8;0;2
;;49;Stals, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;van Leeuwen, J.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1
6;Democraten 66 (D66);;;1262;89;77;19;55;49;81;63;70;68;141;96;153;141;160
;;1;Pechtold, A.;950;75;55;13;39;35;62;44;53;51;105;75;113;107;123
;;2;van Veldhoven, S.;48;1;3;1;2;4;2;3;2;1;10;0;6;8;5
;;3;Koolmees, W.;6;0;2;0;0;1;0;1;0;0;0;0;2;0;0
;;4;Dijkstra, P.A.;60;3;3;0;6;1;5;1;4;3;6;8;12;4;4
;;5;van Engelshoven, I.K.;7;0;0;0;0;0;0;0;0;0;1;2;2;2;0
;;6;Bergkamp, V.A.;9;0;0;0;0;0;4;0;1;0;2;0;0;1;1
;;7;Verhoeven, K.;3;0;0;0;0;0;0;0;0;0;1;0;1;0;1
;;8;van Meenen, P.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Paternotte, J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Van Weyenberg, S.P.R.A.;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;11;Sjoerdsma, S.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Jetten, R.A.A.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;Van Eijs, J.M.;8;0;1;0;1;0;0;1;0;0;2;0;0;1;2
;;14;Belhaj, S.;8;1;4;0;0;1;0;0;0;1;0;0;0;0;1
;;15;Groothuizen, M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;16;Bouali, A.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Raemakers, R.;56;4;2;0;3;2;4;5;4;4;3;4;6;3;12
;;18;Diertens, A.E.;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0
;;19;de Groot, T.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;den Boer, M.G.W.;7;0;0;0;0;1;0;0;0;1;2;0;1;1;1
;;21;Sienot, M.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Sneller, J.C.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;23;Schonis, R.A.J.;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;24;van Beukering-Huijbregts, M.J.T.G.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;25;Meijer, A.A.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;26;Eurlings-Tonnaer, F.M.C.L.;84;4;6;3;3;3;4;6;5;5;9;7;9;12;8
;;27;Ramlal, M.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Bemmel, M.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Lamers, C.B.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;30;van Essen, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Verbrugge-Wormgoor, D.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van der Laan, J.M.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Zarroy, N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Winkel, B.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Bamenga, P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Sanders, N.P.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Guernaoui, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Kat, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Keij, E.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Bosman, A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Schukking, S.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Schepel, W.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Glastra van Loon, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;van Vugt, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Dun, C.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Wirken, S.T.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;47;de Smoker-van Andel, N.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Hoogeveen, T.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Terlouw, G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Ross, H.J.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
7;ChristenUnie;;;223;11;11;7;6;11;4;21;3;7;26;18;61;14;23
;;1;Segers, G.M.;163;4;5;5;6;7;2;18;3;5;18;15;47;9;19
;;2;Schouten, C.J.;18;2;2;0;0;0;0;2;0;0;2;2;5;1;2
;;3;Voordewind, J.S.;6;0;0;0;0;1;2;1;0;0;0;0;1;0;1
;;4;Dik-Faber, R.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Bruins, E.E.W.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;6;van der Graaf, S.J.F.;3;1;0;0;0;0;0;0;0;1;0;0;0;1;0
;;7;Ceder, D.G.M.;5;0;2;1;0;1;0;0;0;0;1;0;0;0;0
;;8;Vreugdenhil, H.J.;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;9;Drost, N.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;10;Gooijer-Medema, J.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Huisman, G.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Rots, D.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Tijhof, B.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Grinwis, P.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Vlieg-Kempe, H.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Meijer, L.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Janssen, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Heuvelink, M.E.C.;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van 't Foort, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Treurniet-Klapwijk, W.A.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;21;Mostert, I.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Kennedy-Doornbos, S.J.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;23;Ebid, E.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Hofstra, H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Kumar, A.D.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Weigand-Timmer, H.A.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Visser, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Kaper-Hartenberg, E.T.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;29;Krins, J.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Schuring, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;van Tatenhove-Meesen, J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Joosten-Leijendekker, J.M.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Zuidervaart, L.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Jaspers Faijer, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Jongman-Mollema, I.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;de Haan, J.T.;13;1;0;0;0;2;0;0;0;1;2;1;4;1;1
;;37;Baars, H.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Visser, F.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Klein, A.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Seyed Mehdi, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Kooij-Bas, A.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Kranenburg, C.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;van den Berg, G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Balootje, I.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Zaalen, F.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Haga, A.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;47;van der Spoel, P.L.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Stoorvogel, H.;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;49;van der Veer, A.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;50;Bottenbley, O.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;GROENLINKS;;;949;66;69;35;53;49;59;42;38;46;112;72;74;93;141
;;1;Klaver, J.F.;792;55;52;31;39;42;46;36;36;39;89;63;64;83;117
;;2;Buitenweg, K.M.;54;4;6;1;6;2;2;4;1;3;8;0;3;6;8
;;3;van der Lee, T.M.T.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;4;Voortman, L.G.J.;19;1;0;1;1;2;2;0;0;0;4;2;1;0;5
;;5;Grashoff, H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;van Tongeren, L.;7;1;0;0;0;0;1;0;0;0;0;2;2;1;0
;;7;de Jonge van Ellemeet, C.E.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;8;Özdil, Z.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Snels, B.A.W.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;10;van Ojik, A.;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;11;Kröger, S.C.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1
;;12;Özütok, N.;5;1;2;0;0;1;1;0;0;0;0;0;0;0;0
;;13;Smeulders, P.H.M.;3;0;2;0;0;0;0;0;0;0;0;0;0;0;1
;;14;Westerveld, E.M.;4;0;0;1;2;0;0;0;0;1;0;0;0;0;0
;;15;Bromet, L.;3;0;0;0;1;0;0;0;0;1;0;0;0;0;1
;;16;Renkema, W.J.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Essen, H.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van den Berge, C.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Diks, L.I.;6;1;1;0;0;0;0;0;0;0;1;0;2;0;1
;;20;van den Nieuwenhuijzen-Wittens, T.J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Mahtab, I.A.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Bouwkamp, C.C.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;23;van den Bosch, D.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;24;van der Steenhoven, M.V.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;25;Bonte, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van der Kleij, A.M.;24;1;4;0;3;0;3;1;0;0;4;1;1;2;4
;;27;Kuipers, J.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Arnoldussen, J.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;29;Duursma, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Önder, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Vintges, V.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Bashara, S.R.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;33;Bellemakers, H.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Smelik, C.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Schers, S.R.M.;3;0;0;0;0;0;0;0;0;0;2;0;1;0;0
;;36;Klijmij-van der Laan, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Piers, R.P.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Vermast, P.L.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Snaas, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;van Oort, K.J.H.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Hirsch, D.H.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;42;van Grootheest, G.J.;12;1;1;0;1;1;1;0;1;0;2;2;0;0;2
;;43;van Hooijdonk, L.H.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Kapteijns, F.H.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Scholten, H.T.M.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;46;Muambi, A.O.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Homan-Brinkman, N.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;48;El Fassed, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Rüter, J.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;van Gent, W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Staatkundig Gereformeerde Partij (SGP);;;45;3;2;2;2;0;4;0;1;0;7;2;13;0;9
;;1;van der Staaij, C.G.;40;3;2;2;0;0;4;0;1;0;7;2;13;0;6
;;2;Dijkgraaf, E.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;3;Bisschop, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;Ruissen, H.J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Stoffer, C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Schipaanboord, G.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Kloosterman, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Tanis, J.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Veldman, J.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Nieuwenhuis, E.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Weggeman, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Hoek, P.W.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;de Knegt, L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Flach, A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Wikselaar, W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van Leeuwen, G.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Bosma, E.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Kok, W.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Bakker, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Boonzaaijer, G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Simonse, J.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Duijn, W.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van Westreenen, S.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;24;van 't Land, J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Noordergraaf, P.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Benschop, J.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Dorst, A.I.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van den Berg, W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;de Vries, W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Brouwer, M.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1
10;Partij voor de Dieren;;;577;45;36;29;32;43;39;29;44;36;46;34;43;56;65
;;1;Thieme, M.L.;438;28;26;22;26;35;27;26;31;26;36;25;34;45;51
;;2;Ouwehand, E.;11;1;0;0;0;0;3;0;1;1;3;0;1;0;1
;;3;van Raan, L.;5;0;1;2;0;0;0;1;0;0;0;0;0;1;0
;;4;Wassenberg, F.P.;40;2;1;3;2;2;3;1;4;2;3;4;4;5;4
;;5;Arissen, F.M.;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;6;van Esch, E.M.;4;1;0;0;0;1;0;0;0;0;0;0;0;1;1
;;7;Teunissen, C.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;8;van Leeuwen, M.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;9;Koffeman, N.K.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;10;Engelen, E.R.;5;0;3;0;0;1;0;0;0;0;0;0;0;1;0
;;11;van Lammeren, J.F.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Akerboom, E.S.;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;13;van Liere, A.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Voorthuizen, G.S.L.;8;1;1;0;1;1;1;0;2;1;0;0;0;0;0
;;15;van der Wel, M.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van der Veer, L.R.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;17;van Viegen, A.H.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Keller, H.J.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;19;van Doorn, M.E.C.;3;1;0;1;0;0;0;0;0;0;0;0;0;0;1
;;20;Plusquin, P.S.M.L.;37;6;1;1;2;3;5;0;5;3;2;4;1;1;3
;;21;van der Velden, R.T.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Smit, I.R.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;23;Vestering, L.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;24;Travaille, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;de Wrede, K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van der Zanden, C.J.M.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Janssens, T.A.O.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Kosti?, I.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Hazekamp, A.A.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Berendse, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Biesheuvel, J.M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Cruiming, J.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Dumon Tak, M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Engelsman, V.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;de Haas, J.L.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;36;van der Heijden, A.F.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Herstel, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van der Steen, M.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Meijer, E.R.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;40;Mutsaers, C.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Nicolaï, P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Postma, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Rot, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Rotenstreich, M.M.;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;de Schepper, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Schrijver, J.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Siebelink, J.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;van Veen, B.;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;49;Verbaan, G.C.;3;0;0;0;0;0;0;0;0;1;0;0;2;0;0
;;50;Woesthoff, M.F.F.;4;1;0;0;0;0;0;0;0;2;0;0;0;0;1
11;50PLUS;;;955;114;71;28;45;45;72;40;47;41;105;66;78;72;131
;;1;Krol, H.C.M.;647;76;48;19;35;32;53;29;26;27;69;44;51;53;85
;;2;Sazias, L.;92;8;4;1;2;5;6;5;7;7;5;5;16;10;11
;;3;van Rooijen, M.J.;14;2;1;0;1;0;2;0;1;1;2;2;1;0;1
;;4;van Brenk, C.M.;7;1;0;0;1;0;0;0;0;1;1;2;0;1;0
;;5;van Otterloo, G.J.P.;3;0;0;0;0;0;0;1;0;0;0;1;1;0;0
;;6;Geleijnse, S.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;7;Bode, E.M.;3;0;0;0;0;1;0;0;0;0;1;0;0;0;1
;;8;Schrover, W.A.A.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;9;Koopman, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;de Brouwer, R.B.P.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;;11;Wiersma, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Bergen, P.H.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;13;van Veeren, P.;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;14;Willemse, W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Fonhof, G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Kroonstuiver, N.L.D.;31;7;4;0;0;0;3;1;1;0;9;0;2;0;4
;;17;Verboom, H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van de Griendt, M.W.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Overveld, W.A.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Hamersma, K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Siepel, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Kerkhof, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Hernández Martínez, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Jansen, W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
