LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 3,Sb 4,Sb 5,Sb 6,Sb 7,Sb 8,Sb 9,Sb 10,Sb 11,Sb 12,Sb 13,Sb 14,Sb 15,Sb 16,Sb 17
,,17,"van Gerven, H.P.J. (Henk) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,18,"Olders, D.W.J. (Diederik) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,19,"Heerschop, A.H.J. (Ton) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,20,"Meijer, A.M. (Ad) (m)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,21,"Maes, S.A.A. (Bas) (m)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,22,"Meyer, R.P.E. (Ron) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,23,"van Dijk - van Leeuwen, S.Y. (Sun Yoon) (v)",2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
,,24,"de Wit, D.H. (Daniël) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,25,"Peterse, B. (Bert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"Hoekstra, A.J. (Arnout) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,27,"Boerwinkel, E.M.J. (Hans) (m)",3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,28,"Hamerslag, P.H. (Patty) (v)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,29,"Buskoop, B. (Bram) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30,"Temmink, N.G.J. (Nicole) (v)",2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
,,31,"de Ridder, N. (Nina) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,32,"van Sluijs, D. (Denise) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,33,"Akhiat, A. (Aïsha) (v)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,34,"van Gemert, N.M. (Nicole) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35,"Dijk, J.P. (Jimmy) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,36,"de Vos, A. (Anita) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,37,"Bekkering, I.H. (Ineke) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,38,"Staarink, I. (Inez) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,39,"Müller, G.J.N. (Nils) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,40,"Feenstra, F. (Fenna) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,41,"Olierook, M.W. (Marcel) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,42,"ten Heuw, M.A. (Mariska) (v)",131,10,5,12,7,2,5,8,5,7,13,13,11,2,11,10,5,5
,,43,"Helmer - Englebert, R.D. (Renske) (v)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,44,"Vliegenthart, A. (Arjan) (m)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,45,"van Gijlswijk, L.R. (Rosita) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,46,"Schut, E. (Esther) (v)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,47,"Rozema, H.F. (Harry) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,48,"de Koe, H.E. (Hillie) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,49,"Futselaar, J.E.L. (Annelies) (v)",41,4,1,1,0,2,2,3,4,8,2,0,0,3,6,2,1,2
,,50,"Poppe, R.J.L. (Remi) (m)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CDA,1,"van Haersma Buma, S. (Sybrand) (m)",1220,87,71,60,81,79,74,69,84,43,87,81,50,65,76,88,63,62
,,2,"Keijzer, M.C.G. (Mona) (v)",133,21,7,2,8,10,6,9,6,8,10,3,8,7,9,6,8,5
,,3,"Peters, W.P.H.J. (René) (m)",180,0,1,1,0,0,0,0,1,1,0,172,1,0,1,1,0,1
,,4,"Omtzigt, P.H. (Pieter) (m)",2510,263,136,132,181,121,166,177,161,110,181,0,140,114,193,134,116,185
,,5,"van Toorenburg, M.M. (Madeleine) (v)",25,1,0,0,0,2,2,0,3,1,0,3,0,1,0,5,3,4
,,6,"Knops, R.W. (Raymond) (m)",4,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0
,,7,"Heerma, P.E. (Pieter) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,8,"van der Molen, H. (Harry) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,9,"Bruins Slot, H.G.J. (Hanke) (v)",4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
,,10,"Geurts, J.L. (Jaco) (m)",2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,11,"Kuik, A. (Anne) (v)",7,0,1,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0
,,12,"van Dam, C.J.L. (Chris) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,13,"Mulder, A.H. (Agnes) (v)",12,1,1,0,1,0,1,1,1,0,0,0,1,0,2,1,1,1
,,14,"Rog, M.R.J. (Michel) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,15,"Amhaouch, M. (Mustafa) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,16,"van Helvert, M.J.F. (Martijn) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,17,"Ronnes, H.A.G. (Erik) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18,"van den Berg - Jansen, J.A.M.J. (Joba) (v)",2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,19,"Slootweg, E.J. (Evert Jan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,20,"Geluk - Poortvliet, L.W.D. (Lenny) (v)",2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,21,"Palland, H.M. (Hilde) (v)",15,1,1,0,0,0,1,1,1,0,2,4,0,0,3,0,1,0
,,22,"de Pater - Postma, W.L. (Wytske) (v)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
,,23,"Terpstra, J.H. (Julius) (m)",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,24,"Steenbakkers, S.P.M.F. (Stijn) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,25,"van den Anker, G.P. (Gerard) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"Heijnen, V.L.W.A. (Vivianne) (v)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,27,"den Bak, S.W. (Sebastiaan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,28,"Schotman, C.J. (Chris) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,29,"Erkel, P. (Arjan) (m)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30,"Zwinkels, C.C.M. (Karin) (v)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,31,"Hanemaaijer, E. (Esther) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,32,"Hutten, G.J. (Jan) (m)",12,0,2,0,0,0,1,2,3,0,0,0,1,1,0,2,0,0
,,33,"Kip, M. (Marischa) (v)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,34,"van Mierlo, E.J.F.M. (Eugène) (m)",27,0,1,3,1,3,8,3,1,2,0,0,0,0,0,3,1,1
,,35,"de Korte - Verhoef, M.C. (Ria) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,36,"Bergkamp, B. (Bob) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,37,"de Haan, J. (Jan-Jaap) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,38,"van Opstal, J.M.M. (Jochgem) (m)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,39,"Gardeniers, B.H.M. (Barbara) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,40,"Bal, M. (Mustafa) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,41,"Vrugt, R. (René) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,42,"van Dekken, B. (Bart) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,43,"Vloet, W.J.M.M. (Wiljan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,44,"von Martels, M.R.H.M. (Maurits) (m)",19,0,0,1,1,0,0,1,0,0,0,0,5,2,0,4,1,4
,,45,"van der Broek, J.M.A.R. (Roy) (m)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,46,"Dannenberg, H.J. (Erik) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,47,"Spanbroek, E.J.P. (Lisanne) (v)",2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
,,48,"Morskate, T.J.J. (Theo) (m)",20,1,0,1,0,0,0,2,1,0,2,2,1,0,3,1,4,2
,,49,"Beun, W. (Bert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50,"Rutten, B.G.J.H. (Bouwien) (v)",69,1,2,3,5,3,6,4,9,2,2,6,3,7,5,3,1,7
6,Democraten 66 (D66),1,"Pechtold, A. (Alexander) (m)",1799,192,84,91,111,100,122,69,81,61,107,109,81,68,151,93,139,140
,,2,"van Veldhoven, S. (Stientje) (v)",130,11,7,10,6,6,16,4,6,3,3,5,6,8,9,11,7,12
,,3,"Koolmees, W. (Wouter) (m)",10,0,0,1,1,0,0,0,1,1,1,0,0,0,3,1,0,1
,,4,"Dijkstra, P.A. (Pia) (v)",196,32,7,5,12,12,14,9,6,10,11,13,6,15,13,11,7,13
,,5,"van Engelshoven, I.K. (Ingrid) (v)",11,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,1
,,6,"Bergkamp, V.A. (Vera) (v)",15,1,0,0,1,2,0,2,1,0,1,1,2,2,1,0,0,1
,,7,"Verhoeven, K. (Kees) (m)",6,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
,,8,"van Meenen, P.H. (Paul) (m)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,9,"Paternotte, J.M. (Jan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,10,"Van Weyenberg, S.P.R.A. (Steven) (m)",32,0,0,0,0,0,0,1,1,0,0,0,30,0,0,0,0,0
,,11,"Sjoerdsma, S.W. (Sjoerd) (m)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,12,"Jetten, R.A.A. (Rob) (m)",3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,13,"Van Eijs, J.M. (Jessica) (v)",17,2,1,1,0,0,1,2,1,0,1,2,0,1,0,0,0,5
,,14,"Belhaj, S. (Salima) (v)",2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
,,15,"Groothuizen, M. (Maarten) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,16,"Bouali, A. (Achraf) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,17,"Raemakers, R. (Rens) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18,"Diertens, A.E. (Antje) (v)",18,2,2,1,3,0,0,0,1,0,1,0,0,0,5,1,2,0
,,19,"de Groot, T.C. (Tjeerd) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,20,"den Boer, M.G.W. (Monica) (v)",9,0,0,1,0,0,4,1,0,0,0,1,0,0,0,1,0,1
,,21,"Sienot, M.F. (Matthijs) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,22,"Sneller, J.C. (Joost) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,23,"Schonis, R.A.J. (Rutger) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,24,"van Beukering - Huijbregts, M.J.T.G. (Marijke) (v)",3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
,,25,"Meijer, A.A. (Arend) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"Eurlings - Tonnaer, F.M.C.L. (Franca) (v)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,27,"Ramlal, M.R. (Munish) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,28,"van Bemmel, M.E. (Martine) (v)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,29,"Lamers, C.B.M. (Kristie) (v)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,30,"van Essen, J. (Jaimi) (m)",398,48,16,15,35,19,8,20,16,14,26,28,0,13,39,31,22,48
,,31,"Verbrugge - Wormgoor, D.C. (Dina) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,32,"van der Laan, J.M.P. (Jeanet) (v)",5,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0
,,33,"Zarroy, N. (Noureddine) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,34,"Winkel, B.T. (Bastiaan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35,"Bamenga, P. (Mpanzu) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,36,"Sanders, N.P.C. (Noëlle) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,37,"Guernaoui, R. (Rachid) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,38,"Kat, H. (Hülya) (v)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,39,"Keij, E.J. (Eelco) (m)",3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
,,40,"Bosman, A.M. (Marijn) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,41,"Schukking, S.S. (Sietze) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,42,"Schepel, W.D. (Wibo) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,43,"Glastra van Loon, J.H. (Jan) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,44,"van Vugt, T. (Thierry) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,45,"van Dun, C.M. (Corine) (v)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,46,"Wirken, S.T. (Stefan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,47,"de Smoker - van Andel, N. (Nelleke) (v)",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,48,"Hoogeveen, T.C. (Carmen) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,49,"Terlouw, G. (Bert) (m)",9,0,1,0,0,0,0,0,2,0,0,1,0,2,1,0,0,2
,,50,"Ross, H.J. (Dick) (m)",2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
7,ChristenUnie,1,"Segers, G.M. (Gert-Jan) (m)",114,8,8,6,13,6,7,3,5,4,13,7,6,10,5,5,4,4
,,2,"Schouten, C.J. (Carola) (v)",13,0,1,1,0,0,2,1,0,2,1,1,2,1,1,0,0,0
,,3,"Voordewind, J.S. (Joël) (m)",5,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0
,,4,"Dik - Faber, R.K. (Carla) (v)",2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,5,"Bruins, E.E.W. (Eppo) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,"van der Graaf, S.J.F. (Stieneke) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,7,"Ceder, D.G.M. (Don) (m)",2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,8,"Vreugdenhil, H.J. (Hermen) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,9,"Drost, N. (Nico) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,10,"Gooijer - Medema, J.K. (Joëlle) (v)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,11,"Huisman, G.W. (Gerben) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,12,"Rots, D.G. (Gerdien) (v)",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,13,"Tijhof, B.D. (Bert) (m)",3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
,,14,"Grinwis, P.A. (Pieter) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,15,"Vlieg - Kempe, H.A. (Harmke) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,16,"Meijer, L.E. (Leon) (m)",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,17,"Janssen, J. (Jannes) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,18,"Heuvelink, M.E.C. (Marijke) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,19,"van 't Foort, S. (Sander) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,20,"Treurniet - Klapwijk, W.A. (Willemien) (v)",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,21,"Mostert, I.G. (Gerard) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,22,"Kennedy - Doornbos, S.J. (Simone) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,23,"Ebid, E.K. (Esam) (m)",10,0,0,2,0,0,1,0,0,3,3,1,0,0,0,0,0,0
,,24,"Hofstra, H.J. (Harold) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,25,"Kumar, A.D.J.M. (Anil) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"Weigand - Timmer, H.A.C. (Jet) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,27,"Visser, B. (Ben) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,28,"Kaper - Hartenberg, E.T. (Esther) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,29,"Krins, J.T. (Theo) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30,"Schuring, H. (Heimen) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,31,"van Tatenhove - Meesen, J.A. (Ankie) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,32,"Joosten - Leijendekker, J.M.J. (Janny) (v)",5,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
,,33,"Zuidervaart, L.M. (Loes) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,34,"Jaspers Faijer, B. (Bart) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35,"Jongman - Mollema, I.M. (Inge) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,36,"de Haan, J.T. (Jesse) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,37,"Baars, H.C. (Dico) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,38,"Visser, F.C. (Frank) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,39,"Klein, A.C. (Annacarina) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,40,"Seyed Mehdi, F. (Farshid) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,41,"Kooij - Bas, A.E. (Els) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,42,"van Kranenburg, C.J. (Kees) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,43,"van den Berg, G. (Gert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,44,"Balootje, I.S. (Ixora) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,45,"van Zaalen, F.P. (Frans) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,46,"Haga, A. (Anja) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,47,"van der Spoel, P.L.R. (Ron) (m)",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,48,"Stoorvogel, H. (Henk) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,49,"van der Veer, A. (Arie) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50,"Bottenbley, O.E. (Orlando) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,GROENLINKS,1,"Klaver, J.F. (Jesse) (m)",1066,93,49,48,65,71,49,67,66,40,72,84,54,42,74,79,53,60
,,2,"Buitenweg, K.M. (Kathalijne) (v)",96,10,5,3,5,4,5,3,5,4,4,11,5,4,7,6,3,12
,,3,"van der Lee, T.M.T. (Tom) (m)",5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,4,"Voortman, L.G.J. (Linda) (v)",37,7,1,0,0,2,2,1,3,0,2,1,3,3,1,3,3,5
,,5,"Grashoff, H.J. (Rik) (m)",4,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
,,6,"van Tongeren, L. (Liesbeth) (v)",24,1,0,0,1,3,0,0,0,1,7,1,0,2,0,5,2,1
,,7,"de Jonge van Ellemeet, C.E. (Corinne) (v)",4,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
,,8,"Özdil, Z. (Zihni) (m)",8,1,0,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0
,,9,"Snels, B.A.W. (Bart) (m)",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,,10,"van Ojik, A. (Bram) (m)",4,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
,,11,"Kröger, S.C. (Suzanne) (v)",3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
,,12,"Özütok, N. (Nevin) (v)",7,0,0,0,1,1,0,0,0,2,0,1,0,1,0,0,1,0
,,13,"Smeulders, P.H.M. (Paul) (m)",12,4,1,0,0,0,4,1,0,0,0,0,0,1,0,0,0,1
,,14,"Westerveld, E.M. (Lisa) (v)",15,0,1,0,0,0,1,1,0,2,0,1,1,2,1,2,2,1
,,15,"Bromet, L. (Laura) (v)",3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
,,16,"Renkema, W.J.T. (Wim-Jan) (m)",3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
,,17,"van Essen, H.P. (Huib) (m)",3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
,,18,"van den Berge, C.N. (Niels) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,19,"Diks, L.I. (Isabelle) (v)",23,4,0,2,5,2,0,2,0,0,0,2,1,0,0,2,2,1
,,20,"van den Nieuwenhuijzen - Wittens, T.J.H. (Tom) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,21,"Mahtab, I.A.F. (Ilias) (m)",3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,22,"Bouwkamp, C.C. (Cathelijne) (v)",10,2,0,0,0,0,0,0,1,1,0,2,0,1,0,1,2,0
,,23,"van den Bosch, D. (Dirk) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,24,"van der Steenhoven, M.V. (Maya) (v)",2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,,25,"Bonte, A. (Arno) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"van der Kleij, A.M. (Marion) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,27,"Kuipers, J.N. (Hans) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,28,"Arnoldussen, J. (Jonne) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,29,"Duursma, J. (Janet) (v)",100,14,1,6,4,5,4,5,6,1,6,11,6,3,5,8,7,8
,,30,"Önder, A. (Armağan) (v)",4,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
,,31,"Vintges, V.A.M. (Volkert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,32,"Bashara, S.R. (Samir) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,33,"Bellemakers, H.A. (Huub) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,34,"Smelik, C.W. (Cora) (v)",3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,,35,"Schers, S.R.M. (Sophie) (v)",3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,36,"Klijmij - van der Laan, M. (Michel) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,37,"Piers, R.P.A. (Rocco) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,38,"Vermast, P.L.A. (Paul) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,39,"Snaas, M. (Marjoleine) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,40,"van Oort, K.J.H.A. (Kevin) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,41,"Hirsch, D.H. (Daniëlle) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
