"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Zevenaar"
"Nummer";"";"0299"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Locatie Pelgromhof";"NME-gebouw";"IKC De Tamboerijn";"Rode Kruis gebouw";"Basisschool De Carrousel";"Kantine AV de Liemers";"OBS Het Kofschip";"Rijnstate ziekenhuis, locatie Zevenaar";"Basisschool Lindenhage";"Dienstencentrum De Hooge Bongert";"Partycentrum de Griethse Poort";"Caleidoz, locatie Steenhuizen";"Schoolgebouw Guido Gezellestraat";"Brede School St. Martinus";"Kulturhus De Borg Babberich";"Centrum De Meent";"Dorpshuis Het Gebouw";"Hof van Giesbeek";"Clubgebouw GSV'38"
"";"";"64";"van Zantvoort, A.H.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"65";"Cohen, F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"66";"Dankert, A.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"67";"Bouteibi, H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"68";"Voigt, I.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"69";"Schuurman Hess, J.N.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"";"";"70";"Klomp, B.C.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"71";"Keizer, H.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"72";"Houben, T.A.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"73";"van 't Zelfde, E.R.M.";"4";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
"";"";"74";"Doevendans, S.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"75";"de Haan, F.G.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"";"";"76";"de Jonge, A.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"77";"Isselman, R.G.W.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"78";"Jonkman, M.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"79";"Kruithof, J.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"80";"Weeda, H.J.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3";"PVV (Partij voor de Vrijheid)";"";"";"2778";"124";"118";"134";"191";"139";"141";"156";"160";"45";"202";"169";"165";"163";"126";"203";"111";"120";"146";"165"
"";"";"1";"Wilders, G.";"2592";"119";"113";"127";"182";"131";"125";"143";"147";"40";"189";"158";"150";"156";"119";"202";"97";"106";"134";"154"
"";"";"2";"Agema, M.";"127";"5";"1";"5";"6";"6";"11";"7";"8";"5";"11";"9";"9";"6";"3";"1";"7";"10";"9";"8"
"";"";"3";"Maeijer, V.";"14";"0";"0";"0";"0";"2";"0";"1";"1";"0";"1";"0";"1";"1";"1";"0";"3";"1";"2";"0"
"";"";"4";"Markuszower, G.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"";"";"5";"Fritsma, S.R.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"6";"Bosma, M.";"12";"0";"0";"2";"1";"0";"2";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"1";"1"
"";"";"7";"Madlener, B.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"van Dijck, A.P.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Helder, L.M.J.S.";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Beertema, H.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"11";"de Graaf, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Graus, D.J.G.";"7";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0"
"";"";"13";"de Roon, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"van Weerdenburg, V.D.D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Mulder, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Gerbrands, K.";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"de Jong, L.W.E.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Popken, G.J.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"Kops, A.";"3";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"van Aalst, R.R.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"van Dijk, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Housmans, R.W.P.E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"";"";"23";"Jansen, C.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"de Vree, J.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Aardema, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"van Dijk, A.J.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"de Winter, D.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Bezaan, I.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Kardol, J.C.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Vlottes, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"de Jong, R.G.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"van Pijkeren, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Rijken, J.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"IJssennagger, H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"van Deún, H.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"Vermeer, T.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Buitelaar, O.S.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Dulfer, T.F.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Boon, M.C.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Braam, E.G.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Ludriks, M.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"Choenni, N.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"43";"Roks, L.A.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"Thiadens, F.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Hees, E.P.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Kooman, C.V.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"van der Sluijs, D.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"van Hattem, A.W.J.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"49";"Stuger, O.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"50";"van Strien, G.A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"4";"SP (Socialistische Partij)";"";"";"2527";"119";"110";"148";"203";"156";"134";"165";"184";"57";"237";"124";"175";"117";"88";"127";"92";"61";"132";"98"
"";"";"1";"Roemer, E.G.M.";"1954";"87";"82";"111";"160";"115";"102";"124";"132";"45";"192";"99";"140";"94";"61";"109";"72";"49";"103";"77"
"";"";"2";"Leijten, R.M.";"129";"6";"4";"12";"8";"4";"10";"9";"15";"2";"10";"7";"7";"4";"7";"5";"3";"4";"8";"4"
"";"";"3";"Marijnissen, L.M.C.";"287";"14";"15";"19";"18";"19";"19";"18";"25";"7";"28";"14";"18";"12";"9";"9";"15";"6";"12";"10"
"";"";"4";"van Raak, A.A.G.M.";"6";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"";"";"5";"Karabulut, S.";"33";"4";"0";"1";"2";"6";"0";"4";"3";"1";"0";"0";"5";"3";"0";"1";"0";"2";"1";"0"
"";"";"6";"Beckerman, S.M.";"5";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0"
"";"";"7";"van Nispen, M.";"4";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"Kwint, J.P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"";"";"9";"van Kent, B.";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Laçin, C.";"15";"2";"1";"0";"1";"5";"0";"4";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Futselaar, F.W.";"6";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1"
"";"";"12";"Kooiman, C.J.E.";"7";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0"
"";"";"13";"Hijink, H.P.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"van Dijk, J.J.";"4";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Smaling, E.M.A.";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Alkaya, M.Ö.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"van Gerven, H.P.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"18";"Olders, D.W.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"Heerschop, A.H.J.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"";"";"20";"Meijer, A.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"Maes, S.A.A.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"";"";"22";"Meyer, R.P.E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"23";"van Dijk-van Leeuwen, S.Y.";"3";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"de Wit, D.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Peterse, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"Hoekstra, A.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Boerwinkel, E.M.J.";"32";"1";"1";"3";"3";"4";"0";"2";"1";"0";"2";"0";"1";"1";"5";"2";"0";"0";"3";"3"
"";"";"28";"Hamerslag, P.H.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
"";"";"29";"Buskoop, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Temmink, N.G.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"de Ridder, N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"van Sluijs, D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Akhiat, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"van Gemert, N.M.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"Dijk, J.P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"";"";"36";"de Vos, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Bekkering, I.H.";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Staarink, I.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Müller, G.J.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Feenstra, F.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"";"";"41";"Olierook, M.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"ten Heuw, M.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"Helmer-Englebert, R.D.";"4";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"Vliegenthart, A.";"3";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"Hoekstra, T.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Müller, E.";"5";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"";"";"47";"Inekci, H.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"Mineur, A.C.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"49";"Roes, J.M.H.";"7";"0";"2";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"50";"Poppe, R.J.L.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"5";"CDA";"";"";"3262";"271";"147";"137";"97";"121";"161";"222";"203";"104";"221";"161";"165";"148";"290";"234";"203";"102";"183";"92"
"";"";"1";"van Haersma Buma, S.";"2343";"224";"98";"104";"65";"84";"108";"144";"154";"73";"146";"116";"120";"107";"199";"173";"149";"78";"139";"62"
"";"";"2";"Keijzer, M.C.G.";"444";"26";"23";"16";"17";"14";"29";"40";"19";"20";"39";"24";"18";"21";"39";"28";"20";"16";"18";"17"
"";"";"3";"Peters, W.P.H.J.";"14";"2";"0";"0";"0";"2";"2";"1";"0";"0";"1";"2";"2";"0";"0";"1";"0";"0";"1";"0"
"";"";"4";"Omtzigt, P.H.";"198";"10";"13";"10";"5";"2";"9";"24";"8";"5";"21";"3";"12";"14";"25";"15";"9";"2";"6";"5"
"";"";"5";"van Toorenburg, M.M.";"21";"1";"4";"0";"2";"0";"0";"1";"0";"0";"0";"1";"3";"1";"3";"2";"1";"1";"1";"0"
"";"";"6";"Knops, R.W.";"6";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"";"";"7";"Heerma, P.E.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"8";"van der Molen, H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Bruins Slot, H.G.J.";"19";"0";"1";"0";"0";"0";"1";"2";"2";"0";"4";"1";"1";"1";"2";"1";"0";"2";"1";"0"
"";"";"10";"Geurts, J.L.";"46";"0";"1";"3";"0";"4";"0";"1";"3";"0";"1";"5";"0";"0";"3";"3";"17";"0";"5";"0"
"";"";"11";"Kuik, A.";"20";"0";"2";"0";"0";"2";"2";"1";"2";"1";"3";"1";"0";"0";"2";"0";"1";"0";"3";"0"
"";"";"12";"van Dam, C.J.L.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Mulder, A.H.";"13";"2";"0";"0";"2";"1";"2";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0"
"";"";"14";"Rog, M.R.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"";"";"15";"Amhaouch, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"";"";"16";"van Helvert, M.J.F.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0"
"";"";"17";"Ronnes, H.A.G.";"3";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"van den Berg-Jansen, J.A.M.J.";"7";"0";"1";"0";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"19";"Slootweg, E.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"Geluk-Poortvliet, L.W.D.";"4";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"Palland, H.M.";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"de Pater-Postma, W.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Terpstra, J.H.";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"Steenbakkers, S.P.M.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"van den Anker, G.P.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"1";"0";"0"
"";"";"26";"Heijnen, V.L.W.A.";"7";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"27";"den Bak, S.W.";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Schotman, C.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Erkel, P.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"30";"Zwinkels, C.C.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"Hanemaaijer, E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"Hutten, G.J.";"20";"2";"0";"1";"0";"3";"2";"1";"3";"2";"0";"2";"0";"0";"1";"0";"0";"0";"3";"0"
"";"";"33";"Kip, M.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"van Mierlo, E.J.F.M.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"de Korte-Verhoef, M.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"Bergkamp, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"de Haan, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"van Opstal, J.M.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"";"";"39";"Gardeniers, B.H.M.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Bal, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Vrugt, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"van Dekken, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"Vloet, W.J.M.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"von Martels, M.R.H.M.";"23";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"4";"1";"4";"1";"3";"0";"2";"7"
"";"";"45";"van der Broek, J.M.A.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Wissink, F.S.A.";"25";"0";"2";"0";"0";"1";"1";"2";"0";"1";"2";"1";"1";"1";"4";"5";"1";"1";"1";"1"
"";"";"47";"Saris, I.G.";"16";"2";"1";"1";"4";"1";"0";"1";"3";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"";"";"48";"Buck, M.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"49";"Stukker, N.T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
