"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Losser"
"Nummer";"";"0168"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aleida Leurinkhuis";"KBS De Verrekijker";"RK school De Wegwijzer";"De Muchte";"Maartens-Stede";"De Schuttersput";"De Driehoek";"Tiekerhook";"Dorpshuis De Glaan";"De Vereeniging";"Erve Boerrigter";"Cafe 't Sterrebos";"De LosserHof"
"";"";"36";"Vermeer, T.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Buitelaar, O.S.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Dulfer, T.F.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Boon, M.C.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Braam, E.G.T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"41";"Ludriks, M.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"Choenni, N.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"Roks, L.A.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"Thiadens, F.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Hees, E.P.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Kooman, C.V.A.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"van der Sluijs, D.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"van Hattem, A.W.J.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"49";"Stuger, O.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"50";"van Strien, G.A.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"4";"SP (Socialistische Partij)";"";"";"1436";"154";"176";"144";"124";"118";"171";"153";"190";"26";"64";"69";"26";"21"
"";"";"1";"Roemer, E.G.M.";"1080";"117";"132";"109";"97";"88";"134";"99";"149";"21";"51";"48";"18";"17"
"";"";"2";"Leijten, R.M.";"58";"12";"4";"3";"1";"5";"9";"13";"6";"0";"1";"1";"1";"2"
"";"";"3";"Marijnissen, L.M.C.";"125";"9";"19";"13";"14";"10";"12";"19";"15";"0";"5";"6";"2";"1"
"";"";"4";"van Raak, A.A.G.M.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"";"";"5";"Karabulut, S.";"9";"1";"0";"4";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0"
"";"";"6";"Beckerman, S.M.";"11";"1";"0";"2";"1";"1";"2";"3";"0";"0";"0";"1";"0";"0"
"";"";"7";"van Nispen, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"Kwint, J.P.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"van Kent, B.";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"";"";"10";"Laçin, C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Futselaar, F.W.";"22";"2";"0";"1";"2";"9";"1";"0";"1";"2";"2";"2";"0";"0"
"";"";"12";"Kooiman, C.J.E.";"9";"0";"3";"0";"0";"1";"0";"2";"1";"0";"0";"2";"0";"0"
"";"";"13";"Hijink, H.P.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"van Dijk, J.J.";"5";"1";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0"
"";"";"15";"Smaling, E.M.A.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"16";"Alkaya, M.Ö.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"van Gerven, H.P.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Olders, D.W.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"Heerschop, A.H.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"Meijer, A.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"Maes, S.A.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Meyer, R.P.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"van Dijk-van Leeuwen, S.Y.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"de Wit, D.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Peterse, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"Hoekstra, A.J.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Boerwinkel, E.M.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"";"";"28";"Hamerslag, P.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Buskoop, B.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"";"";"30";"Temmink, N.G.J.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"de Ridder, N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"van Sluijs, D.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Akhiat, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"van Gemert, N.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"Dijk, J.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"de Vos, A.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Bekkering, I.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Staarink, I.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Müller, G.J.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Feenstra, F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Olierook, M.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"ten Heuw, M.A.";"49";"4";"5";"5";"3";"4";"4";"9";"4";"0";"1";"7";"3";"0"
"";"";"43";"Helmer-Englebert, R.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"Vliegenthart, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Gijlswijk, L.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Schut, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"Rozema, H.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"de Koe, H.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"49";"Futselaar, J.E.L.";"54";"4";"12";"7";"4";"0";"5";"4";"11";"2";"3";"2";"0";"0"
"";"";"50";"Poppe, R.J.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"5";"CDA";"";"";"3696";"327";"314";"284";"326";"302";"292";"288";"197";"90";"440";"420";"323";"93"
"";"";"1";"van Haersma Buma, S.";"984";"120";"104";"92";"70";"95";"67";"93";"48";"21";"102";"93";"61";"18"
"";"";"2";"Keijzer, M.C.G.";"92";"6";"9";"5";"10";"8";"17";"5";"6";"0";"6";"10";"3";"7"
"";"";"3";"Peters, W.P.H.J.";"17";"1";"1";"1";"4";"3";"0";"2";"0";"0";"1";"3";"1";"0"
"";"";"4";"Omtzigt, P.H.";"2275";"180";"189";"171";"216";"178";"192";"161";"126";"52";"291";"258";"208";"53"
"";"";"5";"van Toorenburg, M.M.";"10";"0";"0";"0";"1";"1";"0";"3";"2";"0";"1";"0";"1";"1"
"";"";"6";"Knops, R.W.";"8";"0";"0";"0";"1";"0";"2";"0";"2";"0";"0";"3";"0";"0"
"";"";"7";"Heerma, P.E.";"4";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0"
"";"";"8";"van der Molen, H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Bruins Slot, H.G.J.";"5";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0"
"";"";"10";"Geurts, J.L.";"28";"3";"0";"4";"0";"0";"3";"5";"0";"5";"0";"3";"4";"1"
"";"";"11";"Kuik, A.";"13";"0";"1";"0";"3";"4";"1";"0";"0";"0";"1";"1";"2";"0"
"";"";"12";"van Dam, C.J.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Mulder, A.H.";"7";"0";"0";"0";"1";"2";"1";"0";"1";"1";"0";"1";"0";"0"
"";"";"14";"Rog, M.R.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"";"";"15";"Amhaouch, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"16";"van Helvert, M.J.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Ronnes, H.A.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"van den Berg-Jansen, J.A.M.J.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"";"";"19";"Slootweg, E.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"Geluk-Poortvliet, L.W.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"Palland, H.M.";"7";"3";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"22";"de Pater-Postma, W.L.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"23";"Terpstra, J.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"Steenbakkers, S.P.M.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"van den Anker, G.P.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"26";"Heijnen, V.L.W.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"";"";"27";"den Bak, S.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Schotman, C.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Erkel, P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Zwinkels, C.C.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"Hanemaaijer, E.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"Hutten, G.J.";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Kip, M.";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"van Mierlo, E.J.F.M.";"19";"2";"2";"2";"3";"3";"1";"1";"0";"0";"0";"2";"1";"2"
"";"";"35";"de Korte-Verhoef, M.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"Bergkamp, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"de Haan, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"van Opstal, J.M.M.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Gardeniers, B.H.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Bal, M.";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"";"";"41";"Vrugt, R.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"van Dekken, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"Vloet, W.J.M.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"von Martels, M.R.H.M.";"126";"9";"0";"5";"8";"1";"4";"16";"0";"9";"20";"23";"27";"4"
"";"";"45";"van der Broek, J.M.A.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Dannenberg, H.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"47";"Spanbroek, E.J.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"Morskate, T.J.J.";"10";"0";"1";"1";"0";"0";"0";"0";"0";"0";"3";"1";"2";"2"
"";"";"49";"Beun, W.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"50";"Rutten, B.G.J.H.";"73";"3";"3";"2";"4";"4";"1";"1";"7";"1";"13";"18";"13";"3"
"6";"Democraten 66 (D66)";"";"";"1497";"193";"183";"139";"200";"160";"147";"86";"108";"27";"102";"115";"25";"12"
"";"";"1";"Pechtold, A.";"804";"96";"96";"88";"95";"69";"74";"51";"63";"14";"63";"69";"17";"9"
"";"";"2";"van Veldhoven, S.";"34";"6";"4";"4";"4";"2";"7";"2";"0";"0";"3";"1";"1";"0"
"";"";"3";"Koolmees, W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"4";"Dijkstra, P.A.";"49";"7";"14";"3";"2";"4";"7";"3";"4";"0";"2";"2";"1";"0"
"";"";"5";"van Engelshoven, I.K.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"";"";"6";"Bergkamp, V.A.";"5";"0";"0";"2";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"7";"Verhoeven, K.";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"";"";"8";"van Meenen, P.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Paternotte, J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Van Weyenberg, S.P.R.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"11";"Sjoerdsma, S.W.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Jetten, R.A.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"13";"Van Eijs, J.M.";"4";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2"
"";"";"14";"Belhaj, S.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Groothuizen, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Bouali, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Raemakers, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Diertens, A.E.";"6";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"3";"0";"0"
"";"";"19";"de Groot, T.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"den Boer, M.G.W.";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"21";"Sienot, M.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Sneller, J.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Schonis, R.A.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"van Beukering-Huijbregts, M.J.T.G.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Meijer, A.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"26";"Eurlings-Tonnaer, F.M.C.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Ramlal, M.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"van Bemmel, M.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Lamers, C.B.M.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"van Essen, J.";"574";"79";"67";"42";"96";"82";"55";"29";"38";"13";"32";"34";"6";"1"
"";"";"31";"Verbrugge-Wormgoor, D.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"van der Laan, J.M.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Zarroy, N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"Winkel, B.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"Bamenga, P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"Sanders, N.P.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Guernaoui, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Kat, H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Keij, E.J.";"3";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"";"";"40";"Bosman, A.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Schukking, S.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"Schepel, W.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"Glastra van Loon, J.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"van Vugt, T.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Dun, C.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Wirken, S.T.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"de Smoker-van Andel, N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"Hoogeveen, T.C.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"49";"Terlouw, G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"50";"Ross, H.J.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"7";"ChristenUnie";"";"";"136";"22";"14";"10";"11";"7";"18";"4";"10";"3";"4";"10";"21";"2"
"";"";"1";"Segers, G.M.";"98";"16";"10";"5";"7";"6";"12";"1";"10";"2";"4";"7";"16";"2"
"";"";"2";"Schouten, C.J.";"6";"0";"1";"2";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
"";"";"3";"Voordewind, J.S.";"4";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"2";"0"
"";"";"4";"Dik-Faber, R.K.";"3";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"5";"Bruins, E.E.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"van der Graaf, S.J.F.";"3";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"";"";"7";"Ceder, D.G.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"Vreugdenhil, H.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Drost, N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Gooijer-Medema, J.K.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
"";"";"11";"Huisman, G.W.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Rots, D.G.";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"13";"Tijhof, B.D.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"";"";"14";"Grinwis, P.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Vlieg-Kempe, H.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Meijer, L.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Janssen, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Heuvelink, M.E.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"van 't Foort, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"Treurniet-Klapwijk, W.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"Mostert, I.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Kennedy-Doornbos, S.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Ebid, E.K.";"3";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"";"";"24";"Hofstra, H.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Kumar, A.D.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"Weigand-Timmer, H.A.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Visser, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Kaper-Hartenberg, E.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Krins, J.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Schuring, H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"van Tatenhove-Meesen, J.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"Joosten-Leijendekker, J.M.J.";"8";"3";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0"
"";"";"33";"Zuidervaart, L.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"Jaspers Faijer, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"Jongman-Mollema, I.M.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"de Haan, J.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Baars, H.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Visser, F.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Klein, A.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Seyed Mehdi, F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Kooij-Bas, A.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"van Kranenburg, C.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"van den Berg, G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"Balootje, I.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Zaalen, F.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Haga, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"van der Spoel, P.L.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"Stoorvogel, H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"49";"van der Veer, A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"50";"Bottenbley, O.E.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
