LijstNr,Aanduiding van de politieke groepering,Nr,Naam op de lijst,Totaal,Sb 1,Sb 2,Sb 4,Sb 5,Sb 6,Sb 8,Sb 9,Sb 11,Sb 12,Sb 14,Sb 15,Sb 17,Sb 18,Sb 19
,,42,"ten Heuw, M.A. (Mariska) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,43,"Helmer - Englebert, R.D. (Renske) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,44,"Vliegenthart, A. (Arjan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,45,"Douw - van Dam, P.W. (Nel) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,46,"Alberts - Oosterbaan, R. (Remine) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,47,"Zoomermeijer, P.B.C. (Patrick) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,48,"Verweij, B. (Bianca) (v)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,49,"van Dam, M.H. (Marleen) (v)",2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,50,"Poppe, R.J.L. (Remi) (m)",2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5,CDA,1,"van Haersma Buma, S. (Sybrand) (m)",1643,169,134,120,104,98,147,152,126,157,119,98,83,65,71
,,2,"Keijzer, M.C.G. (Mona) (v)",455,20,34,29,20,33,62,38,37,44,46,25,22,24,21
,,3,"Peters, W.P.H.J. (René) (m)",2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
,,4,"Omtzigt, P.H. (Pieter) (m)",94,8,10,7,7,0,4,8,11,8,3,9,10,5,4
,,5,"van Toorenburg, M.M. (Madeleine) (v)",53,1,4,5,3,0,4,3,3,13,10,1,1,2,3
,,6,"Knops, R.W. (Raymond) (m)",2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
,,7,"Heerma, P.E. (Pieter) (m)",7,0,0,0,0,0,0,0,0,2,3,1,0,1,0
,,8,"van der Molen, H. (Harry) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,9,"Bruins Slot, H.G.J. (Hanke) (v)",19,1,1,1,1,0,0,2,4,3,3,1,2,0,0
,,10,"Geurts, J.L. (Jaco) (m)",6,0,0,0,0,1,1,0,3,0,0,0,0,0,1
,,11,"Kuik, A. (Anne) (v)",14,1,0,0,0,0,2,4,1,1,4,0,1,0,0
,,12,"van Dam, C.J.L. (Chris) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,13,"Mulder, A.H. (Agnes) (v)",6,0,0,1,0,1,0,0,0,0,1,1,2,0,0
,,14,"Rog, M.R.J. (Michel) (m)",15,0,4,0,0,0,3,2,3,1,1,1,0,0,0
,,15,"Amhaouch, M. (Mustafa) (m)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,16,"van Helvert, M.J.F. (Martijn) (m)",7,0,0,1,0,0,0,0,2,0,0,1,0,2,1
,,17,"Ronnes, H.A.G. (Erik) (m)",3,0,0,0,1,0,0,1,0,0,0,1,0,0,0
,,18,"van den Berg - Jansen, J.A.M.J. (Joba) (v)",7,0,0,0,1,1,0,0,2,1,1,1,0,0,0
,,19,"Slootweg, E.J. (Evert Jan) (m)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,20,"Geluk - Poortvliet, L.W.D. (Lenny) (v)",10,1,1,0,1,1,3,1,1,1,0,0,0,0,0
,,21,"Palland, H.M. (Hilde) (v)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,22,"de Pater - Postma, W.L. (Wytske) (v)",9,0,1,0,1,0,5,0,1,0,1,0,0,0,0
,,23,"Terpstra, J.H. (Julius) (m)",2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
,,24,"Steenbakkers, S.P.M.F. (Stijn) (m)",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
,,25,"van den Anker, G.P. (Gerard) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"Heijnen, V.L.W.A. (Vivianne) (v)",8,0,0,1,0,1,2,0,1,0,1,0,0,2,0
,,27,"den Bak, S.W. (Sebastiaan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,28,"Schotman, C.J. (Chris) (v)",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,29,"Erkel, P. (Arjan) (m)",2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
,,30,"Zwinkels, C.C.M. (Karin) (v)",5,0,0,0,0,0,1,0,1,1,0,2,0,0,0
,,31,"Hanemaaijer, E. (Esther) (v)",4,1,0,0,1,0,0,0,0,0,2,0,0,0,0
,,32,"Hutten, G.J. (Jan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,33,"Kip, M. (Marischa) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,34,"van Mierlo, E.J.F.M. (Eugène) (m)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,35,"de Korte - Verhoef, M.C. (Ria) (v)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,36,"Bergkamp, B. (Bob) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,37,"de Haan, J. (Jan-Jaap) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,38,"van Opstal, J.M.M. (Jochgem) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,39,"Gardeniers, B.H.M. (Barbara) (v)",3,0,0,2,0,0,1,0,0,0,0,0,0,0,0
,,40,"Bal, M. (Mustafa) (m)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,41,"Vrugt, R. (René) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,42,"van Dekken, B. (Bart) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,43,"Vloet, W.J.M.M. (Wiljan) (m)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,44,"von Martels, M.R.H.M. (Maurits) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,45,"van der Broek, J.M.A.R. (Roy) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,46,"Bond, J.H.M. (Jaap) (m)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,47,"Şimşek, F. (Fadime) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,48,"Havelaar, R.B. (Rogier) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,49,"Sanderse, M. (Marleen) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50,"van Leeuwen, J. (Hannie) (v)",4,0,0,0,1,0,2,1,0,0,0,0,0,0,0
6,Democraten 66 (D66),1,"Pechtold, A. (Alexander) (m)",1451,93,97,79,61,67,123,102,115,253,144,99,83,64,71
,,2,"van Veldhoven, S. (Stientje) (v)",157,8,15,5,4,10,19,7,11,25,12,19,4,4,14
,,3,"Koolmees, W. (Wouter) (m)",16,2,1,1,3,0,2,1,0,1,1,1,2,0,1
,,4,"Dijkstra, P.A. (Pia) (v)",238,13,19,14,0,11,29,12,14,49,34,15,9,9,10
,,5,"van Engelshoven, I.K. (Ingrid) (v)",15,0,2,0,1,1,1,1,2,4,1,1,0,0,1
,,6,"Bergkamp, V.A. (Vera) (v)",63,1,5,3,1,7,6,2,2,18,4,4,3,2,5
,,7,"Verhoeven, K. (Kees) (m)",4,1,0,0,0,0,1,0,0,0,0,0,1,0,1
,,8,"van Meenen, P.H. (Paul) (m)",2,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,,9,"Paternotte, J.M. (Jan) (m)",8,1,0,1,1,1,0,1,1,0,0,0,0,2,0
,,10,"Van Weyenberg, S.P.R.A. (Steven) (m)",3,0,2,0,0,0,0,0,1,0,0,0,0,0,0
,,11,"Sjoerdsma, S.W. (Sjoerd) (m)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,12,"Jetten, R.A.A. (Rob) (m)",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,,13,"Van Eijs, J.M. (Jessica) (v)",19,0,2,2,3,1,2,0,1,3,2,0,1,1,1
,,14,"Belhaj, S. (Salima) (v)",19,2,1,1,1,0,1,2,0,4,4,0,2,0,1
,,15,"Groothuizen, M. (Maarten) (m)",2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
,,16,"Bouali, A. (Achraf) (m)",3,0,1,0,0,0,0,0,0,0,1,0,0,1,0
,,17,"Raemakers, R. (Rens) (m)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,18,"Diertens, A.E. (Antje) (v)",14,2,1,0,1,1,0,3,1,2,0,2,0,0,1
,,19,"de Groot, T.C. (Tjeerd) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,20,"den Boer, M.G.W. (Monica) (v)",29,3,1,1,1,2,2,3,3,6,1,2,1,3,0
,,21,"Sienot, M.F. (Matthijs) (m)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,22,"Sneller, J.C. (Joost) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,23,"Schonis, R.A.J. (Rutger) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,24,"van Beukering - Huijbregts, M.J.T.G. (Marijke) (v)",7,0,1,0,0,0,0,1,1,0,3,1,0,0,0
,,25,"Meijer, A.A. (Arend) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"Eurlings - Tonnaer, F.M.C.L. (Franca) (v)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,27,"Ramlal, M.R. (Munish) (m)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,28,"van Bemmel, M.E. (Martine) (v)",5,0,2,0,0,0,0,0,0,2,0,0,0,1,0
,,29,"Lamers, C.B.M. (Kristie) (v)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,30,"van Essen, J. (Jaimi) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,31,"Verbrugge - Wormgoor, D.C. (Dina) (v)",2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
,,32,"van der Laan, J.M.P. (Jeanet) (v)",5,1,0,1,0,0,0,0,2,0,1,0,0,0,0
,,33,"Zarroy, N. (Noureddine) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,34,"Winkel, B.T. (Bastiaan) (m)",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,,35,"Bamenga, P. (Mpanzu) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,36,"Sanders, N.P.C. (Noëlle) (v)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,37,"Guernaoui, R. (Rachid) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,38,"Kat, H. (Hülya) (v)",5,0,0,1,0,0,1,1,0,2,0,0,0,0,0
,,39,"Keij, E.J. (Eelco) (m)",8,1,0,1,0,0,2,0,0,0,0,0,0,0,4
,,40,"Bosman, A.M. (Marijn) (v)",5,0,2,0,0,1,0,0,0,0,1,0,0,1,0
,,41,"Schukking, S.S. (Sietze) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,42,"Schepel, W.D. (Wibo) (m)",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,43,"Glastra van Loon, J.H. (Jan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,44,"van Vugt, T. (Thierry) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,45,"van Dun, C.M. (Corine) (v)",2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
,,46,"Wirken, S.T. (Stefan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,47,"de Smoker - van Andel, N. (Nelleke) (v)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,48,"Hoogeveen, T.C. (Carmen) (v)",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,49,"Terlouw, G. (Bert) (m)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,50,"Ross, H.J. (Dick) (m)",3,0,0,0,0,1,0,1,0,1,0,0,0,0,0
7,ChristenUnie,1,"Segers, G.M. (Gert-Jan) (m)",609,77,45,61,34,58,86,56,22,49,17,35,31,20,18
,,2,"Schouten, C.J. (Carola) (v)",74,8,11,7,2,3,13,10,0,6,0,4,3,3,4
,,3,"Voordewind, J.S. (Joël) (m)",26,3,2,4,1,2,1,4,0,5,2,2,0,0,0
,,4,"Dik - Faber, R.K. (Carla) (v)",13,1,0,2,0,3,0,2,0,3,0,0,0,2,0
,,5,"Bruins, E.E.W. (Eppo) (m)",2,0,1,0,0,0,0,0,0,0,0,1,0,0,0
,,6,"van der Graaf, S.J.F. (Stieneke) (v)",15,1,1,4,1,0,0,3,1,0,2,1,1,0,0
,,7,"Ceder, D.G.M. (Don) (m)",20,0,1,2,0,1,2,5,2,2,0,2,0,1,2
,,8,"Vreugdenhil, H.J. (Hermen) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,9,"Drost, N. (Nico) (m)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,10,"Gooijer - Medema, J.K. (Joëlle) (v)",13,3,0,5,0,1,2,1,0,0,0,0,1,0,0
,,11,"Huisman, G.W. (Gerben) (m)",3,0,0,0,0,0,0,0,0,0,1,2,0,0,0
,,12,"Rots, D.G. (Gerdien) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,13,"Tijhof, B.D. (Bert) (m)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,14,"Grinwis, P.A. (Pieter) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,15,"Vlieg - Kempe, H.A. (Harmke) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,16,"Meijer, L.E. (Leon) (m)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,17,"Janssen, J. (Jannes) (m)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,18,"Heuvelink, M.E.C. (Marijke) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,19,"van 't Foort, S. (Sander) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,20,"Treurniet - Klapwijk, W.A. (Willemien) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,21,"Mostert, I.G. (Gerard) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,22,"Kennedy - Doornbos, S.J. (Simone) (v)",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
,,23,"Ebid, E.K. (Esam) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,24,"Hofstra, H.J. (Harold) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,25,"Kumar, A.D.J.M. (Anil) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"Weigand - Timmer, H.A.C. (Jet) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,27,"Visser, B. (Ben) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,28,"Kaper - Hartenberg, E.T. (Esther) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,29,"Krins, J.T. (Theo) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30,"Schuring, H. (Heimen) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,31,"van Tatenhove - Meesen, J.A. (Ankie) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,32,"Joosten - Leijendekker, J.M.J. (Janny) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,33,"Zuidervaart, L.M. (Loes) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,34,"Jaspers Faijer, B. (Bart) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35,"Jongman - Mollema, I.M. (Inge) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,36,"de Haan, J.T. (Jesse) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,37,"Baars, H.C. (Dico) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,38,"Visser, F.C. (Frank) (m)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,39,"Klein, A.C. (Annacarina) (v)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,40,"Seyed Mehdi, F. (Farshid) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,41,"Kooij - Bas, A.E. (Els) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,42,"van Kranenburg, C.J. (Kees) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,43,"van den Berg, G. (Gert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,44,"Balootje, I.S. (Ixora) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,45,"van Zaalen, F.P. (Frans) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,46,"Haga, A. (Anja) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,47,"van der Spoel, P.L.R. (Ron) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,48,"Stoorvogel, H. (Henk) (m)",4,0,0,0,0,0,2,1,0,0,0,1,0,0,0
,,49,"van der Veer, A. (Arie) (m)",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,,50,"Bottenbley, O.E. (Orlando) (m)",9,2,0,2,0,1,1,3,0,0,0,0,0,0,0
8,GROENLINKS,1,"Klaver, J.F. (Jesse) (m)",804,36,57,79,33,40,74,65,54,126,65,44,58,45,28
,,2,"Buitenweg, K.M. (Kathalijne) (v)",138,7,7,16,4,12,11,2,9,26,19,6,6,4,9
,,3,"van der Lee, T.M.T. (Tom) (m)",7,0,0,0,0,0,1,3,0,0,2,0,0,0,1
,,4,"Voortman, L.G.J. (Linda) (v)",25,3,2,1,1,2,4,2,4,0,3,3,0,0,0
,,5,"Grashoff, H.J. (Rik) (m)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,"van Tongeren, L. (Liesbeth) (v)",27,1,3,4,0,2,4,1,3,6,0,0,2,1,0
,,7,"de Jonge van Ellemeet, C.E. (Corinne) (v)",8,1,1,0,0,1,1,0,0,1,0,2,0,0,1
,,8,"Özdil, Z. (Zihni) (m)",3,0,0,0,0,0,0,1,0,0,1,1,0,0,0
,,9,"Snels, B.A.W. (Bart) (m)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,10,"van Ojik, A. (Bram) (m)",9,0,1,0,1,0,1,1,1,1,0,2,0,0,1
,,11,"Kröger, S.C. (Suzanne) (v)",10,1,1,2,0,0,0,2,1,0,2,1,0,0,0
,,12,"Özütok, N. (Nevin) (v)",10,0,1,0,0,2,1,2,1,2,1,0,0,0,0
,,13,"Smeulders, P.H.M. (Paul) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,14,"Westerveld, E.M. (Lisa) (v)",9,1,0,1,1,0,2,1,0,0,2,0,1,0,0
,,15,"Bromet, L. (Laura) (v)",5,0,0,1,0,0,0,0,2,2,0,0,0,0,0
,,16,"Renkema, W.J.T. (Wim-Jan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,17,"van Essen, H.P. (Huib) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18,"van den Berge, C.N. (Niels) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,19,"Diks, L.I. (Isabelle) (v)",14,2,0,0,0,0,0,0,1,2,5,2,1,1,0
,,20,"van den Nieuwenhuijzen - Wittens, T.J.H. (Tom) (m)",2,0,0,0,0,0,0,0,0,0,1,0,1,0,0
,,21,"Mahtab, I.A.F. (Ilias) (m)",8,0,4,0,0,0,0,0,0,0,4,0,0,0,0
,,22,"Bouwkamp, C.C. (Cathelijne) (v)",8,1,2,0,0,0,1,1,0,0,2,0,0,0,1
,,23,"van den Bosch, D. (Dirk) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,24,"van der Steenhoven, M.V. (Maya) (v)",3,1,0,0,0,0,0,0,0,0,1,0,1,0,0
,,25,"Bonte, A. (Arno) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"van der Kleij, A.M. (Marion) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,27,"Kuipers, J.N. (Hans) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,28,"Arnoldussen, J. (Jonne) (m)",2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
,,29,"Duursma, J. (Janet) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30,"Önder, A. (Armağan) (v)",5,0,0,1,0,0,0,0,0,1,0,3,0,0,0
,,31,"Vintges, V.A.M. (Volkert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,32,"Bashara, S.R. (Samir) (m)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,33,"Bellemakers, H.A. (Huub) (m)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,34,"Smelik, C.W. (Cora) (v)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,35,"Schers, S.R.M. (Sophie) (v)",3,0,0,1,0,0,0,2,0,0,0,0,0,0,0
,,36,"Klijmij - van der Laan, M. (Michel) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,37,"Piers, R.P.A. (Rocco) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,38,"Vermast, P.L.A. (Paul) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,39,"Snaas, M. (Marjoleine) (v)",2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,,40,"van Oort, K.J.H.A. (Kevin) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,41,"Hirsch, D.H. (Daniëlle) (v)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,42,"van Grootheest, G.J. (Gerdo) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,43,"van Hooijdonk, L.H.L. (Lot) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,44,"Kapteijns, F.H.A. (Frans) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,45,"Scholten, H.T.M. (Lenie) (v)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,46,"Muambi, A.O. (Alphonse) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,47,"Homan - Brinkman, N. (Nienke) (v)",2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
,,48,"El Fassed, A. (Arjan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,49,"Rüter, J.S. (Bas) (m)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50,"van Gent, W. (Ineke) (v)",5,0,0,0,0,0,3,0,1,1,0,0,0,0,0
9,Staatkundig Gereformeerde Partij (SGP),1,"van der Staaij, C.G. (Kees) (m)",123,19,5,15,9,12,5,6,8,18,5,10,4,2,5
,,2,"Dijkgraaf, E. (Elbert) (m)",2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,,3,"Bisschop, R. (Roelof) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,4,"Ruissen, H.J.A. (Bert-Jan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5,"Stoffer, C. (Chris) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,"Schipaanboord, G.P. (Geert) (m)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,7,"Kloosterman, J. (Jan) (m)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,8,"Tanis, J.P. (Hans) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,9,"Veldman, J.D. (Joost) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,10,"Nieuwenhuis, E.J. (Evert Jan) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11,"Weggeman, A. (Arnold) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,12,"Hoek, P.W.J. (Peter) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,13,"de Knegt, L. (Leendert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,14,"Flach, A.J. (André) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,15,"van Wikselaar, W. (Wim) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,16,"van Leeuwen, G.R. (Gert) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,17,"Bosma, E.G. (Ewart) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18,"Kok, W.H. (Wim) (m)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,19,"Bakker, T. (Tom) (m)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,20,"Boonzaaijer, G. (Gerrit) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,21,"Simonse, J.N. (Sjaak) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,22,"van Duijn, W.J. (Wim) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,23,"van Westreenen, S. (Steven) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,24,"van 't Land, J.A. (Hans) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,25,"Noordergraaf, P.T. (Peter) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,26,"Benschop, J.W. (Jan Willem) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,27,"Dorst, A.I.G. (Ad) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,28,"van den Berg, W. (Wouter) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,29,"de Vries, W. (Wim) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30,"Brouwer, M. (Mark) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Partij voor de Dieren,1,"Thieme, M.L. (Marianne) (v)",397,31,29,39,11,31,42,21,25,56,26,24,27,13,22
,,2,"Ouwehand, E. (Esther) (v)",40,3,4,5,0,3,1,4,1,6,2,4,2,3,2
,,3,"van Raan, L. (Lammert) (m)",6,2,0,1,0,0,1,1,0,0,0,0,1,0,0
,,4,"Wassenberg, F.P. (Frank) (m)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5,"Arissen, F.M. (Femke Merel) (v)",9,1,0,2,1,0,0,1,1,3,0,0,0,0,0
,,6,"van Esch, E.M. (Eva) (v)",8,0,0,2,1,0,1,0,0,1,1,0,2,0,0
,,7,"Teunissen, C. (Christine) (v)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,8,"van Leeuwen, M. (Floriske) (v)",5,0,0,0,0,0,0,0,0,1,2,2,0,0,0
,,9,"Koffeman, N.K. (Niko) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,10,"Engelen, E.R. (Ewald) (m)",7,2,1,0,0,0,1,0,1,1,0,0,0,0,1
,,11,"van Lammeren, J.F.W. (Johnas) (m)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
