Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Moerdijk;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1709;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Theater de Schuur;De Zeven Schakels;Kruisgebouw;Pluspunt Serena;Openbare Basisschool De Boemerang;Sportgezondheidscentrum Zevenbergen;Sportplaza Moerdijk De Kristal;Stationsrestauratie Happy Dees;Ons Stedeke;De Zevensprong;Mauritshof;De Niervaert;SBO Het Palet;De Ankerkuil;GSch.huis Noordhoek;De Standaert;Mauritshuis;De Blokhut;De Parel;Fendertshof;Openbare Basisschool De Springplank;Pestalozzihuis
;;31;de Jong, R.G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Pijkeren, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Rijken, J.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;IJssennagger, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;van Deún, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Vermeer, T.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Buitelaar, O.S.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Dulfer, T.F.;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
;;39;Boon, M.C.H.;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;40;Braam, E.G.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Ludriks, M.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Choenni, N.A.;7;1;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;2;0
;;43;Roks, L.A.G.;13;1;0;0;1;0;0;0;1;0;1;0;1;2;0;1;4;0;0;1;0;0;0
;;44;Thiadens, F.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Hees, E.P.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Kooman, C.V.A.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van der Sluijs, D.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;van Hattem, A.W.J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Stuger, O.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;van Strien, G.A.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
4;SP (Socialistische Partij);;;2684;80;115;144;223;129;126;127;113;77;108;110;179;88;96;77;158;89;75;195;128;156;91
;;1;Roemer, E.G.M.;2116;62;86;122;170;100;94;100;90;64;81;83;154;70;80;56;125;65;57;156;100;135;66
;;2;Leijten, R.M.;122;1;8;7;8;7;5;5;6;0;3;8;7;5;0;3;4;8;4;11;9;7;6
;;3;Marijnissen, L.M.C.;323;11;14;9;27;16;17;18;11;10;17;15;16;10;12;16;21;11;11;23;12;10;16
;;4;van Raak, A.A.G.M.;5;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;5;Karabulut, S.;17;0;2;0;3;0;2;0;0;1;1;0;1;1;2;1;0;1;1;1;0;0;0
;;6;Beckerman, S.M.;3;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;7;van Nispen, M.;41;3;0;4;4;2;3;1;2;1;3;1;1;2;0;0;5;1;0;3;2;3;0
;;8;Kwint, J.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van Kent, B.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Laçin, C.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Futselaar, F.W.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Kooiman, C.J.E.;6;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0
;;13;Hijink, H.P.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Dijk, J.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;15;Smaling, E.M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Alkaya, M.Ö.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Gerven, H.P.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Olders, D.W.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;19;Heerschop, A.H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Meijer, A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Maes, S.A.A.;10;0;0;0;3;0;1;0;3;0;1;0;0;0;1;0;0;0;0;0;1;0;0
;;22;Meyer, R.P.E.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van Dijk-van Leeuwen, S.Y.;8;0;2;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1
;;24;de Wit, D.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Peterse, B.;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Hoekstra, A.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;27;Boerwinkel, E.M.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Hamerslag, P.H.;5;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
;;29;Buskoop, B.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Temmink, N.G.J.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;de Ridder, N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Sluijs, D.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;33;Akhiat, A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;34;van Gemert, N.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;35;Dijk, J.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;de Vos, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Bekkering, I.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Staarink, I.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Müller, G.J.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Feenstra, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Olierook, M.W.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;ten Heuw, M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Helmer-Englebert, R.D.;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Vliegenthart, A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;45;van Unen, G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;van Lunteren, P.J.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;47;Raaimakers, J.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;van der Zanden-van der Weijden, N.;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;van Rijnsbergen, M.;6;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0
;;50;Poppe, R.J.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;CDA;;;3276;122;184;119;149;97;97;194;201;111;144;296;218;153;70;112;162;239;92;201;142;115;58
;;1;van Haersma Buma, S.;2443;103;136;101;100;55;66;123;135;88;102;247;178;124;59;81;132;173;54;152;104;88;42
;;2;Keijzer, M.C.G.;423;7;22;11;28;23;22;43;34;5;11;36;25;20;6;9;16;37;6;26;13;14;9
;;3;Peters, W.P.H.J.;28;1;4;0;5;1;0;0;2;0;0;5;3;0;0;2;0;0;3;0;2;0;0
;;4;Omtzigt, P.H.;85;2;9;1;2;7;1;8;14;0;1;2;4;1;2;1;2;12;1;5;5;3;2
;;5;van Toorenburg, M.M.;78;5;4;2;6;2;3;9;9;4;5;2;2;1;0;7;3;3;3;5;1;2;0
;;6;Knops, R.W.;11;1;0;0;0;1;1;3;0;0;0;0;0;2;1;0;0;0;2;0;0;0;0
;;7;Heerma, P.E.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van der Molen, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Bruins Slot, H.G.J.;9;0;1;0;0;0;0;1;0;1;0;2;0;0;1;0;0;0;0;1;1;0;1
;;10;Geurts, J.L.;69;0;0;0;1;0;0;1;2;4;10;1;2;2;0;5;2;6;13;5;12;3;0
;;11;Kuik, A.;11;0;1;2;1;1;0;0;0;2;0;0;1;1;0;0;0;0;1;0;1;0;0
;;12;van Dam, C.J.L.;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Mulder, A.H.;6;0;0;1;0;0;0;0;0;2;1;0;0;0;0;1;0;0;1;0;0;0;0
;;14;Rog, M.R.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;15;Amhaouch, M.;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van Helvert, M.J.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Ronnes, H.A.G.;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0
;;18;van den Berg-Jansen, J.A.M.J.;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;19;Slootweg, E.J.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Geluk-Poortvliet, L.W.D.;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0
;;21;Palland, H.M.;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;22;de Pater-Postma, W.L.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;23;Terpstra, J.H.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Steenbakkers, S.P.M.F.;5;0;0;0;0;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van den Anker, G.P.;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Heijnen, V.L.W.A.;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0
;;27;den Bak, S.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Schotman, C.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Erkel, P.;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Zwinkels, C.C.M.;10;0;1;0;1;0;1;0;2;1;0;0;0;0;0;2;0;0;1;0;0;0;1
;;31;Hanemaaijer, E.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Hutten, G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Kip, M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;34;van Mierlo, E.J.F.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;de Korte-Verhoef, M.C.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;36;Bergkamp, B.;14;0;1;1;0;1;1;3;0;0;3;0;0;0;1;0;0;1;0;2;0;0;0
;;37;de Haan, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van Opstal, J.M.M.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Gardeniers, B.H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Bal, M.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Vrugt, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Dekken, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Vloet, W.J.M.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;von Martels, M.R.H.M.;11;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;1;1;3;0;1;1;0
;;45;van der Broek, J.M.A.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Buiks, R.P.A.F.;19;2;1;0;0;2;0;0;0;1;2;0;2;0;0;0;1;2;2;1;0;0;3
;;47;Verbraak, J.A.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0
;;48;Nooijens, M.J.H.;8;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0
;;49;de Ridder, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Bruijns, J.J.H.;4;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0
6;Democraten 66 (D66);;;1892;71;75;54;170;93;76;164;138;43;71;91;87;73;44;49;106;184;54;83;61;59;46
;;1;Pechtold, A.;1503;51;55;45;140;64;68;135;105;34;52;69;69;61;36;34;89;128;47;76;54;54;37
;;2;van Veldhoven, S.;113;5;6;2;10;11;3;8;7;3;4;7;6;4;4;2;5;16;2;3;0;2;3
;;3;Koolmees, W.;7;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
;;4;Dijkstra, P.A.;151;3;9;1;8;10;3;15;10;4;10;11;8;7;2;8;6;24;2;2;4;0;4
;;5;van Engelshoven, I.K.;8;2;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
;;6;Bergkamp, V.A.;13;1;1;0;2;1;0;1;0;0;0;1;1;0;0;0;0;5;0;0;0;0;0
;;7;Verhoeven, K.;5;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0
;;8;van Meenen, P.H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;9;Paternotte, J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Van Weyenberg, S.P.R.A.;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;11;Sjoerdsma, S.W.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;12;Jetten, R.A.A.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;Van Eijs, J.M.;24;1;2;0;2;3;1;1;4;0;3;0;0;0;1;2;0;1;0;1;0;1;1
;;14;Belhaj, S.;8;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;3;1;0;0;0;0
;;15;Groothuizen, M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;16;Bouali, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Raemakers, R.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;18;Diertens, A.E.;16;2;1;0;2;1;1;1;4;0;0;0;0;0;0;1;2;1;0;0;0;0;0
;;19;de Groot, T.C.;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;20;den Boer, M.G.W.;8;0;0;1;1;2;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0
;;21;Sienot, M.F.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Sneller, J.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Schonis, R.A.J.;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;24;van Beukering-Huijbregts, M.J.T.G.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Meijer, A.A.;10;1;0;0;1;0;0;0;3;0;1;1;1;0;0;0;0;1;0;0;0;1;0
;;26;Eurlings-Tonnaer, F.M.C.L.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Ramlal, M.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Bemmel, M.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Lamers, C.B.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van Essen, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Verbrugge-Wormgoor, D.C.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van der Laan, J.M.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Zarroy, N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Winkel, B.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Bamenga, P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Sanders, N.P.C.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;37;Guernaoui, R.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Kat, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Keij, E.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Bosman, A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Schukking, S.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Schepel, W.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Glastra van Loon, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;van Vugt, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Dun, C.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;46;Wirken, S.T.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;47;de Smoker-van Andel, N.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;48;Hoogeveen, T.C.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;49;Terlouw, G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Ross, H.J.;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;ChristenUnie;;;587;16;15;15;34;23;15;36;28;5;12;105;63;78;12;7;10;40;10;16;24;10;13
;;1;Segers, G.M.;504;13;14;13;28;19;13;27;22;3;12;89;57;72;9;6;7;35;9;13;23;8;12
;;2;Schouten, C.J.;41;2;1;0;3;1;2;6;2;1;0;9;3;0;1;0;2;3;1;3;0;1;0
;;3;Voordewind, J.S.;5;0;0;0;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0
;;4;Dik-Faber, R.K.;8;1;0;0;1;0;0;0;0;0;0;2;2;0;1;1;0;0;0;0;0;0;0
;;5;Bruins, E.E.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;van der Graaf, S.J.F.;6;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;2;0;0;0;0;1
;;7;Ceder, D.G.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Vreugdenhil, H.J.;4;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;9;Drost, N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Gooijer-Medema, J.K.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;11;Huisman, G.W.;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;12;Rots, D.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Tijhof, B.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Grinwis, P.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Vlieg-Kempe, H.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;16;Meijer, L.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Janssen, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Heuvelink, M.E.C.;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;19;van 't Foort, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Treurniet-Klapwijk, W.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Mostert, I.G.;4;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Kennedy-Doornbos, S.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Ebid, E.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Hofstra, H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Kumar, A.D.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Weigand-Timmer, H.A.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Visser, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Kaper-Hartenberg, E.T.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Krins, J.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Schuring, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;van Tatenhove-Meesen, J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Joosten-Leijendekker, J.M.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Zuidervaart, L.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Jaspers Faijer, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Jongman-Mollema, I.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;de Haan, J.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Baars, H.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Visser, F.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Klein, A.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Seyed Mehdi, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Kooij-Bas, A.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Kranenburg, C.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;van den Berg, G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Balootje, I.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Zaalen, F.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Haga, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
