Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Utrechtse Heuvelrug;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1581;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Nieuw Salem;De Vijver;Sparrenheide;Kraaijbeekerhof;Beukenhorst;Parklaankerk;De Uilenburcht;Kerk De Bron;'t Hoge Licht;Ontmoetingskapel;Dorpskerk;Kerk De Ark;De Twee Marken;De Ark;Allemandswaard;De Ridderhof;De Buurthucht;Michaëlhuis;Meander;De Schermerij;De Binder;Cultuurhuis;Het Zonnehuis;Steinheim;Huize Beatrix;Park Boswijk
;;7;Madlener, B.;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van Dijck, A.P.C.;4;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;9;Helder, L.M.J.S.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Beertema, H.J.;5;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
;;11;de Graaf, M.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Graus, D.J.G.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;13;de Roon, R.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
;;14;van Weerdenburg, V.D.D.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Mulder, E.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Gerbrands, K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;de Jong, L.W.E.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;18;Popken, G.J.F.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Kops, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van Aalst, R.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van Dijk, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Housmans, R.W.P.E.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;23;Jansen, C.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;de Vree, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Aardema, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van Dijk, A.J.A.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;27;de Winter, D.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;28;Bezaan, I.A.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Kardol, J.C.;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Vlottes, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;de Jong, R.G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Pijkeren, J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;33;Rijken, J.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;IJssennagger, H.;5;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0
;;35;van Deún, H.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;2;0
;;36;Vermeer, T.F.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;37;Buitelaar, O.S.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Dulfer, T.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Boon, M.C.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Braam, E.G.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Ludriks, M.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Choenni, N.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Roks, L.A.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Thiadens, F.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Hees, E.P.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Kooman, C.V.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van der Sluijs, D.J.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;van Hattem, A.W.J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Stuger, O.F.;6;2;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;van Strien, G.A.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;SP (Socialistische Partij);;;1668;77;66;52;57;61;53;68;75;140;46;41;20;66;37;106;64;41;78;42;96;66;81;30;98;58;49
;;1;Roemer, E.G.M.;1135;41;42;30;38;41;26;51;53;97;26;27;17;41;24;90;49;29;53;32;69;53;50;21;70;39;26
;;2;Leijten, R.M.;168;10;9;10;5;9;9;3;8;17;7;2;1;14;2;2;3;2;7;4;5;3;7;4;9;7;9
;;3;Marijnissen, L.M.C.;237;14;10;9;11;9;10;10;7;14;11;8;2;7;10;6;7;9;12;4;17;6;19;3;8;7;7
;;4;van Raak, A.A.G.M.;13;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;1;0;1;3;1;0
;;5;Karabulut, S.;30;2;1;0;0;0;3;1;3;1;0;1;0;0;0;6;0;1;2;0;1;2;3;0;1;0;2
;;6;Beckerman, S.M.;9;1;0;2;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0
;;7;van Nispen, M.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Kwint, J.P.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van Kent, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Laçin, C.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Futselaar, F.W.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Kooiman, C.J.E.;30;4;1;0;1;2;1;1;3;4;0;1;0;3;0;0;1;0;1;0;1;0;0;0;3;2;1
;;13;Hijink, H.P.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
;;14;van Dijk, J.J.;6;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0
;;15;Smaling, E.M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Alkaya, M.Ö.;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
;;17;van Gerven, H.P.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Olders, D.W.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Heerschop, A.H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Meijer, A.M.;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;21;Maes, S.A.A.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Meyer, R.P.E.;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
;;23;van Dijk-van Leeuwen, S.Y.;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
;;24;de Wit, D.H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;25;Peterse, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Hoekstra, A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Boerwinkel, E.M.J.;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;28;Hamerslag, P.H.;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Buskoop, B.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;30;Temmink, N.G.J.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;31;de Ridder, N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Sluijs, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Akhiat, A.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;34;van Gemert, N.M.;4;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;35;Dijk, J.P.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;36;de Vos, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Bekkering, I.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Staarink, I.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Müller, G.J.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Feenstra, F.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Olierook, M.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;ten Heuw, M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Helmer-Englebert, R.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Vliegenthart, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Hoekstra, T.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Müller, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Inekci, H.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Mineur, A.C.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Roes, J.M.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Poppe, R.J.L.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
5;CDA;;;4025;160;146;157;99;154;77;169;193;206;160;120;93;226;172;170;153;139;202;127;144;175;242;133;128;186;94
;;1;van Haersma Buma, S.;2682;114;84;111;65;105;48;109;130;137;106;72;69;172;114;100;99;91;130;81;102;125;163;91;86;117;61
;;2;Keijzer, M.C.G.;662;27;42;24;19;30;12;22;29;33;28;18;9;26;29;36;30;20;45;22;25;22;33;18;10;35;18
;;3;Peters, W.P.H.J.;14;0;0;1;0;2;0;1;0;2;0;0;0;0;1;1;0;0;2;1;1;0;2;0;0;0;0
;;4;Omtzigt, P.H.;266;5;4;9;5;4;7;16;12;10;12;10;8;15;16;20;11;7;6;8;5;9;13;19;12;18;5
;;5;van Toorenburg, M.M.;60;1;1;3;0;3;1;2;7;5;3;1;3;4;2;1;1;1;2;6;0;2;5;0;1;5;0
;;6;Knops, R.W.;20;2;3;2;0;0;0;0;4;2;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;2
;;7;Heerma, P.E.;5;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0
;;8;van der Molen, H.;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0
;;9;Bruins Slot, H.G.J.;82;4;6;2;3;0;2;4;4;4;1;3;1;3;2;3;1;1;4;3;5;2;9;0;9;3;3
;;10;Geurts, J.L.;41;0;0;0;0;2;0;0;0;0;1;8;0;0;3;1;0;18;5;1;0;1;1;0;0;0;0
;;11;Kuik, A.;15;0;0;1;1;0;1;0;2;0;2;1;0;1;0;0;2;0;1;0;1;0;0;1;1;0;0
;;12;van Dam, C.J.L.;5;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
;;13;Mulder, A.H.;7;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
;;14;Rog, M.R.J.;5;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1
;;15;Amhaouch, M.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van Helvert, M.J.F.;7;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;17;Ronnes, H.A.G.;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;18;van den Berg-Jansen, J.A.M.J.;12;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;2;0;0;2;2;0
;;19;Slootweg, E.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0
;;20;Geluk-Poortvliet, L.W.D.;52;1;3;3;0;2;2;3;1;7;1;3;0;2;1;2;0;0;2;2;2;2;4;1;2;5;1
;;21;Palland, H.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;22;de Pater-Postma, W.L.;9;0;2;0;1;0;0;0;1;0;0;0;0;0;1;1;2;0;0;0;0;0;1;0;0;0;0
;;23;Terpstra, J.H.;5;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
;;24;Steenbakkers, S.P.M.F.;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van den Anker, G.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Heijnen, V.L.W.A.;10;2;0;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0
;;27;den Bak, S.W.;8;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1
;;28;Schotman, C.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Erkel, P.;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;30;Zwinkels, C.C.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;31;Hanemaaijer, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Hutten, G.J.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Kip, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;van Mierlo, E.J.F.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;de Korte-Verhoef, M.C.;5;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;36;Bergkamp, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;de Haan, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van Opstal, J.M.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;39;Gardeniers, B.H.M.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;40;Bal, M.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Vrugt, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Dekken, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Vloet, W.J.M.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;44;von Martels, M.R.H.M.;22;0;0;0;0;2;0;5;0;0;1;1;1;0;0;3;0;0;1;0;0;3;2;0;3;0;0
;;45;van der Broek, J.M.A.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Bakker, G.J.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Jager, M.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Havelaar, R.B.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Meerkerk, C.F.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;50;Ramcharan, R.;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
6;Democraten 66 (D66);;;4669;233;266;283;179;208;161;213;199;233;166;101;111;274;174;136;116;36;130;145;130;153;363;185;163;219;92
;;1;Pechtold, A.;2931;147;144;158;111;111;105;134;139;160;111;63;72;164;116;96;78;29;78;90;90;106;211;127;112;129;50
;;2;van Veldhoven, S.;464;15;38;41;22;24;17;23;21;18;14;9;9;29;21;14;10;1;8;11;10;11;39;15;14;23;7
;;3;Koolmees, W.;53;1;2;7;5;5;3;3;3;1;0;1;3;3;1;2;0;0;0;1;0;1;4;2;3;2;0
;;4;Dijkstra, P.A.;669;39;52;37;22;35;18;28;22;31;0;13;17;35;20;14;19;4;30;28;18;17;71;15;17;43;24
;;5;van Engelshoven, I.K.;58;3;2;1;1;0;1;1;0;2;28;3;0;5;2;0;3;0;2;0;0;0;0;3;0;1;0
;;6;Bergkamp, V.A.;73;4;5;5;2;4;2;4;6;1;0;1;0;6;4;1;1;1;1;1;0;6;4;3;2;5;4
;;7;Verhoeven, K.;32;1;0;4;1;3;0;3;0;3;0;1;0;7;2;1;0;0;1;0;0;1;2;1;0;1;0
;;8;van Meenen, P.H.;18;0;4;4;0;0;0;1;0;1;2;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1
;;9;Paternotte, J.M.;9;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;1;0;2;0
;;10;Van Weyenberg, S.P.R.A.;4;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Sjoerdsma, S.W.;9;1;1;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
;;12;Jetten, R.A.A.;9;0;0;1;0;2;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;1;0;0;0
;;13;Van Eijs, J.M.;52;3;1;4;3;1;1;3;2;1;2;2;3;3;2;2;2;0;1;2;2;1;5;3;1;1;1
;;14;Belhaj, S.;45;1;2;4;2;5;0;1;0;2;1;4;0;2;2;0;0;0;0;1;3;0;5;3;5;1;1
;;15;Groothuizen, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Bouali, A.;9;0;0;2;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0
;;17;Raemakers, R.;4;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Diertens, A.E.;54;6;2;3;2;4;1;2;1;3;0;0;1;3;2;0;0;0;3;2;2;3;6;3;3;1;1
;;19;de Groot, T.C.;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;20;den Boer, M.G.W.;33;4;3;3;2;2;1;0;1;1;1;0;1;1;0;0;1;0;1;1;1;2;2;2;1;2;0
;;21;Sienot, M.F.;12;1;1;1;0;2;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;2;0;0
;;22;Sneller, J.C.;10;0;0;0;0;7;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Schonis, R.A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van Beukering-Huijbregts, M.J.T.G.;35;1;5;2;2;0;3;1;0;2;1;0;0;2;0;0;1;0;0;4;2;1;3;3;0;0;2
;;25;Meijer, A.A.;6;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0
;;26;Eurlings-Tonnaer, F.M.C.L.;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Ramlal, M.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Bemmel, M.E.;5;0;0;1;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
;;29;Lamers, C.B.M.;5;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;30;van Essen, J.;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;31;Verbrugge-Wormgoor, D.C.;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
;;32;van der Laan, J.M.P.;3;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Zarroy, N.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Winkel, B.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Bamenga, P.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Sanders, N.P.C.;14;0;1;0;1;0;0;0;0;0;0;2;1;2;0;0;0;1;0;1;0;0;0;1;1;3;0
;;37;Guernaoui, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Kat, H.;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;39;Keij, E.J.;8;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;1;0;1;0
;;40;Bosman, A.M.;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;41;Schukking, S.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Schepel, W.D.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;43;Glastra van Loon, J.H.;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;44;van Vugt, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Dun, C.M.;11;2;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;0;0;1;0;0;2;0;0;0;0
;;46;Wirken, S.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;de Smoker-van Andel, N.;3;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Hoogeveen, T.C.;5;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0
