Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;
Gebied;;Gemeente Westervoort;;;;;;;;;;
Nummer;;293;;;;;;;;;;
;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Montessorischool;De Brug;De Bult Wijkcentrum;Het Startblok;Het Ravelijn;De Nieuwhof;Wesstar
;;22;Kennedy-Doornbos, S.J.;0;0;0;0;0;0;0;0;0
;;23;Ebid, E.K.;0;0;0;0;0;0;0;0;0
;;24;Hofstra, H.J.;0;0;0;0;0;0;0;0;0
;;25;Kumar, A.D.J.M.;0;0;0;0;0;0;0;0;0
;;26;Weigand-Timmer, H.A.C.;0;0;0;0;0;0;0;0;0
;;27;Visser, B.;0;0;0;0;0;0;0;0;0
;;28;Kaper-Hartenberg, E.T.;0;0;0;0;0;0;0;0;0
;;29;Krins, J.T.;0;0;0;0;0;0;0;0;0
;;30;Schuring, H.;0;0;0;0;0;0;0;0;0
;;31;van Tatenhove-Meesen, J.A.;0;0;0;0;0;0;0;0;0
;;32;Joosten-Leijendekker, J.M.J.;0;0;0;0;0;0;0;0;0
;;33;Zuidervaart, L.M.;5;0;3;0;0;0;1;1;0
;;34;Jaspers Faijer, B.;0;0;0;0;0;0;0;0;0
;;35;Jongman-Mollema, I.M.;0;0;0;0;0;0;0;0;0
;;36;de Haan, J.T.;0;0;0;0;0;0;0;0;0
;;37;Baars, H.C.;0;0;0;0;0;0;0;0;0
;;38;Visser, F.C.;0;0;0;0;0;0;0;0;0
;;39;Klein, A.C.;0;0;0;0;0;0;0;0;0
;;40;Seyed Mehdi, F.;0;0;0;0;0;0;0;0;0
;;41;Kooij-Bas, A.E.;0;0;0;0;0;0;0;0;0
;;42;van Kranenburg, C.J.;0;0;0;0;0;0;0;0;0
;;43;van den Berg, G.;0;0;0;0;0;0;0;0;0
;;44;Balootje, I.S.;0;0;0;0;0;0;0;0;0
;;45;van Zaalen, F.P.;0;0;0;0;0;0;0;0;0
;;46;Haga, A.;1;0;0;0;0;1;0;0;0
;;47;van der Spoel, P.L.R.;0;0;0;0;0;0;0;0;0
;;48;Stoorvogel, H.;0;0;0;0;0;0;0;0;0
;;49;van der Veer, A.;0;0;0;0;0;0;0;0;0
;;50;Bottenbley, O.E.;0;0;0;0;0;0;0;0;0
8;GROENLINKS;;;803;148;83;55;54;116;129;148;70
;;1;Klaver, J.F.;584;98;61;44;39;83;99;108;52
;;2;Buitenweg, K.M.;65;18;5;4;4;15;6;10;3
;;3;van der Lee, T.M.T.;1;0;0;0;0;0;0;1;0
;;4;Voortman, L.G.J.;9;2;3;0;0;1;1;2;0
;;5;Grashoff, H.J.;1;0;0;0;0;1;0;0;0
;;6;van Tongeren, L.;10;1;1;1;0;3;0;3;1
;;7;de Jonge van Ellemeet, C.E.;3;2;0;0;0;0;0;0;1
;;8;Özdil, Z.;5;1;0;1;0;0;0;2;1
;;9;Snels, B.A.W.;0;0;0;0;0;0;0;0;0
;;10;van Ojik, A.;2;0;1;0;0;1;0;0;0
;;11;Kröger, S.C.;6;0;0;1;1;1;1;1;1
;;12;Özütok, N.;8;2;0;1;0;2;1;1;1
;;13;Smeulders, P.H.M.;2;0;0;0;1;0;0;1;0
;;14;Westerveld, E.M.;18;4;1;0;1;1;3;5;3
;;15;Bromet, L.;3;2;0;0;0;0;1;0;0
;;16;Renkema, W.J.T.;0;0;0;0;0;0;0;0;0
;;17;van Essen, H.P.;0;0;0;0;0;0;0;0;0
;;18;van den Berge, C.N.;3;0;2;0;0;0;0;0;1
;;19;Diks, L.I.;14;0;2;0;3;2;3;2;2
;;20;van den Nieuwenhuijzen-Wittens, T.J.H.;1;0;0;0;0;0;1;0;0
;;21;Mahtab, I.A.F.;1;1;0;0;0;0;0;0;0
;;22;Bouwkamp, C.C.;37;12;4;1;4;3;5;8;0
;;23;van den Bosch, D.;0;0;0;0;0;0;0;0;0
;;24;van der Steenhoven, M.V.;1;0;0;0;0;0;0;1;0
;;25;Bonte, A.;0;0;0;0;0;0;0;0;0
;;26;van der Kleij, A.M.;0;0;0;0;0;0;0;0;0
;;27;Kuipers, J.N.;2;1;0;0;0;0;1;0;0
;;28;Arnoldussen, J.;0;0;0;0;0;0;0;0;0
;;29;Duursma, J.;1;0;1;0;0;0;0;0;0
;;30;Önder, A.;6;1;0;0;0;0;2;1;2
;;31;Vintges, V.A.M.;0;0;0;0;0;0;0;0;0
;;32;Bashara, S.R.;0;0;0;0;0;0;0;0;0
;;33;Bellemakers, H.A.;0;0;0;0;0;0;0;0;0
;;34;Smelik, C.W.;1;0;0;0;1;0;0;0;0
;;35;Schers, S.R.M.;0;0;0;0;0;0;0;0;0
;;36;Klijmij-van der Laan, M.;0;0;0;0;0;0;0;0;0
;;37;Piers, R.P.A.;0;0;0;0;0;0;0;0;0
;;38;Vermast, P.L.A.;0;0;0;0;0;0;0;0;0
;;39;Snaas, M.;14;1;1;2;0;3;4;1;2
;;40;van Oort, K.J.H.A.;0;0;0;0;0;0;0;0;0
;;41;Hirsch, D.H.;1;1;0;0;0;0;0;0;0
;;42;van Grootheest, G.J.;0;0;0;0;0;0;0;0;0
;;43;van Hooijdonk, L.H.L.;0;0;0;0;0;0;0;0;0
;;44;Kapteijns, F.H.A.;0;0;0;0;0;0;0;0;0
;;45;Scholten, H.T.M.;1;1;0;0;0;0;0;0;0
;;46;Muambi, A.O.;0;0;0;0;0;0;0;0;0
;;47;Homan-Brinkman, N.;2;0;0;0;0;0;1;1;0
;;48;El Fassed, A.;0;0;0;0;0;0;0;0;0
;;49;Rüter, J.S.;0;0;0;0;0;0;0;0;0
;;50;van Gent, W.;1;0;1;0;0;0;0;0;0
9;Staatkundig Gereformeerde Partij (SGP);;;20;11;0;1;3;0;1;3;1
;;1;van der Staaij, C.G.;17;10;0;1;2;0;1;2;1
;;2;Dijkgraaf, E.;2;1;0;0;0;0;0;1;0
;;3;Bisschop, R.;0;0;0;0;0;0;0;0;0
;;4;Ruissen, H.J.A.;0;0;0;0;0;0;0;0;0
;;5;Stoffer, C.;0;0;0;0;0;0;0;0;0
;;6;Schipaanboord, G.P.;0;0;0;0;0;0;0;0;0
;;7;Kloosterman, J.;0;0;0;0;0;0;0;0;0
;;8;Tanis, J.P.;0;0;0;0;0;0;0;0;0
;;9;Veldman, J.D.;0;0;0;0;0;0;0;0;0
;;10;Nieuwenhuis, E.J.;0;0;0;0;0;0;0;0;0
;;11;Weggeman, A.;0;0;0;0;0;0;0;0;0
;;12;Hoek, P.W.J.;0;0;0;0;0;0;0;0;0
;;13;de Knegt, L.;0;0;0;0;0;0;0;0;0
;;14;Flach, A.J.;0;0;0;0;0;0;0;0;0
;;15;van Wikselaar, W.;0;0;0;0;0;0;0;0;0
;;16;van Leeuwen, G.R.;0;0;0;0;0;0;0;0;0
;;17;Bosma, E.G.;1;0;0;0;1;0;0;0;0
;;18;Kok, W.H.;0;0;0;0;0;0;0;0;0
;;19;Bakker, T.;0;0;0;0;0;0;0;0;0
;;20;Boonzaaijer, G.;0;0;0;0;0;0;0;0;0
;;21;Simonse, J.N.;0;0;0;0;0;0;0;0;0
;;22;van Duijn, W.J.;0;0;0;0;0;0;0;0;0
;;23;van Westreenen, S.;0;0;0;0;0;0;0;0;0
;;24;van 't Land, J.A.;0;0;0;0;0;0;0;0;0
;;25;Noordergraaf, P.T.;0;0;0;0;0;0;0;0;0
;;26;Benschop, J.W.;0;0;0;0;0;0;0;0;0
;;27;Dorst, A.I.G.;0;0;0;0;0;0;0;0;0
;;28;van den Berg, W.;0;0;0;0;0;0;0;0;0
;;29;de Vries, W.;0;0;0;0;0;0;0;0;0
;;30;Brouwer, M.;0;0;0;0;0;0;0;0;0
10;Partij voor de Dieren;;;298;58;26;14;26;34;54;61;25
;;1;Thieme, M.L.;233;44;22;9;18;29;44;45;22
;;2;Ouwehand, E.;27;6;1;2;1;3;3;9;2
;;3;van Raan, L.;1;0;0;0;0;0;0;1;0
;;4;Wassenberg, F.P.;2;1;0;0;0;0;1;0;0
;;5;Arissen, F.M.;6;2;1;0;1;0;1;1;0
;;6;van Esch, E.M.;3;1;0;0;0;0;1;1;0
;;7;Teunissen, C.;1;1;0;0;0;0;0;0;0
;;8;van Leeuwen, M.;1;0;0;0;0;0;0;1;0
;;9;Koffeman, N.K.;0;0;0;0;0;0;0;0;0
;;10;Engelen, E.R.;1;0;0;1;0;0;0;0;0
;;11;van Lammeren, J.F.W.;1;1;0;0;0;0;0;0;0
;;12;Akerboom, E.S.;1;0;0;0;1;0;0;0;0
;;13;van Liere, A.E.;1;0;0;0;0;0;0;1;0
;;14;van Voorthuizen, G.S.L.;1;1;0;0;0;0;0;0;0
;;15;van der Wel, M.C.;0;0;0;0;0;0;0;0;0
;;16;van der Veer, L.R.;0;0;0;0;0;0;0;0;0
;;17;van Viegen, A.H.K.;0;0;0;0;0;0;0;0;0
;;18;Keller, H.J.;0;0;0;0;0;0;0;0;0
;;19;van Doorn, M.E.C.;2;0;1;1;0;0;0;0;0
;;20;Plusquin, P.S.M.L.;0;0;0;0;0;0;0;0;0
;;21;van der Velden, R.T.J.;0;0;0;0;0;0;0;0;0
;;22;Smit, I.R.;1;1;0;0;0;0;0;0;0
;;23;Vestering, L.;1;0;0;0;0;0;1;0;0
;;24;Travaille, A.;0;0;0;0;0;0;0;0;0
;;25;de Wrede, K.;1;0;0;0;0;1;0;0;0
;;26;van der Zanden, C.J.M.;0;0;0;0;0;0;0;0;0
;;27;Janssens, T.A.O.;0;0;0;0;0;0;0;0;0
;;28;Kosti?, I.;1;0;0;0;1;0;0;0;0
;;29;Hazekamp, A.A.H.;0;0;0;0;0;0;0;0;0
;;30;Berendse, F.;0;0;0;0;0;0;0;0;0
;;31;Biesheuvel, J.M.A.;0;0;0;0;0;0;0;0;0
;;32;Cruiming, J.P.;0;0;0;0;0;0;0;0;0
;;33;Dumon Tak, M.A.;0;0;0;0;0;0;0;0;0
;;34;Engelsman, V.L.;1;0;0;0;0;0;1;0;0
;;35;de Haas, J.L.;4;0;1;0;1;0;1;0;1
;;36;van der Heijden, A.F.T.;0;0;0;0;0;0;0;0;0
;;37;Herstel, M.;0;0;0;0;0;0;0;0;0
;;38;van der Steen, M.F.;0;0;0;0;0;0;0;0;0
;;39;Meijer, E.R.;0;0;0;0;0;0;0;0;0
;;40;Mutsaers, C.J.M.;0;0;0;0;0;0;0;0;0
;;41;Nicolaï, P.;0;0;0;0;0;0;0;0;0
;;42;Postma, A.;0;0;0;0;0;0;0;0;0
;;43;Rot, J.;0;0;0;0;0;0;0;0;0
;;44;Rotenstreich, M.M.;0;0;0;0;0;0;0;0;0
;;45;de Schepper, T.;2;0;0;0;1;0;0;1;0
;;46;Schrijver, J.W.;0;0;0;0;0;0;0;0;0
;;47;Siebelink, J.G.;0;0;0;0;0;0;0;0;0
;;48;van Veen, B.;1;0;0;0;0;0;0;1;0
;;49;Verbaan, G.C.;4;0;0;1;1;1;1;0;0
;;50;Woesthoff, M.F.F.;1;0;0;0;1;0;0;0;0
11;50PLUS;;;378;66;31;39;36;36;60;77;33
;;1;Krol, H.C.M.;290;55;24;31;27;26;43;61;23
;;2;Sazias, L.;56;7;4;7;7;6;9;9;7
;;3;van Rooijen, M.J.;10;1;2;0;0;1;1;3;2
;;4;van Brenk, C.M.;8;0;1;1;1;2;1;2;0
;;5;van Otterloo, G.J.P.;0;0;0;0;0;0;0;0;0
;;6;Geleijnse, S.;0;0;0;0;0;0;0;0;0
;;7;Bode, E.M.;1;0;0;0;0;1;0;0;0
;;8;Schrover, W.A.A.;1;0;0;0;0;0;1;0;0
;;9;Koopman, M.;2;0;0;0;0;0;2;0;0
;;10;de Brouwer, R.B.P.;0;0;0;0;0;0;0;0;0
;;11;Wiersma, T.;2;2;0;0;0;0;0;0;0
;;12;Bergen, P.H.;0;0;0;0;0;0;0;0;0
;;13;van Veeren, P.;1;0;0;0;0;0;0;0;1
;;14;Willemse, W.;0;0;0;0;0;0;0;0;0
;;15;Fonhof, G.J.;1;0;0;0;0;0;0;1;0
;;16;Kroonstuiver, N.L.D.;0;0;0;0;0;0;0;0;0
;;17;Verboom, H.J.;0;0;0;0;0;0;0;0;0
;;18;van de Griendt, M.W.E.;0;0;0;0;0;0;0;0;0
;;19;van Overveld, W.A.A.M.;0;0;0;0;0;0;0;0;0
;;20;Hamersma, K.;0;0;0;0;0;0;0;0;0
;;21;Siepel, H.;0;0;0;0;0;0;0;0;0
;;22;Kerkhof, F.;0;0;0;0;0;0;0;0;0
;;23;Hernández Martínez, A.;0;0;0;0;0;0;0;0;0
;;24;Jansen, W.;0;0;0;0;0;0;0;0;0
;;25;Heere, T.J.M.;0;0;0;0;0;0;0;0;0
;;26;Haasnoot, J.H.;0;0;0;0;0;0;0;0;0
;;27;van Orsouw, J.H.T.;0;0;0;0;0;0;0;0;0
;;28;Molenaar, R.;0;0;0;0;0;0;0;0;0
;;29;Haije, A.F.;0;0;0;0;0;0;0;0;0
;;30;Spooren, A.J.M.;1;0;0;0;0;0;0;1;0
;;31;de Meij, O.A.C.;0;0;0;0;0;0;0;0;0
;;32;van Wanrooij, A.C.P.;0;0;0;0;0;0;0;0;0
;;33;Brouwers, J.F.X.M.;0;0;0;0;0;0;0;0;0
;;34;van Hulst, J.A.M.;0;0;0;0;0;0;0;0;0
;;35;Gralike, R.B.M.;0;0;0;0;0;0;0;0;0
;;36;Bergwerf, F.;0;0;0;0;0;0;0;0;0
;;37;Hilte, M.S.;0;0;0;0;0;0;0;0;0
;;38;Pastoor, H.H.;0;0;0;0;0;0;0;0;0
;;39;Verhoeven, W.J.H.;3;0;0;0;1;0;2;0;0
;;40;de Vries, D.P.;0;0;0;0;0;0;0;0;0
;;41;Gertsen, J.W.M.;1;0;0;0;0;0;1;0;0
;;42;Meijer, H.;0;0;0;0;0;0;0;0;0
;;43;van Zanten, D.;0;0;0;0;0;0;0;0;0
;;44;ten Cate, H.J.;0;0;0;0;0;0;0;0;0
;;45;Rose, F.J.;0;0;0;0;0;0;0;0;0
;;46;Lamberts, H.;0;0;0;0;0;0;0;0;0
;;47;de Vries, A.E.;0;0;0;0;0;0;0;0;0
;;48;van de Wal, H.J.C.M.;0;0;0;0;0;0;0;0;0
;;49;Hoek, W.M.M.;0;0;0;0;0;0;0;0;0
;;50;Struijlaard, J.W.A.;1;1;0;0;0;0;0;0;0
12;OndernemersPartij;;;11;5;1;2;0;0;0;3;0
;;1;Brinkman, H.;9;5;1;1;0;0;0;2;0
;;2;Gaasbeek, M.;1;0;0;1;0;0;0;0;0
;;3;de Vries, J.L.G.;0;0;0;0;0;0;0;0;0
;;4;Kicken, J.M.H.;1;0;0;0;0;0;0;1;0
;;5;van den Berg, J.O.;0;0;0;0;0;0;0;0;0
;;6;de Koning, M.;0;0;0;0;0;0;0;0;0
;;7;Theocharis, S.;0;0;0;0;0;0;0;0;0
;;8;Andriol, S.J.R.;0;0;0;0;0;0;0;0;0
;;9;Bol, R.G.;0;0;0;0;0;0;0;0;0
;;10;Reitsma, H.H.;0;0;0;0;0;0;0;0;0
;;11;Wood, D.R.;0;0;0;0;0;0;0;0;0
13;VNL (VoorNederland);;;27;3;6;3;3;0;2;4;6
;;1;Roos, J.H.;25;3;6;3;2;0;2;4;5
;;2;van Klaveren, J.J.;2;0;0;0;1;0;0;0;1
;;3;Bontes, L.;0;0;0;0;0;0;0;0;0
;;4;Hoogwerf, T.C.;0;0;0;0;0;0;0;0;0
;;5;Sassen, J.H.N.A.;0;0;0;0;0;0;0;0;0
;;6;Versteeg, M.A.J.;0;0;0;0;0;0;0;0;0
;;7;de Laat, J.M.;0;0;0;0;0;0;0;0;0
;;8;van der Meer, S.;0;0;0;0;0;0;0;0;0
;;9;Vermaas, P.C.;0;0;0;0;0;0;0;0;0
;;10;Himpers, J.;0;0;0;0;0;0;0;0;0
;;11;van Gemert, R.J.H.;0;0;0;0;0;0;0;0;0
;;12;Oosterhagen, H.J.;0;0;0;0;0;0;0;0;0
;;13;Molema, J.F.H.;0;0;0;0;0;0;0;0;0
;;14;de Gast, A.L.M.;0;0;0;0;0;0;0;0;0
;;15;Chandarsing, A.S.;0;0;0;0;0;0;0;0;0
;;16;van Tiggelen, R.;0;0;0;0;0;0;0;0;0
;;17;de Veth, C.G.;0;0;0;0;0;0;0;0;0
;;18;Stassen, L.J.A.J.;0;0;0;0;0;0;0;0;0
14;DENK;;;70;7;0;5;5;11;12;19;11
;;1;Kuzu, T.;42;5;0;4;4;7;5;12;5
;;2;Azarkan, F.;13;0;0;0;0;1;5;5;2
;;3;Öztürk, S.;3;0;0;1;0;1;0;1;0
;;4;Albitrouw, G.;0;0;0;0;0;0;0;0;0
;;5;van Baarle, S.R.T.;0;0;0;0;0;0;0;0;0
;;6;Charlot, M.J.H.;0;0;0;0;0;0;0;0;0
;;7;Taimounti, M.;0;0;0;0;0;0;0;0;0
;;8;Kiliç, A.;0;0;0;0;0;0;0;0;0
;;9;Koolbergen, M.M.;0;0;0;0;0;0;0;0;0
;;10;Tsouli, A.;0;0;0;0;0;0;0;0;0
;;11;van Splunter, M.;0;0;0;0;0;0;0;0;0
;;12;Uysal, ?.;0;0;0;0;0;0;0;0;0
;;13;Karaman, R.;12;2;0;0;1;2;2;1;4
;;14;Raja, T.M.;0;0;0;0;0;0;0;0;0
;;15;Kayi?, Y.;0;0;0;0;0;0;0;0;0
;;16;Rana, M.Z.T.;0;0;0;0;0;0;0;0;0
;;17;Demirel, N.;0;0;0;0;0;0;0;0;0
;;18;Ince, K.;0;0;0;0;0;0;0;0;0
15;NIEUWE WEGEN;;;15;2;2;0;3;3;0;4;1
;;1;Oosenbrug, A.;4;1;1;0;1;0;0;1;0
;;2;Monasch, J.S.;6;0;1;0;1;2;0;1;1
;;3;Beemsterboer, R.J.C.;3;0;0;0;1;1;0;1;0
;;4;Ekiz, I.;0;0;0;0;0;0;0;0;0
;;5;Spitsbaard, A.W.;0;0;0;0;0;0;0;0;0
;;6;Vianen-van der Geest, G.C.J.;1;1;0;0;0;0;0;0;0
;;7;van Leeuwen, C.H.;0;0;0;0;0;0;0;0;0
;;8;van Duijvenvoorde, A.;0;0;0;0;0;0;0;0;0
;;9;Jochems, I.C.A.M.;0;0;0;0;0;0;0;0;0
;;10;Dijkstra, S.J.;0;0;0;0;0;0;0;0;0
;;11;Durgaram, R.M.H.;0;0;0;0;0;0;0;0;0
;;12;de Vries, Y.;0;0;0;0;0;0;0;0;0
;;13;Verstappen, J.H.M.;0;0;0;0;0;0;0;0;0
;;14;van Scheyen, I.S.L.;0;0;0;0;0;0;0;0;0
;;15;de Jong, B.D.;0;0;0;0;0;0;0;0;0
;;16;van Leeuwen, G.L.F.;0;0;0;0;0;0;0;0;0
;;17;Pijpker, J.;0;0;0;0;0;0;0;0;0
;;18;van Eldik, D.A.;0;0;0;0;0;0;0;0;0
;;19;Willemstein, J.S.A.;0;0;0;0;0;0;0;0;0
;;20;Komdeur, E.;0;0;0;0;0;0;0;0;0
;;21;van Dijken, R.G.;0;0;0;0;0;0;0;0;0
;;22;Heyser, R.;0;0;0;0;0;0;0;0;0
;;23;van Gessel, R.;1;0;0;0;0;0;0;1;0
;;24;Haak, M.H.D.;0;0;0;0;0;0;0;0;0
;;25;Thiemann, J.H.;0;0;0;0;0;0;0;0;0
;;26;Visscher, K.J.J.;0;0;0;0;0;0;0;0;0
;;27;Hurtado-Panek, J.;0;0;0;0;0;0;0;0;0
;;28;van der Maas, W.L.;0;0;0;0;0;0;0;0;0
;;29;de Boer, S.;0;0;0;0;0;0;0;0;0
;;30;Buchel, L.G.H.;0;0;0;0;0;0;0;0;0
16;Forum voor Democratie;;;161;28;13;14;10;27;29;30;10
;;1;Baudet, T.H.P.;108;21;9;6;5;15;20;24;8
;;2;Hiddema, T.U.;38;5;2;5;4;9;6;5;2
;;3;Teunissen, S.M.;9;1;1;2;0;2;2;1;0
;;4;Otten, H.;0;0;0;0;0;0;0;0;0
;;5;Frentrop, P.M.L.;0;0;0;0;0;0;0;0;0
;;6;Rooken, R.J.;0;0;0;0;0;0;0;0;0
;;7;Stolze-van Rijn, S.E.;3;1;0;1;1;0;0;0;0
;;8;Reedijk, G.P.;0;0;0;0;0;0;0;0;0
;;9;Ramautarsing, Y.J.S.;1;0;0;0;0;0;1;0;0
;;10;Brouwer, Z.M.A.;0;0;0;0;0;0;0;0;0
;;11;de Vries, J.W.E.;1;0;0;0;0;1;0;0;0
;;12;Legger, A.L.;0;0;0;0;0;0;0;0;0
;;13;Dieudonné, C.A.;1;0;1;0;0;0;0;0;0
;;14;van Assen, G.J.E.;0;0;0;0;0;0;0;0;0
;;15;Jeelof, G.W.D.;0;0;0;0;0;0;0;0;0
;;16;Boltjes, L.;0;0;0;0;0;0;0;0;0
;;17;Berkhout, F.J.;0;0;0;0;0;0;0;0;0
;;18;Boon, S.O.;0;0;0;0;0;0;0;0;0
;;19;de Kok, A.;0;0;0;0;0;0;0;0;0
;;20;de Groot, A.R.;0;0;0;0;0;0;0;0;0
;;21;Berkhout, H.A.;0;0;0;0;0;0;0;0;0
;;22;Mooijekind, R.A.;0;0;0;0;0;0;0;0;0
;;23;Eldering, C.H.;0;0;0;0;0;0;0;0;0
;;24;Verbrugh, D.J.;0;0;0;0;0;0;0;0;0
;;25;Koning, S.R.;0;0;0;0;0;0;0;0;0
;;26;Kerklingh, H.K.;0;0;0;0;0;0;0;0;0
;;27;Velzing, H.;0;0;0;0;0;0;0;0;0
;;28;van Wely, L.F.A.M.;0;0;0;0;0;0;0;0;0
;;29;Ankersmit, F.R.;0;0;0;0;0;0;0;0;0
;;30;Cliteur, P.B.;0;0;0;0;0;0;0;0;0
17;De Burger Beweging;;;3;2;0;1;0;0;0;0;0
;;1;Vlems, A.M.;1;0;0;1;0;0;0;0;0
;;2;de Louw, A.J.H.;0;0;0;0;0;0;0;0;0
;;3;Rozendaal, H.A.;0;0;0;0;0;0;0;0;0
;;4;van der Linde, R.A.;0;0;0;0;0;0;0;0;0
;;5;Siegers, A.K.;0;0;0;0;0;0;0;0;0
;;6;Mul, A.M.;0;0;0;0;0;0;0;0;0
;;7;Migchels, A.R.P.;0;0;0;0;0;0;0;0;0
;;8;Titarsole, A.J.;1;1;0;0;0;0;0;0;0
;;9;Dubling, D.;0;0;0;0;0;0;0;0;0
;;10;Ackerman, D.M.;0;0;0;0;0;0;0;0;0
;;11;Holthuis, H.;0;0;0;0;0;0;0;0;0
;;12;Bos, S.;0;0;0;0;0;0;0;0;0
;;13;Vousten, G.J.H.;0;0;0;0;0;0;0;0;0
;;14;Vogelaar, G.D.M.;0;0;0;0;0;0;0;0;0
;;15;Bijl, J.H.;0;0;0;0;0;0;0;0;0
;;16;van Steenbergen, J.T.;0;0;0;0;0;0;0;0;0
;;17;Schönbeck, H.A.;0;0;0;0;0;0;0;0;0
;;18;Hondema, A.R.;0;0;0;0;0;0;0;0;0
;;19;Venema, J.;0;0;0;0;0;0;0;0;0
;;20;Ghuijs, J.A.A.M.;0;0;0;0;0;0;0;0;0
;;21;Kirpensteijn, J.J.;0;0;0;0;0;0;0;0;0
;;22;Wilshaus, J.;0;0;0;0;0;0;0;0;0
;;23;Jansen, C.P.M.;0;0;0;0;0;0;0;0;0
;;24;Haccou, H.K.;0;0;0;0;0;0;0;0;0
;;25;van der Vlist, L.;0;0;0;0;0;0;0;0;0
;;26;Hupe, L.B.;0;0;0;0;0;0;0;0;0
;;27;Bervoets, L.F.;0;0;0;0;0;0;0;0;0
;;28;Janssen, M.;0;0;0;0;0;0;0;0;0
;;29;Cornielje, M.J.M.;0;0;0;0;0;0;0;0;0
;;30;Lamers, M.R.;0;0;0;0;0;0;0;0;0
;;31;Hanff, M.J.;0;0;0;0;0;0;0;0;0
;;32;van der Burgt, N.J.;0;0;0;0;0;0;0;0;0
;;33;van Vliet, P.J.W.G.;0;0;0;0;0;0;0;0;0
;;34;van de Graaf, M.J.;0;0;0;0;0;0;0;0;0
;;35;Visser, O.J.;0;0;0;0;0;0;0;0;0
;;36;Graafsma, R.A.J.;0;0;0;0;0;0;0;0;0
;;37;Geelen, R.W.;0;0;0;0;0;0;0;0;0
;;38;Swami-Persaud, R.H.;1;1;0;0;0;0;0;0;0
;;39;Tourgaidis, W.;0;0;0;0;0;0;0;0;0
;;40;Zoethout, S.;0;0;0;0;0;0;0;0;0
;;41;Bruining, W.E.;0;0;0;0;0;0;0;0;0
;;42;Massop, W.G.M.;0;0;0;0;0;0;0;0;0
18;Vrijzinnige Partij;;;3;0;0;0;0;0;0;3;0
;;1;Klein, N.P.M.;3;0;0;0;0;0;0;3;0
;;2;Loomans, M.L.P.;0;0;0;0;0;0;0;0;0
;;3;Wienbelt, M.C.;0;0;0;0;0;0;0;0;0
;;4;Westenberg, A.A.;0;0;0;0;0;0;0;0;0
;;5;Haddering, H.;0;0;0;0;0;0;0;0;0
;;6;Smit, W.F.;0;0;0;0;0;0;0;0;0
;;7;Lammers, R.;0;0;0;0;0;0;0;0;0
;;8;Kuijpers, J.G.L.;0;0;0;0;0;0;0;0;0
;;9;Byrde, Y.A.C.;0;0;0;0;0;0;0;0;0
;;10;Huigens, A.F.J.;0;0;0;0;0;0;0;0;0
;;11;Seelig, D.A.;0;0;0;0;0;0;0;0;0
;;12;Vorswijk, M.K.;0;0;0;0;0;0;0;0;0
;;13;Zandberg, J.G.;0;0;0;0;0;0;0;0;0
;;14;Stassen, L.B.;0;0;0;0;0;0;0;0;0
19;GeenPeil;;;6;1;0;1;0;0;2;1;1
;;1;Dijkgraaf, J.;5;0;0;1;0;0;2;1;1
;;2;Dreijer, H.B.E.;0;0;0;0;0;0;0;0;0
;;3;Aarad, A.;0;0;0;0;0;0;0;0;0
;;4;Reijnaers, D.J.W.;0;0;0;0;0;0;0;0;0
;;5;Klaver, C.;0;0;0;0;0;0;0;0;0
;;6;Akdo?an, A.;0;0;0;0;0;0;0;0;0
;;7;de Swart, N.C.;0;0;0;0;0;0;0;0;0
;;8;Riemer, G.J.;0;0;0;0;0;0;0;0;0
;;9;Groenewoud, V.B.;0;0;0;0;0;0;0;0;0
;;10;Giebels, S.;1;1;0;0;0;0;0;0;0
;;11;Bal, A.;0;0;0;0;0;0;0;0;0
;;12;Brante, M.C.;0;0;0;0;0;0;0;0;0
;;13;de Dood, H.J.M.;0;0;0;0;0;0;0;0;0
;;14;de Konink, S.A.M.M.;0;0;0;0;0;0;0;0;0
20;Piratenpartij;;;24;9;1;2;1;4;4;3;0
;;1;van de Leest, A.T.;22;8;1;2;1;4;3;3;0
;;2;Pontier, M.A.;0;0;0;0;0;0;0;0;0
;;3;Brouwer, H.A.;0;0;0;0;0;0;0;0;0
;;4;Straver, A.T.E.;0;0;0;0;0;0;0;0;0
;;5;Downs-Hovestadt, P.M.H.;0;0;0;0;0;0;0;0;0
;;6;Feitsma, T.T.;0;0;0;0;0;0;0;0;0
;;7;Lensink, M.C.;0;0;0;0;0;0;0;0;0
;;8;Janssen, L.D.;0;0;0;0;0;0;0;0;0
;;9;Sikkema, G.B.;0;0;0;0;0;0;0;0;0
;;10;Dulfer, M.;0;0;0;0;0;0;0;0;0
;;11;Huurman, R.J.;0;0;0;0;0;0;0;0;0
;;12;Dieleman, B.;0;0;0;0;0;0;0;0;0
;;13;Peskens, G.L.J.;0;0;0;0;0;0;0;0;0
;;14;Maessen, W.M.M.;0;0;0;0;0;0;0;0;0
;;15;Hallegraeff, D.S.;1;1;0;0;0;0;0;0;0
;;16;de Jong, J.T.;1;0;0;0;0;0;1;0;0
;;17;Batstra, J.;0;0;0;0;0;0;0;0;0
;;18;van der Velde, V.C.;0;0;0;0;0;0;0;0;0
