Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;;
Gebied;;Gemeente Maasdriel;;;;;;;;;;;;;;;
Nummer;;263;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Kerkdriel;De Leijenstein;MFC De Kreek;De Boxhof;Dorpshuis Gelre's End;Rehoboth;De Lindeboom;De Weesboom;Dorpshuis Ons Huis;Dorpshuis De Vrijheid;De Vaste Burcht;Dorpshuis De Kil;De Drie Linden
;;25;van den Anker, G.P.;1517;107;95;89;144;178;330;96;154;82;23;122;28;69
;;26;Heijnen, V.L.W.A.;2;0;0;0;0;2;0;0;0;0;0;0;0;0
;;27;den Bak, S.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Schotman, C.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Erkel, P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Zwinkels, C.C.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Hanemaaijer, E.;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;32;Hutten, G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Kip, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;van Mierlo, E.J.F.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;de Korte-Verhoef, M.C.;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;36;Bergkamp, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;de Haan, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van Opstal, J.M.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Gardeniers, B.H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Bal, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Vrugt, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Dekken, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Vloet, W.J.M.M.;2;0;0;0;0;1;1;0;0;0;0;0;0;0
;;44;von Martels, M.R.H.M.;3;0;0;0;1;0;0;2;0;0;0;0;0;0
;;45;van der Broek, J.M.A.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Wissink, F.S.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Saris, I.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Buck, M.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Stukker, N.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Zoet, H.R.;1;0;0;0;0;1;0;0;0;0;0;0;0;0
6;Democraten 66 (D66);;;1148;139;69;102;41;85;154;97;89;41;58;169;65;39
;;1;Pechtold, A.;824;99;49;80;33;53;98;78;58;25;41;133;44;33
;;2;van Veldhoven, S.;107;13;11;4;2;12;15;5;12;5;9;10;9;0
;;3;Koolmees, W.;9;1;0;3;0;0;0;1;1;1;0;2;0;0
;;4;Dijkstra, P.A.;106;11;5;6;5;10;18;5;11;7;3;15;5;5
;;5;van Engelshoven, I.K.;7;0;1;2;0;1;1;0;0;0;1;1;0;0
;;6;Bergkamp, V.A.;17;4;0;2;0;2;2;0;2;0;1;3;1;0
;;7;Verhoeven, K.;5;2;0;0;0;0;1;0;1;1;0;0;0;0
;;8;van Meenen, P.H.;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;9;Paternotte, J.M.;2;0;0;0;0;0;1;1;0;0;0;0;0;0
;;10;Van Weyenberg, S.P.R.A.;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;11;Sjoerdsma, S.W.;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;12;Jetten, R.A.A.;5;0;1;1;0;0;2;0;1;0;0;0;0;0
;;13;Van Eijs, J.M.;27;3;2;1;1;3;6;5;3;1;0;0;2;0
;;14;Belhaj, S.;2;0;0;0;0;0;2;0;0;0;0;0;0;0
;;15;Groothuizen, M.;2;1;0;0;0;0;0;1;0;0;0;0;0;0
;;16;Bouali, A.;3;0;0;0;0;1;1;0;0;0;0;0;1;0
;;17;Raemakers, R.;3;2;0;0;0;1;0;0;0;0;0;0;0;0
;;18;Diertens, A.E.;7;1;0;0;0;0;2;1;0;0;0;2;0;1
;;19;de Groot, T.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;den Boer, M.G.W.;4;2;0;1;0;0;0;0;0;0;0;0;1;0
;;21;Sienot, M.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Sneller, J.C.;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;23;Schonis, R.A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van Beukering-Huijbregts, M.J.T.G.;2;0;0;0;0;0;1;0;0;0;0;1;0;0
;;25;Meijer, A.A.;2;0;0;0;0;0;1;0;0;1;0;0;0;0
;;26;Eurlings-Tonnaer, F.M.C.L.;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;27;Ramlal, M.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Bemmel, M.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Lamers, C.B.M.;4;0;0;1;0;1;0;0;0;0;2;0;0;0
;;30;van Essen, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Verbrugge-Wormgoor, D.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van der Laan, J.M.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Zarroy, N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Winkel, B.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Bamenga, P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Sanders, N.P.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Guernaoui, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Kat, H.;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;39;Keij, E.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Bosman, A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Schukking, S.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Schepel, W.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Glastra van Loon, J.H.;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;44;van Vugt, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Dun, C.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Wirken, S.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;de Smoker-van Andel, N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Hoogeveen, T.C.;3;0;0;0;0;0;0;0;0;0;1;1;1;0
;;49;Terlouw, G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Ross, H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;ChristenUnie;;;199;15;4;7;4;22;62;7;6;35;7;21;7;2
;;1;Segers, G.M.;157;7;4;3;3;21;54;5;6;25;7;16;4;2
;;2;Schouten, C.J.;18;3;0;1;1;0;1;1;0;7;0;3;1;0
;;3;Voordewind, J.S.;4;1;0;2;0;0;0;0;0;0;0;0;1;0
;;4;Dik-Faber, R.K.;3;1;0;0;0;0;1;1;0;0;0;0;0;0
;;5;Bruins, E.E.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;van der Graaf, S.J.F.;4;0;0;1;0;0;1;0;0;1;0;1;0;0
;;7;Ceder, D.G.M.;2;0;0;0;0;0;0;0;0;2;0;0;0;0
;;8;Vreugdenhil, H.J.;2;0;0;0;0;0;2;0;0;0;0;0;0;0
;;9;Drost, N.;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;10;Gooijer-Medema, J.K.;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;11;Huisman, G.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Rots, D.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Tijhof, B.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Grinwis, P.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Vlieg-Kempe, H.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Meijer, L.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Janssen, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Heuvelink, M.E.C.;4;2;0;0;0;0;2;0;0;0;0;0;0;0
;;19;van 't Foort, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Treurniet-Klapwijk, W.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Mostert, I.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Kennedy-Doornbos, S.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Ebid, E.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Hofstra, H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Kumar, A.D.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Weigand-Timmer, H.A.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Visser, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Kaper-Hartenberg, E.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Krins, J.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Schuring, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;van Tatenhove-Meesen, J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Joosten-Leijendekker, J.M.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Zuidervaart, L.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Jaspers Faijer, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Jongman-Mollema, I.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;de Haan, J.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Baars, H.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Visser, F.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Klein, A.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Seyed Mehdi, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Kooij-Bas, A.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Kranenburg, C.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;van den Berg, G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Balootje, I.S.;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Zaalen, F.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Haga, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van der Spoel, P.L.R.;2;0;0;0;0;1;1;0;0;0;0;0;0;0
;;48;Stoorvogel, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;van der Veer, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Bottenbley, O.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;GROENLINKS;;;668;86;34;34;31;49;64;50;47;33;61;108;52;19
;;1;Klaver, J.F.;516;71;24;24;23;36;52;41;41;30;48;78;32;16
;;2;Buitenweg, K.M.;65;6;4;6;2;7;3;3;3;1;4;15;10;1
;;3;van der Lee, T.M.T.;4;1;0;0;0;0;2;0;0;1;0;0;0;0
;;4;Voortman, L.G.J.;13;2;0;2;0;2;0;1;0;0;0;3;3;0
;;5;Grashoff, H.J.;2;0;1;0;0;0;0;0;0;0;0;1;0;0
;;6;van Tongeren, L.;13;2;0;0;2;1;1;2;0;0;2;2;0;1
;;7;de Jonge van Ellemeet, C.E.;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;8;Özdil, Z.;3;0;1;0;1;0;1;0;0;0;0;0;0;0
;;9;Snels, B.A.W.;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;10;van Ojik, A.;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;11;Kröger, S.C.;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;12;Özütok, N.;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;13;Smeulders, P.H.M.;6;0;0;0;1;0;2;0;0;0;0;0;2;1
;;14;Westerveld, E.M.;14;2;0;1;1;0;2;1;2;0;2;1;2;0
;;15;Bromet, L.;3;0;0;0;1;0;0;0;0;0;1;1;0;0
;;16;Renkema, W.J.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Essen, H.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van den Berge, C.N.;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;19;Diks, L.I.;6;1;0;0;0;0;0;0;1;1;1;2;0;0
;;20;van den Nieuwenhuijzen-Wittens, T.J.H.;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;21;Mahtab, I.A.F.;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;22;Bouwkamp, C.C.;4;1;0;1;0;1;0;0;0;0;0;0;1;0
;;23;van den Bosch, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van der Steenhoven, M.V.;3;0;1;0;0;0;1;0;0;0;0;1;0;0
;;25;Bonte, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van der Kleij, A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Kuipers, J.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Arnoldussen, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Duursma, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Önder, A.;2;0;1;0;0;0;0;0;0;0;0;0;1;0
;;31;Vintges, V.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Bashara, S.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Bellemakers, H.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Smelik, C.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Schers, S.R.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Klijmij-van der Laan, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Piers, R.P.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Vermast, P.L.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Snaas, M.;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;40;van Oort, K.J.H.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Hirsch, D.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Grootheest, G.J.;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;43;van Hooijdonk, L.H.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Kapteijns, F.H.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Scholten, H.T.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Muambi, A.O.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Homan-Brinkman, N.;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;48;El Fassed, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Rüter, J.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;van Gent, W.;3;0;1;0;0;0;0;0;0;0;1;1;0;0
9;Staatkundig Gereformeerde Partij (SGP);;;295;4;4;0;7;71;122;7;3;50;2;17;3;5
;;1;van der Staaij, C.G.;275;4;4;0;2;70;118;6;3;49;2;11;1;5
;;2;Dijkgraaf, E.;15;0;0;0;5;1;3;0;0;0;0;6;0;0
;;3;Bisschop, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;Ruissen, H.J.A.;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;5;Stoffer, C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Schipaanboord, G.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Kloosterman, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Tanis, J.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Veldman, J.D.;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;10;Nieuwenhuis, E.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Weggeman, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Hoek, P.W.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;de Knegt, L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Flach, A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Wikselaar, W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van Leeuwen, G.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Bosma, E.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Kok, W.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Bakker, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Boonzaaijer, G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Simonse, J.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Duijn, W.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van Westreenen, S.;2;0;0;0;0;0;0;0;0;0;0;0;2;0
;;24;van 't Land, J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Noordergraaf, P.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Benschop, J.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Dorst, A.I.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van den Berg, W.;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;29;de Vries, W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Brouwer, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Partij voor de Dieren;;;290;30;24;21;14;20;31;20;14;10;31;52;12;11
;;1;Thieme, M.L.;245;25;22;20;12;16;23;20;11;7;27;40;11;11
;;2;Ouwehand, E.;15;1;0;0;0;1;2;0;1;1;3;6;0;0
;;3;van Raan, L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;Wassenberg, F.P.;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;5;Arissen, F.M.;5;1;0;0;1;0;2;0;0;0;0;0;1;0
;;6;van Esch, E.M.;10;1;0;0;0;1;2;0;2;0;0;4;0;0
;;7;Teunissen, C.;5;0;1;1;0;0;2;0;0;1;0;0;0;0
;;8;van Leeuwen, M.;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;9;Koffeman, N.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Engelen, E.R.;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;11;van Lammeren, J.F.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Akerboom, E.S.;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;13;van Liere, A.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Voorthuizen, G.S.L.;2;0;1;0;0;1;0;0;0;0;0;0;0;0
;;15;van der Wel, M.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van der Veer, L.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Viegen, A.H.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Keller, H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Doorn, M.E.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Plusquin, P.S.M.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van der Velden, R.T.J.;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Smit, I.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Vestering, L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Travaille, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;de Wrede, K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van der Zanden, C.J.M.;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Janssens, T.A.O.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Kosti?, I.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Hazekamp, A.A.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Berendse, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Biesheuvel, J.M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Cruiming, J.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Dumon Tak, M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Engelsman, V.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;de Haas, J.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;van der Heijden, A.F.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Herstel, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van der Steen, M.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Meijer, E.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Mutsaers, C.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Nicolaï, P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Postma, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Rot, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Rotenstreich, M.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;de Schepper, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Schrijver, J.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Siebelink, J.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;van Veen, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Verbaan, G.C.;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;50;Woesthoff, M.F.F.;1;0;0;0;0;1;0;0;0;0;0;0;0;0
11;50PLUS;;;498;71;43;29;40;41;61;40;43;30;31;31;25;13
;;1;Krol, H.C.M.;397;56;37;23;29;32;49;35;33;25;24;24;20;10
;;2;Sazias, L.;52;7;4;4;4;4;6;3;6;2;3;2;5;2
;;3;van Rooijen, M.J.;5;3;0;0;0;0;0;0;0;1;0;1;0;0
;;4;van Brenk, C.M.;5;1;0;0;0;2;1;1;0;0;0;0;0;0
;;5;van Otterloo, G.J.P.;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;6;Geleijnse, S.;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;7;Bode, E.M.;5;0;0;0;0;0;0;0;1;0;0;4;0;0
;;8;Schrover, W.A.A.;11;0;1;0;3;0;5;1;0;1;0;0;0;0
;;9;Koopman, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;de Brouwer, R.B.P.;8;0;0;0;2;0;0;0;1;0;4;0;0;1
;;11;Wiersma, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Bergen, P.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van Veeren, P.;2;1;0;1;0;0;0;0;0;0;0;0;0;0
;;14;Willemse, W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Fonhof, G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Kroonstuiver, N.L.D.;2;0;0;1;0;1;0;0;0;0;0;0;0;0
;;17;Verboom, H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van de Griendt, M.W.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Overveld, W.A.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Hamersma, K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Siepel, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Kerkhof, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Hernández Martínez, A.;3;3;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Jansen, W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Heere, T.J.M.;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;26;Haasnoot, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Orsouw, J.H.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Molenaar, R.;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;29;Haije, A.F.;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;30;Spooren, A.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;de Meij, O.A.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Wanrooij, A.C.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Brouwers, J.F.X.M.;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;34;van Hulst, J.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Gralike, R.B.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Bergwerf, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Hilte, M.S.;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;38;Pastoor, H.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Verhoeven, W.J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;de Vries, D.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Gertsen, J.W.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Meijer, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;van Zanten, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;ten Cate, H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Rose, F.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Lamberts, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;de Vries, A.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;van de Wal, H.J.C.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Hoek, W.M.M.;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;50;Struijlaard, J.W.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;OndernemersPartij;;;18;2;4;1;3;0;3;1;0;2;2;0;0;0
;;1;Brinkman, H.;15;2;3;1;3;0;3;0;0;1;2;0;0;0
;;2;Gaasbeek, M.;2;0;1;0;0;0;0;1;0;0;0;0;0;0
;;3;de Vries, J.L.G.;1;0;0;0;0;0;0;0;0;1;0;0;0;0
