"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Geldrop-Mierlo"
"Nummer";"";"1771"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Gemeentehuis Geldrop";"Basisschool de Dommeldal";"Nutsbasisschool Beneden Beekloop";"Basisschool St. Jozef";"Gemeenschapshuis Zesgehuchten";"Basisschool de Ganzebloem";"Basisschool de Ganzebloem";"Zorgcentrum Akert";"Wijkcentrum de Dreef";"Nutsbas.sch. de Regenboog";"Maison St. Cyr";"Strabrecht College";"DvO St.Jozefplein";"DvO Kettingstraat";"Bas.school 't Vijfblad";"Korein Kinderplein Wersakker";"Bibliotheek Mierlo";"Jongerencentrum 't Loesje";"Bas.school St.Lucia";"Gemeenschapshuis 't Patronaat"
"";"";"56";"Menenti, L.M.E.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"57";"van de Burgt, R.H.M.";"62";"5";"1";"5";"2";"5";"7";"2";"4";"3";"5";"0";"2";"1";"3";"3";"4";"5";"3";"2";"0"
"";"";"58";"Repetur, M.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"59";"Akrouh, S.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"60";"Engbers, A.H.M.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"61";"Ronnes, T.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"62";"Wijntuin, P.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"63";"Brouwers, L.W.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"64";"van Zantvoort, A.H.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"65";"Cohen, F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"66";"Dankert, A.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"67";"Bouteibi, H.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"68";"Voigt, I.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"69";"Schuurman Hess, J.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"70";"Klomp, B.C.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"71";"Keizer, H.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"72";"Houben, T.A.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"73";"van 't Zelfde, E.R.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"74";"Doevendans, S.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"75";"de Haan, F.G.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"76";"Depla, F.J.A.G.";"5";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"";"";"77";"Gounou, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"78";"Overmans, G.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"79";"Smeulders, S.J.A.H.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"";"";"80";"Weyers, J.A.W.P.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3";"PVV (Partij voor de Vrijheid)";"";"";"3703";"190";"92";"125";"129";"124";"91";"129";"258";"291";"150";"206";"162";"292";"286";"280";"124";"217";"246";"151";"160"
"";"";"1";"Wilders, G.";"3446";"189";"83";"116";"117";"111";"84";"118";"243";"279";"136";"188";"150";"275";"270";"255";"117";"203";"229";"135";"148"
"";"";"2";"Agema, M.";"150";"0";"7";"9";"9";"7";"3";"7";"9";"6";"11";"6";"8";"11";"8";"18";"3";"8";"7";"5";"8"
"";"";"3";"Maeijer, V.";"14";"1";"0";"0";"0";"3";"0";"2";"0";"1";"0";"1";"0";"0";"3";"1";"1";"0";"1";"0";"0"
"";"";"4";"Markuszower, G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"5";"Fritsma, S.R.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"6";"Bosma, M.";"13";"0";"1";"0";"1";"0";"0";"0";"2";"1";"0";"1";"1";"0";"0";"0";"2";"1";"1";"0";"2"
"";"";"7";"Madlener, B.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"van Dijck, A.P.C.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Helder, L.M.J.S.";"9";"0";"0";"0";"1";"0";"0";"0";"1";"2";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1"
"";"";"10";"Beertema, H.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"de Graaf, M.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Graus, D.J.G.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"";"";"13";"de Roon, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"van Weerdenburg, V.D.D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"";"";"15";"Mulder, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Gerbrands, K.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"";"";"17";"de Jong, L.W.E.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"";"";"18";"Popken, G.J.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"Kops, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"van Aalst, R.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"van Dijk, E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Housmans, R.W.P.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Jansen, C.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"de Vree, J.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Aardema, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"van Dijk, A.J.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"de Winter, D.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"";"";"28";"Bezaan, I.A.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Kardol, J.C.";"38";"0";"1";"0";"0";"2";"3";"1";"2";"0";"0";"4";"2";"3";"3";"4";"1";"1";"6";"5";"0"
"";"";"30";"Vlottes, E.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"de Jong, R.G.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"van Pijkeren, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Rijken, J.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"IJssennagger, H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"35";"van Deún, H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"Vermeer, T.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Buitelaar, O.S.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Dulfer, T.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Boon, M.C.H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"40";"Braam, E.G.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Ludriks, M.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"Choenni, N.A.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"Roks, L.A.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"Thiadens, F.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Hees, E.P.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Kooman, C.V.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"van der Sluijs, D.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"van Hattem, A.W.J.A.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0"
"";"";"49";"Stuger, O.F.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"";"";"50";"van Strien, G.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"4";"SP (Socialistische Partij)";"";"";"3240";"192";"105";"158";"128";"125";"99";"132";"196";"237";"162";"168";"99";"193";"176";"201";"106";"225";"221";"141";"176"
"";"";"1";"Roemer, E.G.M.";"2477";"149";"84";"115";"92";"88";"73";"88";"156";"189";"115";"129";"74";"144";"150";"164";"79";"177";"173";"107";"131"
"";"";"2";"Leijten, R.M.";"153";"11";"4";"3";"13";"9";"7";"8";"12";"7";"7";"11";"2";"6";"6";"8";"5";"8";"11";"7";"8"
"";"";"3";"Marijnissen, L.M.C.";"442";"26";"14";"30";"21";"22";"12";"24";"22";"30";"28";"20";"10";"30";"16";"20";"18";"29";"24";"20";"26"
"";"";"4";"van Raak, A.A.G.M.";"10";"0";"0";"0";"1";"0";"0";"2";"1";"0";"2";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0"
"";"";"5";"Karabulut, S.";"16";"1";"0";"3";"0";"0";"1";"2";"1";"1";"1";"0";"3";"0";"0";"2";"0";"0";"0";"1";"0"
"";"";"6";"Beckerman, S.M.";"10";"0";"0";"0";"1";"1";"0";"0";"0";"3";"1";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0"
"";"";"7";"van Nispen, M.";"10";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"1";"1";"0";"0";"1";"1";"1";"0"
"";"";"8";"Kwint, J.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"van Kent, B.";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Laçin, C.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"";"";"11";"Futselaar, F.W.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"12";"Kooiman, C.J.E.";"9";"1";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1"
"";"";"13";"Hijink, H.P.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"van Dijk, J.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"";"";"15";"Smaling, E.M.A.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"16";"Alkaya, M.Ö.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"van Gerven, H.P.J.";"13";"0";"1";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"2";"2";"0";"0";"3"
"";"";"18";"Olders, D.W.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"Heerschop, A.H.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"20";"Meijer, A.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"Maes, S.A.A.";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Meyer, R.P.E.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"van Dijk-van Leeuwen, S.Y.";"10";"0";"0";"1";"0";"1";"2";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"1";"0"
"";"";"24";"de Wit, D.H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Peterse, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"Hoekstra, A.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Boerwinkel, E.M.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Hamerslag, P.H.";"10";"1";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"1";"0";"0";"2";"0";"0";"1";"0";"1"
"";"";"29";"Buskoop, B.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Temmink, N.G.J.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"31";"de Ridder, N.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"van Sluijs, D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Akhiat, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"van Gemert, N.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"Dijk, J.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"de Vos, A.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Bekkering, I.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Staarink, I.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Müller, G.J.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Feenstra, F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Olierook, M.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"ten Heuw, M.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"Helmer-Englebert, R.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"Vliegenthart, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Unen, G.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"van Lunteren, P.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"47";"Raaimakers, J.A.M.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"van der Zanden-van der Weijden, N.";"37";"0";"2";"3";"0";"0";"0";"1";"0";"2";"0";"4";"2";"4";"1";"1";"2";"3";"6";"4";"2"
"";"";"49";"van Rijnsbergen, M.";"4";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
"";"";"50";"Poppe, R.J.L.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"5";"CDA";"";"";"3377";"281";"139";"115";"186";"218";"115";"163";"234";"133";"134";"92";"110";"89";"121";"170";"188";"233";"229";"197";"230"
"";"";"1";"van Haersma Buma, S.";"2336";"201";"84";"83";"124";"158";"75";"109";"150";"91";"93";"70";"73";"61";"90";"121";"129";"158";"161";"141";"164"
"";"";"2";"Keijzer, M.C.G.";"432";"43";"22";"13";"26";"27";"22";"19";"49";"17";"8";"9";"19";"12";"12";"16";"24";"29";"27";"19";"19"
"";"";"3";"Peters, W.P.H.J.";"40";"3";"1";"0";"2";"1";"2";"2";"2";"1";"5";"1";"0";"1";"4";"1";"2";"4";"1";"5";"2"
"";"";"4";"Omtzigt, P.H.";"110";"7";"3";"2";"6";"14";"2";"7";"3";"5";"4";"4";"10";"4";"5";"3";"6";"1";"7";"6";"11"
"";"";"5";"van Toorenburg, M.M.";"129";"8";"7";"5";"6";"0";"3";"6";"6";"8";"7";"4";"1";"4";"5";"22";"7";"5";"11";"5";"9"
"";"";"6";"Knops, R.W.";"8";"0";"1";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1"
"";"";"7";"Heerma, P.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"van der Molen, H.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"9";"Bruins Slot, H.G.J.";"15";"1";"0";"0";"1";"0";"3";"1";"0";"0";"3";"1";"0";"0";"0";"0";"1";"2";"0";"0";"2"
"";"";"10";"Geurts, J.L.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"";"";"11";"Kuik, A.";"11";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"2";"0";"1";"1";"0"
"";"";"12";"van Dam, C.J.L.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Mulder, A.H.";"4";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"14";"Rog, M.R.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Amhaouch, M.";"7";"0";"2";"1";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"van Helvert, M.J.F.";"3";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"17";"Ronnes, H.A.G.";"113";"12";"9";"2";"9";"5";"6";"5";"8";"2";"3";"1";"2";"1";"2";"0";"7";"14";"10";"5";"10"
"";"";"18";"van den Berg-Jansen, J.A.M.J.";"4";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"";"";"19";"Slootweg, E.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"";"";"20";"Geluk-Poortvliet, L.W.D.";"4";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"";"";"21";"Palland, H.M.";"11";"0";"0";"1";"0";"2";"0";"0";"4";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0"
"";"";"22";"de Pater-Postma, W.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Terpstra, J.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"Steenbakkers, S.P.M.F.";"12";"0";"4";"2";"0";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"";"";"25";"van den Anker, G.P.";"3";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"Heijnen, V.L.W.A.";"11";"1";"1";"0";"2";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2"
"";"";"27";"den Bak, S.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Schotman, C.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Erkel, P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Zwinkels, C.C.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"Hanemaaijer, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"Hutten, G.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Kip, M.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"van Mierlo, E.J.F.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
