contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Rosmalens Belang,VVD,CDA,RAADSGROEPERING '' BOSCH BELANG '',SP (Socialistische Partij),Bossche Volks Partij,Partij van de Arbeid (P.v.d.A.),GROENLINKS,De Bossche Groenen,50PLUS,"""Leefbaar 's-Hertogenbosch""  Paul Kagie",Lokaal Liberaal 's-Hertogenbosch,Buitengewoon Ongewoon,PVV (Partij voor de Vrijheid),KNILLIS,gewoon ge-DREVEN
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Koning Willem 1 College / Vlijmenseweg,0796::SB412,,1314,734,2,0,0,0,0,690,46,0,0,0,0,0,736,161,11,158,57,53,34,15,30,93,41,12,27,7,2,11,18,4
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau BBS Haren-Donk-Reit,0796::SB540,,1313,554,5,5,0,0,0,518,46,0,0,0,0,0,564,41,10,36,23,39,93,77,29,48,33,23,27,4,4,56,9,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Verzorgingshuis Noorderkroon,0796::SB541,,1021,461,5,0,0,0,0,433,33,0,0,0,0,0,466,36,5,23,40,57,55,69,30,32,18,33,21,2,2,19,12,7
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Connect Centrum 's-Hertogenbosch,0796::SB560,,1311,520,4,3,0,0,0,488,39,0,0,0,0,0,527,48,3,55,32,34,46,69,41,61,32,22,36,5,0,14,20,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Verzorgingshuis De Hooghe Clock,0796::SB561,,1021,698,4,1,0,0,0,663,41,0,0,1,0,0,704,90,5,75,77,50,74,65,48,60,33,34,42,8,2,23,10,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Brede Bossche School De Hambaken,0796::SB590,,1311,460,9,6,0,0,0,424,51,0,0,0,0,0,475,46,1,29,17,20,45,47,98,56,20,20,17,3,1,34,5,1
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Dagcentrum Eygenweg,0796::SB591,,1271,411,1,0,0,0,0,375,37,0,0,0,0,0,412,42,3,44,15,22,41,42,36,33,28,32,31,7,3,24,8,0
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Kindcentrum Sterrenbosch,0796::SB620,,949,417,0,2,0,0,0,372,47,0,0,0,0,0,419,41,0,52,27,28,54,44,38,39,12,22,18,4,1,20,14,3
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Tijdelijke Unit Maaspoort,0796::SB621,,1333,1187,4,9,0,0,0,1105,95,0,0,0,0,0,1200,120,19,152,87,108,142,127,71,84,44,57,63,15,8,64,22,4
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Basisschool 't Schrijverke,0796::SB671,,1338,666,6,1,0,0,0,607,66,0,0,0,0,0,673,91,6,134,50,43,41,25,59,49,29,24,69,7,3,24,8,4
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Basisschool De Hoogakker,0796::SB702,,988,386,2,1,0,0,0,358,32,0,0,1,0,0,390,18,158,37,42,5,37,14,11,11,6,3,4,13,1,8,1,17
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Gemeenschapshuis De Meent,0796::SB703,,1147,846,5,2,0,0,0,765,88,0,0,0,0,0,853,28,348,65,148,19,51,20,24,19,19,23,6,33,0,21,3,19
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Martinushuis,0796::SB704,,1416,606,2,2,0,0,0,525,88,0,0,3,0,3,613,35,245,41,118,4,49,11,5,10,7,11,6,12,2,23,4,23
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Gemeenschapshuis 't Zijl,0796::SB705,,2082,1030,0,2,0,0,0,899,133,0,0,0,0,0,1032,117,196,95,282,7,53,29,17,22,8,74,15,1,1,44,0,69
