contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),GROENLINKS,Partij voor de Dieren,CDA,Partij van de Ouderen (P.v.d.O.),DENK,Platform Amsterdam,destemvandestraat,Piratenpartij Amsterdam,Staatkundig Gereformeerde Partij (SGP),Forum voor Democratie,U-Buntu Connected Front UCF,Basisinkomen Partij (BIpartij),"blanco (van Oudenallen, H.F.M.)",Partij voor Iedereen,ChristenUnie,Amsterdam BIJ1,SAMEN Alle Mensen Één Nederland (SAMEN),Anti-Scooter Partij,Blije Burgers,Carryonthemove,QUEER,50PLUS,De Republikeinse Politieke Partij,28
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Basisschool De Dapper,0363::SB86,,937,493,5,4,0,0,0,462,44,0,0,4,4,0,506,68,50,30,56,92,36,7,10,69,2,5,5,3,25,4,0,2,0,4,18,0,2,1,0,0,4,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Verenigingsgebouw Batavia,0363::SB87,,1037,469,5,7,0,0,0,439,42,0,0,0,0,0,481,47,48,21,49,91,28,9,10,105,1,0,8,1,12,2,0,0,0,9,17,8,0,0,0,0,3,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Havo De Hof,0363::SB88,,873,344,2,2,0,0,0,329,19,0,0,0,0,0,348,65,33,31,22,85,30,3,4,18,0,0,6,0,17,0,2,0,0,2,22,0,2,0,0,2,0,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Verenigingsgebouw Batavia,0363::SB89,,1079,485,3,14,0,3,0,444,61,0,0,3,0,0,505,53,48,19,49,111,28,6,4,106,1,2,5,0,8,3,2,1,0,12,17,6,0,0,0,0,3,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Flevoparkschool,0363::SB90,,1436,684,3,10,0,4,0,622,79,0,0,4,0,0,701,110,57,49,51,160,40,9,6,134,3,2,6,0,14,6,2,0,0,7,17,1,1,2,0,1,6,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Kompaszaal,0363::SB91,,1065,616,1,1,0,0,0,564,57,3,0,3,0,0,621,101,86,78,44,163,40,24,10,2,0,0,7,1,37,0,0,0,0,10,9,0,1,0,0,1,1,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau OBS De Kleine Kapitein,0363::SB92,,1246,915,3,1,0,0,0,868,51,0,0,0,0,0,919,147,134,130,62,246,57,31,16,2,0,2,8,0,47,2,3,0,1,6,9,0,1,0,0,1,10,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Int.Instituut voor Sociale Geschiedenis(IISG),0363::SB93,,1053,598,7,3,0,5,0,559,54,0,0,5,0,0,613,65,75,52,55,172,44,12,8,30,1,2,17,2,23,0,1,0,0,9,14,0,2,7,0,0,4,2,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau De Nieuwe KHL,0363::SB94,,1089,1195,6,3,0,2,0,1109,97,0,0,2,0,0,1206,210,145,151,111,284,90,30,10,22,0,2,23,1,62,0,1,1,0,13,20,7,3,0,0,0,9,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Kompaszaal,0363::SB95,,1045,642,4,5,3,0,0,601,47,0,3,0,0,0,648,95,95,96,30,163,52,17,6,8,1,0,10,1,40,1,1,0,0,6,10,0,4,5,0,0,0,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Gymzaal 8e montessorischool Zeeburg,0363::SB96,,939,509,0,0,0,0,0,472,35,0,2,0,0,0,507,77,69,51,42,134,36,12,2,31,0,1,11,0,21,1,1,0,1,9,9,0,0,0,1,0,0,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Basisschool De Toekomst,0363::SB97,,1127,325,5,1,0,1,0,305,27,0,0,1,0,0,332,49,29,20,23,79,19,4,2,55,0,2,1,2,11,6,1,0,0,6,15,0,0,0,1,0,0,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Eetcafé Oceaan,0363::SB98,,1004,794,0,3,0,4,0,751,50,0,0,4,0,0,801,177,109,86,25,212,69,26,10,5,1,2,9,2,38,0,0,0,0,8,7,2,5,0,0,0,1,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Int.Instituut voor Sociale Geschiedenis(IISG),0363::SB99,,1063,634,2,5,0,0,0,605,36,0,0,0,0,0,641,91,88,36,54,176,56,17,8,22,0,0,6,2,29,2,0,0,0,14,19,0,1,5,0,0,8,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau De Eester,0363::SB100,,837,665,2,1,0,6,0,606,56,0,6,0,0,0,662,95,79,59,59,198,43,5,10,26,0,4,10,1,30,3,2,1,0,9,24,2,0,0,0,0,2,0,3
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau De Meevaart,0363::SB101,,1160,805,8,9,0,0,0,766,56,0,0,0,0,0,822,144,86,52,68,247,59,4,2,70,4,1,8,0,20,2,1,3,0,11,14,0,0,5,0,1,2,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Gymzaal 8e montessorischool Zeeburg,0363::SB102,,969,466,0,2,0,0,0,424,49,5,0,5,0,0,473,80,51,50,30,145,28,10,3,19,1,0,6,2,18,1,0,1,0,3,10,0,2,2,0,0,4,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Basisschool de Waaier,0363::SB103,,1387,597,9,10,0,4,0,534,87,1,0,5,0,0,621,69,61,29,58,126,34,6,9,136,2,1,9,0,21,2,1,0,5,4,14,3,0,3,0,1,3,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Stayokay Amsterdam Zeeburg,0363::SB104,,1310,731,6,6,1,0,0,690,52,0,1,0,0,0,742,130,67,61,48,238,52,12,5,43,0,2,3,1,20,4,2,0,3,8,20,1,4,1,0,1,5,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Basisschool de Waaier,0363::SB105,,1379,577,6,7,0,0,0,531,59,0,0,0,0,0,590,65,49,24,42,142,30,8,7,129,3,2,10,1,13,4,0,0,1,10,26,4,1,0,0,0,6,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Stayokay Amsterdam Zeeburg,0363::SB106,,1352,655,3,2,0,0,0,619,40,0,1,0,1,0,659,121,57,57,30,208,56,10,6,44,0,0,13,0,18,4,4,0,0,4,15,0,2,1,0,0,3,0,2
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau J.P. Coenschool,0363::SB107,,1230,839,9,8,0,0,0,777,80,0,0,1,0,0,857,166,56,75,68,245,48,7,7,103,2,1,9,0,10,1,6,2,1,12,13,0,2,2,0,0,2,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Flexbieb,0363::SB108,,1673,901,2,6,0,0,0,836,72,0,1,0,1,0,908,154,109,94,42,171,73,69,14,50,0,1,10,0,66,1,1,0,0,12,21,1,2,0,1,0,8,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau De Binnenwaai,0363::SB109,,1418,534,5,5,0,0,0,519,26,1,0,1,0,0,545,89,50,59,16,86,31,36,12,45,2,1,2,5,39,3,1,0,0,31,13,4,2,0,0,0,6,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Basisschool De Archipel,0363::SB110,,1020,391,2,4,0,0,0,361,36,0,0,0,0,0,397,71,35,50,22,69,21,19,1,46,0,1,6,0,22,1,0,0,0,14,6,0,1,0,1,1,4,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau OBA IJburg,0363::SB111,,1629,884,4,5,0,1,0,805,90,1,0,2,0,0,895,182,103,98,39,161,61,53,12,61,1,0,11,3,48,0,1,0,0,22,17,1,0,0,0,0,10,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Montessorischool Steigereiland,0363::SB112,,996,628,1,5,1,0,0,577,58,0,0,1,0,0,635,132,70,85,25,115,42,39,7,33,1,0,9,1,32,0,5,1,0,14,10,0,2,1,0,0,4,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau abbs De Zuiderzee,0363::SB113,,1127,538,4,0,0,0,0,508,34,0,0,0,0,0,542,107,47,69,23,97,28,42,9,24,5,2,9,3,30,3,0,0,1,8,12,8,0,0,1,0,9,1,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Café Kanis en Meiland,0363::SB114,,1234,892,4,4,0,1,0,847,56,1,0,3,0,1,903,117,136,76,80,257,89,12,20,8,1,1,18,0,35,0,2,0,0,9,19,1,2,0,0,1,7,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau IJburg College,0363::SB115,,914,550,4,3,0,0,0,465,94,2,0,2,0,0,559,100,51,107,37,76,32,32,10,38,0,0,4,2,31,2,2,1,0,7,13,0,2,0,0,0,3,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau IJburg College,0363::SB116,,914,633,6,8,0,1,0,592,56,0,0,1,0,0,648,104,56,77,39,111,35,35,8,65,0,2,14,4,39,6,1,0,0,16,13,0,0,2,0,0,6,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau MKC Zeeburgereiland,0363::SB117,,1156,645,2,4,0,0,0,619,32,0,0,0,0,0,651,128,59,92,28,175,43,19,4,17,0,2,12,1,31,1,1,1,0,6,22,0,0,0,0,0,2,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Katholieke Basisschool Willibrord,0363::SB118,,1728,1170,3,1,0,1,0,1074,99,0,1,0,0,0,1173,251,132,285,29,165,76,114,11,11,2,0,6,1,57,2,0,0,0,8,10,2,2,0,1,0,4,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau IJburg College 2,0363::SB119,,1352,327,1,2,0,0,0,317,13,0,0,0,0,0,330,58,25,21,14,123,33,0,1,5,0,1,13,0,10,0,4,0,0,7,9,0,2,0,0,0,0,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,"Stembureau Frankendael, locatie Hogeweg",0363::SB120,,1165,1069,0,2,0,2,0,970,99,0,2,0,0,0,1069,236,139,135,87,270,80,20,4,5,2,5,8,1,30,0,3,0,1,16,13,1,3,2,0,0,7,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Montessorischool Steigereiland,0363::SB121,,1011,530,2,1,1,0,0,489,45,0,0,1,0,0,534,100,56,66,21,119,33,42,4,24,1,1,4,0,31,1,3,1,0,8,10,0,1,3,0,0,1,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Basisschool De Dapper,0363::SB122,,942,434,5,5,2,0,0,403,39,0,2,0,0,0,442,43,39,21,39,81,29,10,7,109,2,1,3,1,18,4,3,0,0,6,9,4,0,1,0,0,3,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Sportvereniging Real Sranang,0363::SB123,,870,226,1,0,0,0,0,208,19,0,0,0,0,0,227,47,28,17,14,63,20,3,0,1,0,0,0,0,20,1,1,0,1,3,4,0,2,0,0,0,1,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Ouder en Kindcentrum Pontanusstraat,0363::SB124,,882,540,1,5,0,0,0,496,50,0,0,0,0,0,546,88,66,43,42,159,35,11,5,27,0,0,8,0,30,1,2,0,0,9,10,1,1,0,0,0,2,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau OBS Aldoende,0363::SB125,,931,687,3,5,0,0,0,648,47,0,0,0,0,0,695,117,62,40,63,222,52,7,2,33,1,0,15,0,18,4,2,0,1,7,29,3,1,1,1,2,4,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau HVA - Locatie Wibauthuis,0363::SB126,,1221,1015,3,6,0,0,0,945,79,0,0,0,0,0,1024,225,86,107,53,276,84,18,7,43,2,4,14,1,45,0,1,0,1,18,21,2,2,1,0,0,3,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Cygnus Gymnasium,0363::SB127,,1329,663,7,3,0,1,0,603,69,0,1,0,0,0,672,130,46,64,52,174,54,11,4,46,1,2,11,1,22,1,2,0,0,3,23,4,3,4,0,0,3,0,2
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Ouderencentrum De Gooyer,0363::SB128,,1134,801,10,10,0,2,0,764,59,0,0,2,0,0,823,120,112,43,82,166,58,8,18,82,7,4,5,0,41,3,1,0,0,12,18,5,2,0,0,2,12,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Woonzorgcentrum Kastanjehof,0363::SB129,,1162,690,4,7,0,1,0,649,53,0,0,1,0,0,702,122,70,77,55,167,57,20,8,39,3,1,12,1,31,0,1,0,0,9,11,1,1,1,0,0,2,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Sportzaal J.F. van Hengelstraat,0363::SB130,,1149,797,1,0,0,3,0,731,70,0,0,3,0,0,801,177,116,81,45,223,51,29,5,1,1,0,12,0,34,0,4,0,0,5,5,0,2,0,0,0,4,0,2
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Openbare Basisschool De Kaap,0363::SB131,,1353,628,5,6,0,0,0,547,69,0,23,0,0,0,616,91,43,33,48,160,31,4,11,148,5,2,2,0,15,5,2,0,0,7,15,0,2,1,0,2,1,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Cygnus Gymnasium,0363::SB132,,1273,588,1,5,0,0,0,548,46,0,0,0,0,0,594,112,38,67,48,164,28,8,6,40,2,1,11,2,21,1,3,0,1,8,20,0,1,0,0,1,4,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Gymzaal kinderopvang SKW (Villa Bons),0363::SB133,,1101,643,3,2,0,0,0,629,19,0,0,0,0,0,648,117,84,63,37,186,41,35,9,4,0,0,9,0,23,0,2,0,0,19,8,1,1,0,0,1,3,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Buurtcentrum Kraaipan,0363::SB134,,1346,550,2,10,0,0,0,490,72,0,0,0,0,0,562,88,56,39,43,133,34,12,3,75,4,0,12,0,15,3,2,0,1,11,10,1,2,0,0,0,5,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Montessori College Oost,0363::SB135,,955,448,1,6,0,1,0,413,43,0,0,1,0,0,456,79,54,38,31,120,46,4,7,27,0,0,10,0,4,1,0,0,0,8,8,1,3,0,0,0,6,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau De Kids van Amsterdam Oost,0363::SB136,,982,342,5,1,0,0,0,330,16,0,2,0,2,0,346,58,36,30,30,98,18,8,4,14,4,1,6,0,8,1,1,0,0,3,16,4,0,0,0,0,1,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau De Amsterdamse Mavo,0363::SB138,,1190,726,1,1,0,2,0,650,80,0,0,2,0,0,730,156,116,57,63,189,51,18,6,8,1,0,12,0,21,0,0,0,0,3,11,0,3,0,0,1,7,0,3
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Sporthal Wethouder Verheij,0363::SB140,,1075,752,7,3,0,3,0,700,59,0,3,0,0,0,759,145,102,76,52,190,48,17,9,33,1,3,9,0,28,0,0,0,0,6,14,4,6,0,0,1,8,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Servicepunt Het Brinkhuis,0363::SB141,,1357,608,4,5,0,0,0,583,34,0,0,0,0,0,617,45,58,38,97,133,54,19,44,20,1,1,8,1,46,1,3,0,1,7,9,0,1,0,1,0,19,1,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Servicepunt Het Brinkhuis,0363::SB142,,1337,651,4,3,0,0,0,616,42,0,0,0,0,0,658,59,90,41,109,102,71,2,33,27,0,0,12,0,56,0,1,0,1,8,11,1,1,4,0,1,19,1,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Barbaraschool,0363::SB143,,1155,635,2,4,0,5,0,594,52,0,0,5,0,0,646,115,77,37,41,177,54,5,4,44,0,2,10,1,16,3,1,0,0,12,25,2,2,0,0,1,4,1,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Café restaurant Polder,0363::SB144,,1070,744,3,7,0,0,0,715,39,0,0,0,0,0,754,152,69,68,19,289,45,13,4,7,2,1,12,0,22,0,4,2,1,6,22,1,1,0,0,1,3,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Huize Frankendael,0363::SB145,,1174,1085,3,3,0,1,0,998,97,2,0,3,0,0,1095,201,138,139,62,304,80,38,14,1,0,3,13,0,44,1,3,0,2,16,7,1,5,0,1,1,10,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Gymzaal kinderopvang SKW (Villa Bons),0363::SB146,,1092,664,4,4,0,1,0,604,69,0,0,1,0,0,673,109,87,68,56,193,48,25,15,3,0,0,3,0,35,0,2,0,0,6,2,1,2,0,0,1,7,1,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Eetcafé Oerknal,0363::SB147,,1155,775,5,2,0,1,0,738,43,0,1,0,0,0,781,176,59,47,17,317,61,10,3,5,1,2,19,0,19,1,2,0,0,5,21,0,5,0,1,3,0,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Koningskerk,0363::SB148,,890,407,4,3,0,0,0,385,29,0,0,0,0,0,414,50,47,39,37,67,48,23,23,15,1,2,6,4,21,2,1,0,0,7,4,1,2,0,0,0,5,0,2
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau SBO het Spectrum,0363::SB149,,887,482,3,3,3,0,0,449,33,0,6,0,3,0,482,101,47,54,31,121,32,12,6,24,1,1,6,1,22,0,1,0,1,6,7,2,1,0,0,0,4,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Biko,0363::SB150,,1305,912,2,5,0,2,0,833,84,0,2,0,0,0,917,173,57,83,61,236,55,13,10,132,2,3,5,1,29,8,0,1,0,7,22,2,3,0,0,0,7,0,2
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,"Stembureau Frankendael, locatie Von Liebigweg",0363::SB151,,1426,717,4,2,0,0,0,670,55,0,0,2,0,0,725,91,83,39,94,128,59,24,32,28,1,6,7,0,59,4,0,1,0,14,17,2,4,1,0,0,23,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Tugelahuis,0363::SB152,,1187,506,2,4,0,0,0,451,61,0,0,0,0,0,512,94,50,25,35,110,31,3,1,104,2,3,4,0,6,4,3,0,0,5,16,5,1,1,0,0,0,0,3
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Buurtcentrum Oosterpark,0363::SB153,,1110,474,2,5,0,0,0,429,54,2,0,2,0,0,483,79,60,50,37,108,37,11,2,36,1,0,2,1,25,0,0,0,2,6,15,0,0,0,0,0,1,1,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Scouting Oost 1,0363::SB154,,934,599,2,1,0,0,0,571,32,1,0,1,0,0,603,102,86,48,56,142,54,20,19,3,1,0,12,0,30,0,1,0,0,8,9,0,2,0,0,0,6,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau SBO het Spectrum,0363::SB155,,912,485,2,1,3,0,0,448,37,0,3,0,0,0,485,100,48,55,23,134,25,13,2,15,0,0,7,0,27,0,3,0,0,7,12,4,1,0,0,0,7,0,2
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau ZGAO De Open Hof,0363::SB156,,1367,822,15,5,5,0,0,798,49,0,0,5,0,0,847,111,92,87,93,179,62,39,30,12,0,2,12,1,47,0,1,0,0,18,15,4,2,0,0,1,13,1,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Koningskerk,0363::SB157,,790,422,3,6,0,1,0,411,21,0,0,1,0,0,432,51,52,39,44,57,37,47,14,13,1,2,4,0,26,0,1,0,0,7,6,2,1,3,1,0,14,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,"Stembureau Hogeschool van Amsterdam, Leeuwenburg",0363::SB158,,514,546,0,4,0,4,0,503,43,0,4,0,0,0,546,109,56,92,11,114,47,13,7,29,4,2,11,0,30,0,0,0,0,7,6,0,3,0,0,0,5,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,"Stembureau Hogeschool van Amsterdam, Leeuwenburg",0363::SB159,,517,542,2,3,0,1,0,518,30,0,0,1,0,0,548,138,48,75,25,113,35,23,3,21,0,1,11,1,32,1,1,0,0,5,4,0,1,1,0,2,1,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Waternet,0363::SB160,,1661,994,1,5,0,1,0,832,167,0,1,0,0,0,999,246,87,160,30,272,55,22,7,5,1,2,14,1,58,0,2,0,0,16,9,0,3,1,0,1,2,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Weesper,0363::SB161,,1106,833,2,5,0,2,0,779,63,0,0,2,0,0,842,210,67,132,39,207,69,21,7,6,0,2,8,1,29,0,0,0,0,10,13,0,6,1,0,0,3,0,2
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Grand Cafe Frankendael,0363::SB162,,1106,904,3,5,0,0,0,851,61,0,0,0,0,0,912,181,133,93,27,236,60,27,20,12,0,1,13,1,59,0,1,0,0,7,10,2,6,0,0,0,15,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau OLVG locatie Oost,0363::SB163,,996,1147,9,11,0,5,0,1048,114,0,5,0,0,0,1162,211,130,111,95,254,77,29,16,76,4,2,14,0,48,7,1,1,0,16,32,5,2,0,2,1,11,1,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Oosterparkkerk,0363::SB164,,1047,592,5,2,0,1,0,552,48,0,0,1,0,0,600,85,60,44,62,180,59,7,6,17,0,1,15,2,18,2,2,1,0,7,19,2,0,0,0,1,2,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Muiderkerk,0363::SB166,,1111,938,7,8,0,1,0,866,84,0,3,0,2,0,950,195,85,85,58,292,84,18,2,20,2,0,17,1,37,1,3,0,0,12,14,5,2,3,0,0,1,0,1
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau BOOST Transvaal,0363::SB167,,835,537,5,3,0,0,0,507,38,0,0,0,0,0,545,86,47,39,43,159,38,12,4,58,0,1,11,0,8,1,0,0,1,8,14,2,2,1,0,1,1,0,0
,Amsterdam,GR2018_Amsterdam,Gemeenteraad Amsterdam 2018,0363,Amsterdam,2018-03-21,Stembureau Café De Keet,0363::SB168,,1493,465,3,0,0,0,0,444,24,0,0,0,0,0,468,80,30,45,18,178,45,7,1,6,0,1,12,0,19,0,0,1,1,6,11,2,0,1,0,0,0,0,1
