contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),Haagse Stadspartij,VVD,CDA,Groep de Mos / Hart voor Den Haag,SP (Socialistische Partij),GROENLINKS,Islam Democraten,Partij van de Eenheid,ChristenUnie-SGP,Partij voor de Dieren,14,50PLUS,NIDA,Dynamo Den Haag,Bond voor Studenten Actie,Haagse Toekomst,Samen070
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau SBO De Bonte Vlinder,0518::SB304,2565 XD,1950,1029,2,1,0,1,0,932,99,0,1,0,0,0,1031,177,23,60,134,111,39,153,29,170,2,2,20,76,5,15,1,4,3,4,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Wijkcentrum Eltheto,0518::SB305,2565 CE,2309,961,3,1,0,1,0,881,83,0,1,0,0,0,964,112,33,61,87,131,34,209,31,117,2,3,41,63,2,18,7,2,3,2,3
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Partycentrum Het Drieluik,0518::SB306,2562 VG,1802,641,4,7,0,1,0,588,65,0,0,1,0,0,653,90,17,36,69,36,22,60,23,141,24,9,11,54,0,10,20,2,0,5,12
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau OBS De Zonnebloem,0518::SB307,2565 RE,1003,893,1,1,0,0,0,817,78,0,0,0,0,0,895,123,15,52,83,185,40,152,22,123,0,0,11,66,1,14,0,3,1,1,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Wijkcentrum De Hyacint,0518::SB308,2565 DD,2051,1322,6,2,0,18,0,1236,112,0,0,18,0,0,1348,136,51,83,110,158,79,268,34,178,3,2,59,109,2,38,0,6,1,4,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Christelijk College De Populier,0518::SB310,2565 MK,1913,1351,5,3,0,2,0,1254,103,0,2,0,0,0,1357,190,39,79,150,174,69,207,38,213,3,3,38,108,1,33,0,3,1,0,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau OBS Houtrust,0518::SB311,2566 JP,1219,860,3,4,0,0,0,775,92,0,0,0,0,0,867,144,19,50,78,211,33,109,19,87,1,0,25,62,0,14,1,5,0,1,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Huize Eykenburg,0518::SB314,2564 VD,2031,918,5,4,0,0,0,847,80,0,0,0,0,0,927,103,34,58,82,134,79,153,26,112,6,0,34,60,1,16,3,9,3,5,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Florence Woonzorgcentrum Uitzicht,0518::SB316,2565 RW,640,506,0,1,0,2,0,454,55,0,0,2,0,0,509,69,7,26,46,111,51,85,4,36,0,1,23,27,1,15,0,2,0,2,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Sporthal Loosduinen,0518::SB317,2555 LZ,765,376,0,1,0,0,0,341,36,0,0,0,0,0,377,35,16,27,20,57,17,100,10,33,1,0,16,26,3,13,0,0,1,1,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau RKBS De Parkiet,0518::SB318,2566 XT,642,449,0,0,0,1,0,405,45,0,0,1,0,0,450,85,15,23,30,116,42,43,3,42,1,0,15,18,1,9,0,1,0,3,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau CBS De Elout,0518::SB322,2561 VT,2904,819,4,3,0,0,0,755,71,0,0,0,0,0,826,130,18,57,89,83,31,76,35,188,6,1,15,47,0,16,10,4,1,5,7
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau CBS De Vliermeent,0518::SB323,2564 HT,1690,1046,1,2,0,0,0,945,104,0,0,0,0,0,1049,142,33,56,91,136,53,199,16,173,3,0,33,75,1,15,6,5,2,4,3
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Florence Woonzorgcentrum Jonker Frans,0518::SB325,2562 JZ,2416,1113,6,10,0,10,0,967,172,0,0,10,0,0,1139,122,40,95,79,64,140,134,28,148,35,30,41,69,0,14,44,4,1,4,21
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Stichting Federatie Eekta,0518::SB326,2563 EK,1533,485,3,0,0,1,0,443,46,0,0,1,0,0,489,56,17,37,47,26,28,67,16,75,4,1,16,36,2,8,29,1,0,2,17
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Bibliotheek Segbroek,0518::SB327,2562 HL,2131,1419,4,20,0,22,0,1316,149,0,0,22,0,0,1465,193,46,106,140,98,55,138,42,301,34,11,31,126,0,21,45,5,4,11,12
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau De Goede Herder Kapel,0518::SB328,2563 GD,2568,722,3,15,0,1,0,680,61,0,0,1,0,0,741,78,54,33,55,57,40,161,31,96,4,0,21,64,1,8,7,6,0,2,4
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,"Stembureau Theater ""Zaal 3""",0518::SB332,2518 RA,1193,813,4,3,0,0,0,743,77,0,0,0,0,0,820,134,19,45,146,64,21,60,27,188,3,0,9,64,2,1,21,4,1,0,4
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Dienstencentrum Copernicus,0518::SB333,2561 TT,2211,1153,3,6,0,0,0,1045,118,0,0,1,0,0,1163,207,25,67,165,133,34,82,27,253,0,2,21,107,0,8,10,3,0,2,7
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau CBS De Elout,0518::SB337,2561 VT,830,935,2,6,0,0,0,849,94,0,0,0,0,0,943,168,31,75,113,94,29,88,25,176,0,2,15,82,0,12,12,3,1,3,6
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Verpleeghuis Het Zamen,0518::SB339,2518 LH,1206,515,1,3,0,0,0,459,60,0,0,0,0,0,519,67,22,52,33,39,51,56,12,73,13,15,9,30,0,15,20,1,0,1,6
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Stichting Wijkberaad Vruchtenbuurt,0518::SB340,2564 VP,2146,1331,1,8,0,0,0,1231,109,0,0,0,0,0,1340,206,49,60,93,243,77,203,24,189,0,2,28,102,5,37,3,4,0,5,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Wijkcentrum 't Lindenkwadrant,0518::SB341,2563 HJ,2041,974,6,13,0,1,0,897,97,0,0,1,0,0,994,120,56,67,104,77,51,143,44,143,8,8,25,65,1,23,19,3,7,5,5
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau O.G. Heldringschool,0518::SB343,2566 VS,763,880,0,2,14,0,0,804,92,0,0,14,0,0,896,155,15,38,51,264,102,93,7,83,0,0,25,28,1,11,1,5,0,0,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Bewonersoverleg Duinoord,0518::SB344,2517 GP,1286,1191,3,4,0,0,0,1075,123,0,0,0,0,0,1198,277,12,66,115,253,28,79,23,205,3,3,18,76,0,19,1,8,0,3,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Verpleeghuis Quintes,0518::SB345,2552 LZ,1251,220,0,1,0,0,0,205,16,0,0,0,0,0,221,16,11,17,18,31,12,54,14,14,0,1,8,13,0,0,2,6,0,3,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Hvv RAS,0518::SB349,2555 XP,1689,721,4,4,0,2,0,667,64,0,0,2,0,0,731,68,48,39,41,77,62,199,31,49,2,1,22,47,2,19,4,2,0,4,4
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Bewonersver. Noordelijk Scheveningen,0518::SB402,2587 HT,1863,1202,7,5,0,1,0,1091,124,0,0,1,0,0,1215,145,59,55,67,217,90,262,29,110,5,0,27,66,11,42,4,1,1,7,4
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Verpleeghuis De Eshoeve,0518::SB403,2587 AZ,773,470,0,1,0,1,0,422,50,0,0,1,0,0,472,96,15,31,14,141,28,43,6,40,0,0,20,23,0,10,0,1,0,1,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Woonzorgcentrum Oldeslo,0518::SB405,2597 KE,746,545,3,1,0,0,0,505,44,0,0,0,0,0,549,70,12,20,32,213,32,52,7,49,0,1,13,27,0,10,0,3,1,3,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Verzorgingshuis Duinrust,0518::SB406,2585 JV,462,315,2,3,0,0,0,291,29,0,0,0,0,0,320,53,7,11,18,107,26,36,3,25,2,0,9,14,0,2,0,0,0,0,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Buurtcentrum Kommunika,0518::SB407,2586 SH,1031,556,4,3,0,1,0,510,54,0,0,1,0,0,564,48,40,33,22,60,29,155,17,48,1,1,31,44,3,15,3,1,1,1,3
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau OBS Het Volle Leven,0518::SB408,2587 BB,1923,550,0,0,0,1,0,498,53,0,0,1,0,0,551,89,22,22,26,85,18,133,9,71,1,0,19,36,2,12,0,3,0,2,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Muzee Scheveningen,0518::SB410,2586 GT,1407,1095,2,13,0,0,0,1007,103,0,0,0,0,0,1110,131,59,52,63,195,70,241,23,115,0,2,35,76,4,21,0,2,1,2,3
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Wijkcentrum Het Kalhuis,0518::SB412,2584 HH,1968,1102,2,3,0,0,0,1017,91,1,0,1,0,0,1108,109,77,45,63,129,47,319,29,99,5,3,44,86,3,25,9,1,2,1,6
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Woonzorgcentrum Het Uiterjoon,0518::SB415,2583 DG,1798,717,4,5,0,0,0,662,64,0,0,0,0,0,726,53,56,27,13,75,69,254,8,54,0,0,60,29,1,12,3,0,1,1,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau CBS De Meerpaal,0518::SB418,2583 JH,2172,1148,2,3,0,5,0,1019,139,0,0,5,0,0,1158,45,130,26,29,61,36,542,29,78,2,2,106,42,1,14,0,3,0,2,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Wijkcentrum Het Trefpunt,0518::SB419,2583 JH,2476,680,3,1,0,2,0,607,79,0,0,2,0,0,686,20,105,14,16,53,26,321,19,14,2,1,53,24,0,8,1,1,1,0,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Willem de Zwijgerschool,0518::SB420,2587 HZ,1403,892,2,3,0,4,0,816,85,0,0,4,0,0,901,165,11,46,47,263,67,105,10,67,0,1,37,53,4,14,0,1,0,1,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Wijkgebouw Thabor,0518::SB423,2581 BC,2526,965,3,7,0,0,0,857,118,0,0,0,0,0,975,86,38,23,41,120,63,318,13,63,3,0,124,44,1,19,6,0,0,2,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Deutsche Internationale Schule,0518::SB425,2582 LB,1148,687,3,3,0,3,0,626,70,0,0,3,0,0,696,123,7,43,40,155,51,76,11,110,0,0,27,33,0,5,2,3,1,0,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Gemeentemuseum,0518::SB426,2517 HV,826,781,1,4,0,0,0,718,68,0,0,0,0,0,786,131,22,52,80,149,28,56,13,125,2,1,25,76,1,13,3,1,1,1,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau SBO Het Mozaïek,0518::SB427,2582 EC,1210,608,9,2,0,0,0,566,53,0,0,0,0,0,619,102,18,48,40,139,31,82,12,70,0,1,17,26,2,13,0,1,0,5,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Nowmotion psycholoog Den Haag,0518::SB428,2517 HN,723,458,1,1,0,0,0,420,40,0,0,0,0,0,460,76,21,23,32,94,31,57,8,61,1,6,8,24,0,14,0,1,0,0,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau De Oranjeschool,0518::SB430,2583 AA,2261,997,2,5,0,21,0,916,109,0,21,0,0,0,1025,72,42,26,37,152,48,371,9,63,1,0,125,36,0,8,1,0,0,4,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Revalidatie en behandelcentrum Mechropa,0518::SB433,2584 AC,1408,602,0,2,0,0,0,552,52,0,0,0,0,0,604,101,19,34,49,125,38,71,8,85,1,0,24,31,2,10,0,3,0,0,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Woonzorgcentrum Groot Hertoginneduin,0518::SB435,2517 PW,1053,626,1,2,0,0,0,581,48,0,0,0,0,0,629,121,14,53,69,90,15,43,13,128,0,2,22,44,0,7,0,2,0,1,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Bowling Scheveningen,0518::SB436,2586 BZ,1592,807,3,4,0,1,0,749,64,0,1,0,0,0,813,76,38,38,26,212,32,221,13,34,2,2,25,39,10,32,2,1,0,4,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Arubahuis,0518::SB437,2517 JN,861,422,2,2,0,0,0,387,37,0,2,0,2,0,424,88,10,23,40,119,7,30,5,64,1,2,7,15,1,6,0,2,0,0,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau YMCA Scheveningen,0518::SB440,2584 BK,1735,944,2,2,0,1,0,864,85,0,0,1,0,0,949,89,56,17,75,135,47,247,14,108,1,2,45,80,1,15,3,5,0,3,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau De Nieuwe Haven,0518::SB441,2584 TP,1148,498,0,4,0,1,0,468,33,0,1,0,0,0,501,38,21,21,30,49,33,153,14,45,1,1,44,35,1,5,3,3,1,0,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Brasserie Palace,0518::SB443,2586 BZ,1098,268,0,4,0,0,0,249,23,0,0,0,0,0,272,30,22,17,7,56,19,64,6,12,0,0,9,13,0,7,4,1,0,1,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Stadsboerderij 't Waaygat,0518::SB445,2586 TW,562,442,2,3,0,0,0,401,45,0,1,0,1,0,446,55,23,20,41,55,31,92,4,42,2,1,20,36,1,12,1,1,3,2,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Het Couvéehuis,0518::SB447,2582 HJ,1764,943,4,10,0,4,0,870,91,0,0,4,0,0,961,176,23,54,59,230,50,90,20,123,0,4,33,56,1,19,1,1,1,2,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Korfbalvereniging KVS,0518::SB449,2597 LS,878,360,0,3,0,0,0,316,47,0,0,0,0,0,363,59,7,13,14,128,29,37,3,28,0,1,18,12,0,6,0,2,2,1,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Wijk- en dienstencentrum het Klokhuis,0518::SB501,2585 TJ,1244,1021,2,3,0,1,0,909,118,0,0,1,0,0,1027,192,23,57,98,277,60,53,7,122,0,0,20,78,0,20,1,9,4,0,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Sociëteit Engels,0518::SB502,2518 RJ,1329,497,6,2,0,0,0,473,32,0,0,0,0,0,505,70,11,31,64,61,21,51,11,95,0,4,12,35,0,12,9,3,0,5,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Institute of Social Studies,0518::SB505,2518 AX,478,506,4,2,0,0,0,462,50,0,0,0,0,0,512,90,7,34,59,113,25,15,9,95,2,0,10,39,0,4,1,2,1,0,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Café De Vriendenkring,0518::SB506,2518 CM,2356,1124,3,12,0,0,0,1047,90,0,2,0,0,0,1137,221,12,72,162,150,44,72,26,216,7,5,14,97,2,9,4,4,1,5,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Wijk- en dienstencentrum De Heldenhoek,0518::SB507,2513 GV,2427,1438,7,6,0,1,0,1323,129,0,0,1,0,0,1452,208,64,115,187,124,50,138,56,236,22,17,25,110,3,19,45,3,2,4,10
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Cultureel Centrum Vreedehuis,0518::SB508,2585 GP,675,406,1,0,0,0,0,371,36,0,0,0,0,0,407,92,13,27,20,115,10,21,5,44,0,0,10,40,0,7,0,0,0,2,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Woonzorgcentrum Op de Laan,0518::SB509,2517 AS,2837,1297,5,6,0,0,0,1203,105,0,0,0,0,0,1308,218,34,73,188,221,40,102,37,201,6,4,15,106,3,30,2,9,1,5,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Woonzorgcentrum Rivierenbuurt,0518::SB512,2515 TZ,2312,929,6,9,0,9,0,855,98,0,0,9,0,0,953,164,42,93,90,93,34,111,33,118,11,11,28,37,1,19,23,5,4,3,9
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Stadhuis,0518::SB516,2511 BT,610,1394,13,11,0,2,0,1231,185,0,0,2,0,0,1416,212,61,104,86,159,104,129,36,180,30,27,97,73,4,15,41,9,11,6,10
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Stadhuis,0518::SB517,2511 BT,3327,1146,7,25,0,12,0,1027,139,0,12,0,0,0,1166,171,51,84,73,105,107,118,24,168,18,11,72,64,3,13,32,6,7,8,11
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau OBS Zuidwalschool,0518::SB519,2512 XT,1247,540,1,16,0,1,0,448,110,0,0,1,0,0,558,46,18,55,55,38,64,48,13,81,9,10,11,23,0,13,48,2,1,1,4
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Opvoedpoli,0518::SB521,2512 GD,1733,753,3,4,0,0,0,688,72,0,0,0,0,0,760,132,28,50,116,80,13,54,28,114,8,11,9,67,1,12,17,2,4,3,4
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Wijk- en Dienstencentrum De Kronkel,0518::SB522,2512 KD,763,476,2,8,0,0,0,438,48,0,0,0,0,0,486,54,23,44,54,31,24,58,26,52,13,24,7,41,1,8,9,1,0,1,5
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau RKBS St. Carolus,0518::SB523,2512 GW,560,394,4,1,0,1,0,348,50,0,1,0,0,0,398,48,21,25,31,34,15,70,18,59,6,10,5,21,0,5,16,2,0,4,4
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau PEP Den Haag,0518::SB524,2513 AM,568,328,3,3,0,0,0,304,30,0,0,0,0,0,334,59,6,27,41,46,11,25,5,60,3,3,6,25,1,6,1,1,0,2,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Verpleeghuis De Schildershoek,0518::SB527,2515 GK,1529,482,2,4,0,8,0,410,86,0,0,8,0,0,496,34,17,55,18,15,24,37,14,33,70,66,12,8,1,3,62,1,0,1,11
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Sporthal Oranjeplein,0518::SB528,2515 GE,1131,500,5,7,0,0,0,440,72,0,0,0,0,0,512,53,20,38,16,14,27,47,13,37,70,87,22,11,0,2,33,0,0,2,8
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau CBS Koningin Beatrixschool,0518::SB531,2525 TN,2091,942,8,21,0,4,0,714,261,0,0,4,0,0,975,48,29,65,12,33,127,99,20,49,179,160,14,6,1,1,80,0,2,9,8
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,"Stembureau Nationaal Toneel ""Oefenruimte""",0518::SB532,2514 KP,1245,642,0,0,0,0,0,586,56,0,0,0,0,0,642,125,16,29,52,182,33,45,5,74,0,1,15,49,0,11,3,0,0,1,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Shri Vishnu School,0518::SB533,2525 TH,2312,665,1,7,0,0,0,525,148,0,0,0,0,0,673,49,21,41,2,21,74,101,17,44,93,45,12,9,0,8,105,1,0,7,15
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Buurtcentrum Octopus,0518::SB535,2512 RE,2285,1292,5,32,0,0,0,970,359,0,0,0,0,0,1329,56,18,108,34,29,160,97,14,75,216,276,18,16,1,4,143,0,1,4,22
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau OBS De Springbok,0518::SB537,2571 VD,2418,840,3,13,1,0,0,693,164,0,0,1,0,0,857,43,14,72,22,24,97,63,19,44,257,51,21,18,1,5,68,3,3,6,9
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Buurthuis Mandelaplein,0518::SB539,2572 HT,2057,1102,2,10,0,0,0,780,304,0,30,0,30,0,1084,36,39,84,13,17,101,68,19,49,474,63,10,16,0,12,67,0,0,4,30
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Buurt- en kerkhuis De Paardenberg,0518::SB543,2572 XH,2299,920,9,14,0,0,0,684,253,0,6,0,6,0,937,37,29,38,7,20,81,96,4,33,422,63,8,3,1,12,56,0,1,0,9
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Het Schakelpunt,0518::SB550,2585 CB,1974,1079,2,6,0,0,0,994,93,0,0,0,0,0,1087,188,36,64,108,238,56,93,30,119,2,0,24,74,1,32,3,7,1,1,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Stayokay,0518::SB551,2515 VA,2105,337,5,1,0,0,0,327,16,0,0,0,0,0,343,53,16,26,34,14,7,50,10,58,3,3,6,23,0,4,6,3,11,5,5
