contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),SP (Socialistische Partij),VVD,Ouderen Appèl Eindhoven,CDA,GROENLINKS,'leefbaar eindhoven',Lijst Pim Fortuyn Eindhoven,ChristenUnie,DENK,Forum 0veertig,Stratums Belang,50PLUS,15,Brede Beweging LinksOm (BBL)
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Activiteitencentrum Orka,0772::SB91,,0,569,6,3,0,1,0,526,53,0,0,1,0,0,579,80,56,64,48,38,65,86,22,26,13,7,8,2,33,11,10
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Spilcentrum de Boog,0772::SB92,,0,834,6,5,0,1,0,720,124,0,1,0,0,0,844,92,89,69,166,47,108,102,13,24,26,16,5,5,62,1,9
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Vitalis Wilgenhof,0772::SB93,,0,818,1,2,0,0,0,744,77,0,0,0,0,0,821,114,103,44,115,57,93,162,20,17,9,1,3,34,18,2,26
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool 'De Wilakkers',0772::SB94,,0,633,6,4,0,0,0,605,38,0,0,0,0,0,643,63,97,31,112,22,57,153,13,16,8,10,4,26,5,0,16
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool Beppino Sarto,0772::SB95,,0,766,5,6,0,0,0,713,64,0,0,0,0,0,777,141,77,59,95,28,49,115,15,24,18,74,12,36,6,5,12
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Wijkcentrum 't Akkertje,0772::SB96,,0,785,5,7,9,0,0,738,68,0,0,9,0,0,806,99,78,79,77,62,47,143,14,19,8,58,8,48,18,4,23
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool De Regenboog,0772::SB97,,0,747,13,2,0,5,0,706,61,0,0,5,0,0,767,88,83,52,111,47,44,140,15,15,14,38,6,50,14,6,24
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool De Talisman,0772::SB98,,0,1096,8,4,0,1,0,996,111,0,1,0,0,0,1107,165,150,59,191,46,91,208,23,16,11,19,8,53,13,7,36
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Parktheater,0772::SB99,,0,839,7,8,0,1,0,772,81,0,1,0,0,0,853,89,141,13,271,24,77,135,19,12,6,0,2,24,13,1,12
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Wijkcentrum de Dommel,0772::SB100,,0,415,4,5,0,0,0,375,49,0,0,0,0,0,424,75,35,55,17,31,13,38,12,22,11,60,6,3,18,5,14
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Wijkgebouw 't Slot,0772::SB101,,0,684,3,6,0,0,0,623,70,0,0,0,0,0,693,68,61,67,92,48,92,78,20,37,19,18,13,5,46,5,15
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Wijkgebouw 't Slot,0772::SB102,,0,672,2,0,0,0,0,603,71,0,0,0,0,0,674,73,67,45,99,47,89,95,24,33,27,11,11,3,25,4,19
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Genderhof,0772::SB103,,0,597,6,2,0,0,0,556,49,0,0,0,0,0,605,70,52,51,85,50,65,73,16,35,18,2,12,7,41,4,16
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Vitalis Vonderhof,0772::SB104,,0,506,10,0,0,0,0,479,37,0,0,0,0,0,516,75,72,26,82,7,31,121,20,10,4,8,6,5,15,3,21
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Summa College Welzijn,0772::SB105,,0,572,4,0,0,0,0,524,52,0,0,0,0,0,576,101,72,39,88,27,38,119,21,18,6,6,6,3,8,4,16
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Gemeenschapshuis de Lievendaal,0772::SB106,,0,350,2,5,0,0,0,334,23,0,0,0,0,0,357,44,32,44,31,22,35,44,12,29,12,8,6,1,18,7,5
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Vrijetijdsaccommodatie De Mortel,0772::SB107,,0,594,1,1,0,0,0,524,72,0,0,0,0,0,596,51,42,44,82,35,111,82,22,43,17,7,9,4,27,8,10
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool De Boschuil,0772::SB108,,0,660,2,3,0,0,0,597,68,0,0,0,0,0,665,63,77,25,165,31,126,42,27,38,15,9,5,0,27,4,6
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Vrijetijdsaccomodatie Blixems,0772::SB109,,0,536,1,0,0,0,0,467,70,0,0,0,0,0,537,34,70,31,118,29,95,49,27,32,10,7,7,3,15,1,8
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool de Vuurvlinder,0772::SB110,,0,655,1,1,0,0,0,577,79,0,1,0,1,0,656,72,75,22,159,23,92,68,26,34,14,12,8,4,37,5,4
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool Trudo,0772::SB111,,0,822,15,2,0,0,0,788,52,1,0,1,0,0,840,95,104,63,113,43,67,171,21,52,13,12,6,4,34,8,16
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau De Hangar,0772::SB112,,0,875,4,2,0,3,0,780,98,0,3,0,0,0,878,86,112,55,180,50,108,113,16,43,13,7,12,9,53,6,12
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Grand Café de Zwarte Doos,0772::SB113,,1185,577,9,4,0,0,0,568,22,0,0,0,0,0,590,36,142,19,100,9,46,138,21,16,16,2,1,3,14,7,7
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau de Bibliotheek,0772::SB114,,1391,945,7,5,0,0,0,879,76,0,2,0,0,0,955,97,177,45,213,22,61,206,27,20,7,7,11,5,21,4,22
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Voormalige Internationale School,0772::SB115,,3304,268,4,2,0,0,0,253,19,0,2,0,0,0,272,40,26,23,22,14,23,40,18,13,9,10,3,0,13,7,7
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Bibliotheek MetaForum TU/e,0772::SB116,,0,1149,37,8,0,0,0,1155,41,2,0,2,0,0,1196,83,367,14,208,3,54,302,32,12,29,8,13,5,3,7,9
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Eindhovens Studenten Corps,0772::SB117,,2191,595,9,0,0,0,0,568,36,0,0,0,0,0,604,53,125,27,149,19,39,104,17,17,9,0,9,4,9,1,13
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Gymzaal van school Strijp Dorp,0772::SB118,,1420,299,2,0,0,0,0,275,26,0,0,0,0,0,301,41,40,24,42,17,19,50,6,11,9,17,4,1,6,7,5
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Gymzaal van school Strijp Dorp,0772::SB119,,1438,381,2,4,0,0,0,352,35,0,0,0,0,0,387,54,47,36,47,10,37,66,13,19,8,14,7,3,8,3,9
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Station NS Noordzijde,0772::SB120,,0,938,6,8,0,0,0,907,45,0,0,0,0,0,952,114,182,49,164,11,52,226,22,20,21,25,6,2,13,9,22
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Voormalige Internationale School,0772::SB121,,0,275,4,1,0,0,0,279,0,0,1,0,1,0,279,35,34,26,32,15,27,41,13,8,4,7,5,2,15,2,9
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Eindhoven Airport,0772::SB122,,0,99,0,0,0,0,0,92,7,0,0,0,0,0,99,9,23,3,24,1,11,8,8,4,1,3,1,0,2,1,0
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Mobiel Stembureau,0772::SB123,,0,166,6,0,0,0,0,159,13,0,0,0,0,0,172,17,29,12,27,3,17,30,12,5,5,6,1,0,1,0,1
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Eindhovens Dagblad Torenallee 45,0772::SB124,,2044,559,3,0,0,0,0,520,42,0,0,0,0,0,562,61,159,37,100,5,27,107,8,12,10,2,4,5,6,4,12
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau De Kamer van de Burgemeester,0772::SB125,,0,184,1,0,0,0,0,171,14,0,0,0,0,0,185,27,28,2,46,4,18,38,1,3,2,3,1,2,5,2,2
