contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT),Politieke Partij NXD
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau MuzyQ,0363::SB140,,835,303,1,1,33,109,11,1,54,41,37,0,0,10,3,0,0,1,0,3,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Servicepunt Het Brinkhuis,0363::SB141,,1230,767,1,3,80,253,117,13,130,43,40,1,1,43,6,2,0,0,1,34,0,0,2,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Servicepunt Het Brinkhuis,0363::SB142,,1260,750,2,3,68,247,152,16,117,43,36,6,1,24,0,3,0,0,0,32,2,0,1,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gebouw - voorheen Daltonschool de Meer,0363::SB143,,1391,1255,1,1,225,407,44,28,115,259,111,8,0,37,5,4,0,0,0,9,0,0,0,3,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gebouw - voorheen Daltonschool de Meer,0363::SB144,,1340,1209,1,0,185,386,38,23,109,290,112,10,0,28,8,4,0,1,0,13,0,0,0,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Huize Frankendael - ingang koetshuis,0363::SB145,,1452,1375,0,1,213,481,39,32,99,311,121,9,2,36,11,1,0,3,3,11,1,0,1,0,1
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Universiteit van Amsterdam,0363::SB147,,1135,1314,5,2,153,436,6,17,79,359,188,7,1,43,13,3,1,5,0,2,1,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Servicepunt Tesla,0363::SB148,,1322,1186,3,3,209,396,60,55,105,187,83,18,0,37,9,0,0,0,0,22,2,0,2,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Bon Bosco,0363::SB149,,1355,1015,1,0,132,425,38,27,102,163,67,8,0,31,8,1,0,1,0,12,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dependance Frankendael,0363::SB151,,1485,808,5,2,91,320,108,22,94,54,32,9,0,42,5,1,0,0,2,27,0,1,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stichting Al Maarif,0363::SB154,,1184,539,2,1,63,227,13,12,42,98,53,6,2,13,6,1,0,1,0,2,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum Amsta,0363::SB155,,1481,746,1,1,100,288,57,27,65,111,31,12,1,27,2,1,0,2,1,17,0,0,1,3,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Open Hof,0363::SB156,,1155,891,2,6,130,309,86,31,96,115,51,8,0,36,5,1,0,1,1,18,0,0,2,0,1
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Woonzorgcentrum Willem Dreeshuis,0363::SB157,,1218,709,0,1,104,274,79,16,70,66,29,14,4,33,1,0,0,0,0,13,0,1,4,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Hogeschool van Amsterdam,0363::SB158,,1512,1314,5,10,296,397,24,23,104,308,93,11,3,34,9,4,0,1,0,5,0,0,0,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Hogeschool van Amsterdam,0363::SB159,,1433,1247,8,2,284,393,30,24,75,276,86,9,1,40,13,4,0,3,0,7,0,1,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Projectbureau Wibaut aan de Amstel,0363::SB161,,1334,1044,4,7,223,335,30,14,86,237,67,4,1,32,6,2,0,1,0,5,0,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Onze Lieve Vrouwe Gasthuis,0363::SB163,,1110,1733,8,3,248,648,67,26,200,304,121,15,4,67,4,7,0,0,0,17,1,0,3,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Buurtcentrum Park de Meer,0363::SB169,,1205,1047,3,1,190,412,41,34,89,157,65,11,0,27,6,1,0,1,0,13,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Vrije Universiteit Amsterdam,0363::SB200,,1014,1688,3,2,339,541,33,53,103,423,99,30,9,31,13,0,0,1,1,10,1,0,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Doven Ontmoetings Centrum,0363::SB201,,1351,833,2,1,255,229,24,6,50,195,33,1,0,27,4,0,0,1,0,4,2,0,2,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Doven Ontmoetings Centrum,0363::SB202,,1402,886,1,1,300,228,30,11,53,185,40,3,0,21,4,0,0,2,0,5,0,0,1,3,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau VBSK Albert Cuyp,0363::SB204,,951,936,2,4,197,279,31,8,99,200,56,2,0,40,7,2,1,1,1,12,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Jan van der Heijdenhuis,0363::SB205,,910,810,1,3,208,205,14,10,64,174,77,1,0,30,4,4,0,0,0,16,1,0,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Oscar Carré school,0363::SB206,,1346,755,1,3,176,235,28,3,56,161,55,2,1,31,3,0,0,1,0,3,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Oscar Carré school,0363::SB207,,1307,1102,2,2,267,345,27,12,93,218,65,6,0,47,6,1,0,0,0,11,0,1,3,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Oscar Carré school,0363::SB208,,1378,958,2,4,209,319,27,17,103,156,62,5,1,41,7,2,0,3,0,4,0,0,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Montessori Lyceum,0363::SB210,,1412,1060,3,0,333,276,29,17,53,257,51,1,0,33,1,4,0,1,0,4,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Wash & Coffee,0363::SB211,,1467,1250,4,4,315,354,42,9,100,260,88,7,0,49,9,4,0,4,1,4,1,0,1,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Amsta,0363::SB212,,987,792,2,2,214,207,20,15,53,192,55,2,0,18,8,0,0,1,0,5,0,0,0,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Edelsteen,0363::SB213,,1220,716,1,2,74,296,44,9,116,67,62,0,0,26,8,4,0,0,0,6,0,0,3,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Edelsteen,0363::SB214,,1308,817,1,5,99,313,52,9,112,119,54,7,1,24,3,3,0,0,0,16,0,0,2,3,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Senioren bewonersruimte,0363::SB215,,1113,765,2,0,163,221,34,13,68,168,60,0,0,23,5,0,0,1,0,7,0,0,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Kunstwerkplaats,0363::SB216,,1377,1089,4,6,163,419,25,10,128,201,76,3,0,37,6,3,0,0,0,9,1,0,3,4,1
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau 3e Daltonschool hoofdgebouw,0363::SB217,,1109,1175,3,4,226,393,24,11,115,225,94,12,3,43,7,1,0,3,0,10,0,3,3,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau 9e Montessorischool De Scholekster,0363::SB219,,1305,822,0,0,202,235,27,13,58,191,57,4,0,24,2,1,0,0,0,5,0,1,2,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau 9e Montessorischool De Scholekster,0363::SB220,,1252,776,3,1,201,228,20,14,68,154,43,3,1,39,1,0,0,0,0,4,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Sporthal de Pijp,0363::SB221,,1477,783,2,5,124,301,37,8,75,135,44,3,2,35,6,4,0,0,0,7,0,0,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Sporthal de Pijp,0363::SB222,,1225,812,0,2,112,294,35,10,124,123,50,4,3,38,6,2,0,0,0,5,2,0,4,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau d'Oude Raai,0363::SB223,,1339,1081,5,3,198,378,54,24,117,183,56,5,2,42,3,1,1,0,0,13,1,0,2,0,1
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Apollohal  linker ingang,0363::SB224,,1577,1343,0,1,618,263,25,30,37,265,49,11,3,28,4,1,0,3,0,5,0,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Cornelis Vrijschool,0363::SB226,,1485,1208,0,1,493,268,24,22,38,257,57,9,3,27,2,1,0,1,0,4,0,0,1,0,1
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Oud-Katholieke Kerk,0363::SB228,,1094,1038,1,1,383,248,26,15,60,226,44,3,2,21,5,1,0,0,0,4,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Coenen/Lydia,0363::SB230,,1390,1387,5,1,255,487,20,28,115,300,96,10,2,51,3,1,0,2,1,12,0,0,1,3,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Hildebrand van Loonschool,0363::SB231,,1227,1010,0,1,327,250,11,18,38,275,43,9,1,28,2,2,0,0,0,6,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Obrechtkerk,0363::SB232,,1130,1206,1,2,463,281,17,25,51,270,59,6,0,23,1,1,0,0,0,8,0,0,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gymzaal Nicolaas Maesschool,0363::SB233,,1271,1110,2,0,360,339,14,31,59,214,60,5,0,23,2,1,0,0,0,2,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau EMB Hotel Memphis,0363::SB235,,1310,1045,0,2,490,198,8,12,35,238,31,5,1,20,0,0,0,0,0,4,3,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gymzaal Zuidwester,0363::SB236,,1464,1005,1,2,384,243,14,20,38,220,35,7,0,29,6,2,0,0,0,6,1,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool Elout,0363::SB237,,1088,760,0,1,213,216,32,15,56,151,36,9,3,18,3,1,0,0,1,5,0,0,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool Elout,0363::SB238,,1152,1108,3,2,305,324,34,25,100,193,43,8,2,45,5,5,0,0,0,15,0,0,2,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau SNWA Instap en de Opstap,0363::SB239,,1519,1166,2,0,376,273,44,18,81,251,69,3,0,35,6,2,0,0,0,5,0,0,2,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Flatgebouw Baarsstraat,0363::SB240,,1266,984,1,2,261,278,43,17,101,160,53,7,1,33,6,4,0,1,0,17,0,0,2,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Hervormd Lyceum Zuid,0363::SB243,,1196,1142,2,0,541,216,22,36,24,226,41,3,2,21,1,1,1,0,0,6,0,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Hilton Hotel rechter ingang,0363::SB244,,508,693,2,1,302,148,11,18,18,152,24,2,0,13,2,0,0,0,0,2,0,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Hilton Hotel rechter ingang,0363::SB245,,915,739,0,0,361,130,13,23,13,161,17,2,1,11,2,2,0,0,0,1,1,0,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Buurtcentrum Olympus,0363::SB246,,1219,962,1,2,264,292,56,12,83,152,44,3,1,38,5,5,0,0,0,6,0,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Willem de Zwijgerkerk,0363::SB247,,1353,856,4,2,113,319,47,22,123,104,43,8,1,50,8,1,0,3,0,12,0,0,2,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Willem de Zwijgerkerk,0363::SB248,,1310,841,5,3,118,323,57,27,114,92,32,6,2,48,3,1,1,2,1,9,1,0,2,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Bibliotheek Olympisch Kwartier,0363::SB252,,981,1007,1,2,389,264,33,25,47,171,33,7,0,24,3,0,0,0,0,6,0,0,4,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gymzaal Andreas Schelfhoutstraat,0363::SB257,,1542,1019,1,0,297,252,56,30,62,204,50,6,0,36,3,5,0,1,1,14,0,1,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gymzaal Andreas Schelfhoutstraat,0363::SB258,,1467,998,2,0,263,289,37,19,64,210,54,8,0,33,4,0,0,1,0,14,0,0,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Bredeschool Bockesprong,0363::SB260,,1556,1126,5,1,329,281,48,13,78,232,67,9,1,46,7,3,0,1,1,7,2,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Bredeschool Bockesprong,0363::SB261,,1499,1107,1,8,307,295,53,20,56,243,58,6,0,51,2,4,0,0,0,9,0,1,0,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Tobiasschool,0363::SB262,,1320,998,3,4,276,249,45,14,46,262,54,10,1,30,5,1,0,0,0,3,0,0,2,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Tobiasschool,0363::SB263,,1280,1154,3,0,333,323,66,16,86,215,62,6,1,31,2,0,0,1,1,9,1,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stadsdeelkantoor Zuid Tripolis,0363::SB267,,907,393,0,0,97,125,19,4,34,66,25,5,0,13,0,1,0,0,0,4,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Pastorie Vredeskerk,0363::SB268,,1463,1191,2,2,344,289,42,26,89,273,57,3,1,48,6,5,0,0,0,6,1,0,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Anne Frankschool,0363::SB270,,1459,1111,0,2,332,303,47,21,60,231,56,3,0,40,3,3,1,1,1,5,0,0,3,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Anne Frankschool,0363::SB271,,1107,1259,2,2,414,329,50,29,81,256,35,7,1,37,7,4,0,1,0,8,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool St. Catharina,0363::SB272,,1022,900,2,1,161,318,46,13,100,157,46,8,0,31,5,3,0,1,0,11,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool St. Catharina,0363::SB273,,1311,670,1,2,134,214,29,10,68,143,32,7,0,15,5,2,0,0,1,6,0,0,3,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Speellokaal school De Rivieren,0363::SB274,,1443,1250,1,2,321,345,27,28,96,270,84,7,2,48,5,1,0,1,0,12,0,0,3,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Huis van de Wijk Rivierenbuurt,0363::SB275,,1293,1125,3,4,239,346,59,30,98,215,48,10,1,55,4,2,0,0,0,14,1,1,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Huis van de Wijk Rivierenbuurt,0363::SB276,,1266,1181,2,5,282,334,65,22,114,216,67,4,0,57,5,1,0,1,0,10,0,0,3,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Maarten Luther Kerk,0363::SB279,,1206,748,2,2,217,221,30,20,47,137,34,9,1,21,3,0,0,0,0,4,0,1,2,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Maarten Luther Kerk,0363::SB280,,1281,754,0,0,182,225,30,20,58,163,35,9,0,27,0,0,0,0,0,5,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stadsdeelkantoor Zuid,0363::SB281,,815,928,0,0,257,278,40,27,54,173,48,8,0,30,1,1,0,1,0,8,0,0,0,1,1
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Buurtcentrum ROC-ASA,0363::SB282,,1414,1297,1,1,415,360,36,16,59,266,71,5,1,42,9,2,0,1,1,11,0,0,2,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Voormalig Postkantoor,0363::SB283,,1230,825,2,4,120,315,61,23,98,103,24,5,1,48,5,2,0,1,0,15,0,0,3,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Woon- en Zorgcentrum Torendael,0363::SB284,,1120,824,2,1,181,276,38,33,68,131,41,9,0,28,4,2,1,1,0,7,2,0,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Thomaskerk.,0363::SB286,,920,984,1,1,493,156,14,37,14,202,31,8,2,20,4,0,0,0,1,1,1,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Verpleegcentrum Vreugdehof,0363::SB287,,1108,632,2,4,182,175,69,32,53,53,11,11,4,20,3,2,0,3,0,12,0,0,2,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Verpleegcentrum Vreugdehof,0363::SB288,,1238,688,1,5,205,206,46,36,49,64,17,13,0,32,0,2,0,0,0,14,0,2,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum Beth Shalom,0363::SB289,,1138,923,3,2,361,230,45,30,36,130,31,13,6,20,1,2,0,0,0,16,0,0,0,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Verpleegtehuis De Buitenhof,0363::SB290,,880,603,0,2,249,121,41,28,32,64,15,10,3,21,4,1,0,2,0,12,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Verpleegtehuis De Buitenhof,0363::SB291,,800,596,3,2,223,138,36,24,51,69,20,6,0,19,1,0,0,1,0,5,0,0,1,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Andrieskerk,0363::SB292,,911,831,0,0,262,227,47,38,39,137,20,10,1,22,2,4,1,0,1,18,1,1,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Multifunctioneel Centrum Binnenhof,0363::SB293,,1239,1091,1,4,352,301,84,34,83,135,24,14,2,33,2,1,0,1,0,24,1,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Multifunctioneel Centrum Binnenhof,0363::SB294,,1311,1152,3,2,390,320,76,54,78,135,36,9,0,19,5,2,0,1,0,27,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gymzaal bij school De Ark,0363::SB295,,1029,739,3,2,257,184,35,28,40,109,30,15,3,18,6,1,0,0,1,12,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gymzaal bij school De Ark,0363::SB296,,1117,831,1,2,291,190,56,43,59,98,31,10,7,23,1,1,0,1,0,19,0,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Menno Simonszhuis,0363::SB297,,990,816,2,1,302,197,53,40,42,91,22,15,0,17,1,1,0,2,0,31,0,1,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Marius ten Cate Hof,0363::SB298,,1047,912,0,3,319,220,75,37,55,121,30,9,4,26,2,1,0,0,0,13,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Woonzorgcentrum Buitenveldert,0363::SB299,,1106,749,0,0,368,148,30,36,37,86,18,4,1,13,2,0,0,0,0,4,0,0,2,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau W.T.C. gebouw H,0363::SB300,,0,1608,5,3,670,291,17,42,39,448,59,5,0,29,8,0,0,0,0,0,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Citroën dealer,0363::SB303,,1396,864,0,2,296,238,28,9,49,161,38,5,1,21,5,1,1,0,0,9,0,0,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Citroën dealer,0363::SB304,,1237,943,5,1,368,211,28,16,47,190,37,4,0,29,1,2,0,0,0,7,0,0,3,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau St. Ignatius Gymnasium,0363::SB305,,1173,927,0,2,413,204,12,25,19,190,37,2,3,15,3,0,0,2,0,2,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau St. Ignatius Gymnasium,0363::SB306,,1439,1080,3,2,492,234,6,23,34,237,24,6,2,15,1,0,0,0,0,6,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Portocabin IJselplein,0363::SB307,,1320,850,0,2,179,287,36,18,81,146,53,3,1,30,8,3,0,0,2,2,0,0,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Portocabin IJselplein,0363::SB308,,1253,897,2,5,229,297,31,8,71,171,36,8,1,22,8,4,0,0,0,6,1,0,1,2,1
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Miranda Paviljoen ingang Wintertuin,0363::SB309,,1240,562,0,2,170,149,19,9,33,108,29,6,0,26,5,0,0,1,0,6,0,0,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Miranda Paviljoen ingang Wintertuin,0363::SB310,,1264,695,4,1,209,187,25,6,43,138,35,8,3,25,3,1,0,0,0,10,1,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau El Amien II,0363::SB312,,1514,775,5,4,99,290,61,16,72,126,57,8,3,23,3,1,0,0,0,12,1,1,2,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau El Amien II,0363::SB313,,1421,778,0,6,93,310,52,20,68,132,51,3,1,33,3,2,0,0,0,6,1,0,2,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau El Amien II,0363::SB314,,1245,785,3,4,110,287,45,11,70,158,53,4,2,27,3,2,0,0,0,10,0,0,2,1,0
